,X,Y,block,class,description,plate,site,stratum,year
29,36,57,B, IV. Mullers (nos. 19—26),"29. The third grinding-mill illustrated on P1. 14.0 is of a heavier type. It comes from the Pippala monastery (Pl. ’21—38) and probably dates from the ﬁfth century A.D. In diameter (13 in.) it is smaller than the two preceding examples, but the stones are more ponderous, and it is made of hard dark grey quartzite instead of the softer sandstone. Three other noticeable differences are: ﬁrst, that the surface of the nether-stone is concave (instead of straight, as in no. 28, or convex, as in no. 27); secondly, that crossing the upper stone from side to side is a deep groove into which a stout piece of wood could be ﬁxed horizontally, with a handle projecting on either side; thirdly, that the hole in the nether-stone into which the centre pivot was ﬁxed is not pierced through the entire thickness of the stone but sunk to rather less than half its thickness. (Pl. 140, m.) Type I). Crushing-mills. This type of mill, which was also introduced at Taxila during the Saka—Parthian period, was designed probably for the crushing and grinding of harder substances (e.g. chunam) than ordinary grain. It is made of hard quartzite instead of sandstone ; the diameter is smaller (about I 1 in. only) ; the nether— stone is conical at the top ; and the upper stone takes the form of a deep heavy cylinder, concave below so as to ﬁt on to the top of the nether-stone, and with a funnel-shaped hole above. Across its top is a deep groove, as in no. 29, to take the wooden handle- piece, the latter being pierced with a hole in its centre into which ﬁtted the iron pivot of the nether—stone. 3o. Sk. ’24—14 and 268; Block B; sq. 36- 57’; stratum II. Crushing-mill of quartzite in two pieces (height 21- 5 in.; diam. 10-8 in.), with centre pivot of iron still ﬁxed into the nether-stone. See drawing on P1. 14.0, s, and photos on P1. 143, e, f, g.","’21—38, 140-m",Sk,2,1921
31,,,, IV. Mullers (nos. 19—26),"31. Sk. ’12; Trench'A 4.61; stratum II. Similar, of quartzite (height 16- 5 in.; diam. 11-5 in.), with iron pivot still attached to nether-stone, but in this specimen the nether-stone is not so high as in no. 30. Vessels made of stone are relatively few in the earlier Bhir Mound cities and are restricted to those of simple shapeswmortars (with pestles), dishes, saucers, bowls and cups. The stones used for them are the hard alm' (lower cretaceous shell lime— stone) and hornblende—gneiss, soft steatite and alabaster, and the semi-precious rock crystal and agate. Of alabaster there is only one eXample—a saucer of pinkish- white colour, no. 42. AIM and hornblende-gneiss were used during this early period for pestles and mortars; abrz' also for cups and bowls; steatite (soapstone) for bowls and dishes; crystal for little toilet-trays; and agate for ornamental bowls, of which there is only one example. These stones were usually turned on the lathe, but sometimes ground down by hand. _ , Schist, as already indicated, was not introduced at Taxila until after the advent of the Bactrian Greeks (c. 190 B.C.); but from that time onwards this soft stone CH. 25] STONE OBJECTS 489 came more and more into vogue, ﬁrst for simple articles like dishes and carved toilet—trays, but later on for a multitude of vessels and sculptures of all sorts. The earliest objects made of this stone are the two lathe—turned dishes nos. 38 and 39, and the two ornamental toilet-trays nos. 62 and 63 ,‘ all four of which are referable to the second century B.C. Later on, in the ﬁrst century A.D., we ﬁnd schist being used for vases of many shapes, goblets, caskets, ladles and lamps, besides unguent- bottles and elaborately carved toilet-trays. The three kinds of schist employed for these articles are the common grey schist of Gandhara, and a micaceous and hornblende schist from the same region; quartz mica—schist and the deep green chloritised mica-schist, favoured at this period by the sculptors of the North-West, were not used for household articles. Other soft stones employed during this period were steatite, phyllite, slate, clay-a stone and alabaster, but so far as Sirkap is concerned, no household objects made of these stones have been found in strata earlier than the Parthian, and even then their use is restricted to a few articles—mainly toilet—trays and caskets. Specimens made of phyllite, slate, claystone and alabaster are very few; those of steatite are not so rare. During the Kushan period phyllite, as we shall see, was to become the favourite stone for sculpture, and other objects were to be made from it as well as from the other soft stones named above, which continued in use up to the early medieval period. With the introduction of schist for household vessels in the second century B.C., hard stones like gneiss and hornblende gradually ceased to be used for this purpose. . Apart from pestles and mortars, for which particularly hard Varieties of stone are needed, only one example (no. 43) of a hard stone vessel has been/found in Sirkap, and there is reason for believing that this was a survival from one of the earlier settlements. , In regard to the use ‘of agate for small, bowls, cups, caskets, etc., the fragments of these vases found at Taxila correspond very closely with Pliny’s description of the ' famous vast: myrrhine, which fetched such big prices at Rome. Pliny alleges that these vases came from Parthia and Carmania, but no importance need be attached to his statement, because, up to the time when the Red Sea route was opened up, the carrying trade between India and the West was exclusively in the hands of the Parthians, and it is hardly likely that the precise provenance of some of the goods , would be known to the Romans.I The manufacture of agate vases is an age-old industry in‘India, especially in Kathiawar and round about the gulf of Cambay, and there can be little doubt that it was from there that the Parthian merchants exported them to Italy. On the strength of a line of Propertius,2 it has been inferred (e.g. Ramsay and Lanciani, Manual of Roman Antiquities, p. 497), that the myrrhine vases must have been some sort of porcelain, but the foci referred to by Propertius were not ordinary kilns but the special trenched kilns in which it was the Indian practice to roast agates and carnelians in order to bring out their colours. This process of burning agates was fully described by Barbosa as far back as I 517. Cf. Sir G. Watt, Commercial Products of India, p. 561, and Schoff, Periplus, pp. 193—4.. I Schoff, Periplus, p. 194.. 2 ‘Murreaque in Parthis pocula cocta focis’ (IV, v, 26).       E l i i l g l i l i 1 490 STONE OBJECTS [CH. 25 Pestles and mortars are found at all periods at Taxila. The mortar takes the form of a cup with a shallow depression at the top and with a round or ﬂat base. The pestle resembles a small, short muller worn at the ends instead of the sides. Both are invariably made of hard stone such as abri, gneiss, hornblende, hornblende— gneiss or syenite.",,Sk,2,1912
32,30,66,, VI. Pestles and mortars (nos. 32—5),"32. Bm. ’30—931; sq. 30-66’; stratum III. Cup-shaped mortar of hornblende-gneiss, with ﬂat bottom. Diam. 8-12 in. (Pl. 140, q.)",140-q,Bm,3,1930
33,,,, VI. Pestles and mortars (nos. 32—5),"33. Sk. ’16; Trench A254; stratum II. Cup—shaped mortar of hornblendevgneiss, with rounded bottom. Diam. 4-5 in. (Pl. 140, t.)",140-t,Sk,2,1916
34,10,36,, VI. Pestles and mortars (nos. 32—5),"34. Bin. ’19—I,485; sq. 10-36’; stratum IV. Pestle of hornblende; length 737 in.",,,4,1919
35,31,99,B, VI. Pestles and mortars (nos. 32—5),"35. Sk. ’19—475; Block B’; sq. 31-99’; stratum II. Pestle of hornblende; length 375 in. Cf. p. 194 supra. ‘Iron’, ch. 27, Class IV; ‘ Copper and Bronze’, ch. 28, Class XVIINa, b; ‘ Silverware ’, ch. 29, Class V",,Sk,2,1919
36,30,28,," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;",36. Bm. ’20—789; sq. 30-28’; stratum II. Part of rim of shallow dish of abrz' (lower cretaceous shell limestone). Length 612 in.,,Bm,2,1920
37,5,62,," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;","37. Bm. ’19—1,333; sq. 5~62'; stratum II. Dish of ﬁne grey and white hornblende-gneiss, turned on lathe. Diam. 9-62 in. Rim and bottom much damaged. (Pls. 140, o; 143, l.)",,Bm,2,1919
38,32,86,B," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;","38. Sk. ’29—2,451; Block B’; sq. 32-86’; stratum V. Broken rim of a large dish of grey schist, decorated with incised concentric circles. Diameter of dish, when complete, 16 in. Of very ﬁne workmanship, turned on lathe. ,",,Sk,5,1929
39,36,89,B," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;","39. Sk. ’29—2, 571; Block B’; sq. 36-89’; stratum V. Broken dish, resembling Greek phiale mesomphalos, of grey micaceous schist, with central boss inside surrounded by concentric circles. Diam. 8 in. Rim and upper part missing. Similar to certain earthenware, silver and copper dishes with central boss (omphalos). For this and the following, cf. ‘Pottery’, ch. 23, no. 109; ‘Silverware’, ch. 29, no. 10; ‘Copper and Bronze’, ch. 28, no. 289. (Pl. 140, u.)",140-u,Sk,5,1929
40,108,62,G," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;","40. Sk. ’13—198; Block G; sq. 108'62’; stratum II. Similar. Diam. 6-5 in. Rim missing. Cf. p. 168 supra. (Pls. 14o,p; 143, m.)",,Sk,2,1913
41,61,92,D," VII. Dishes (nos. 36—41). Cf. ‘Pottery’, ch. 23, Class XVI, a, b;","41. Sk. ’29—I,807; Block D'; sq. 61-92’; stratum III. Fragment of a dish of grey hornblende- schist; length 7 in. On inside, three concentric circles incised; on outside, foliate border in relief; beneath, square projection with socket-hole for leg. A particularly attractive vessel of Parthian date, in the Gandhara style. Cf. p. 190 supra. (Pl. 140, '0.) Class XV; ‘Iron’, ch. 27, Class IV; ‘Copper and Bronze’, ch. 28, - Class XVII, c, d; ‘Silverware’, ch. 29, Class V",140-'0,Sk,3,1929
42,26,26,," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","42. Bm. ’20—863; sq. 26-26’; stratum II. Saucer of pinkish white alabaster, turned on lathe. Diam. 4-25 in. (Pls. 140, w; 143, p.)",,Bm,2,1920
43,74,52,E," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","43. Sk. ’I 3—I,21 5; Block E; sq. 74-52’; stratum II. Similar, of hornblende-gneiss, turned on lathe. Diam. 4-37 in. Cf. p. 162, no. 7 supra. Although this saucer was found in the Saka-Parthian stratum in Sirkap, it was probably older by some two centuries or more. No other example of a vessel made of hard stone has been found in Sirkap, and in this case the shape, and its blunted exterior mouldings, point to an earlier date. Saucers of the Parthian period, if they have mouldings at 3.11, usually have them sharply",,Sk,2,
11,,,," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","11.111111111111110rrwnvwwev.wm1,' 4’ 11 11   % 3. g i i . ., M “Wanamag 5 5mm}: WWW“, ,W ”11.11., CH. 25] STONE OBJECTS 491 deﬁned, and are almost always carinated like the specimens described below, with which we may compare also the earthenware saucer no. 107 (p. 418). (Pl. 143, j.)",143-j,,,
44,84,89,F," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","44. Sk. ’28—2,211; Block F’; sq. 84-89’; stratum IV. Saucer of grey schist, ﬁnely turned on lathe; carinated sides and everted lip. Incised concentric circles in bottom, inside. Diam. 2137 in.",,Sk,4,1928
45,69,61,E," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","45. Sk. ’13~1,332; Block E; sq. 69-61’; stratum II. Saucer of micaceous schist, with carinated sides and everted rim. Border of lattice triangles on rim and foliate pattern below, inside. Diam. 4-25 in. Cf. p. 162, no. 8 supra. (Pls. 140, r; 143, k.)",,Sk,2,1913
46,57,92,D," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","46. Sk. ’20—764; Block D’; sq. 57-92’; stratum I. Similar, of grey schist, with incised net- work on everted rim, and quatrefoil rosette on bottom, inside, surrounded by foliate circle. Diam. 3162 in. Cf. p. 190 supra. (Pls. 140, u; 143, i.)",,Sk,1,1920
47,,,C," VIII. Saucers (probably for toilet use; nos. 42~7). Cf. ‘Pottery’, ch. 23,","47. Sk. ’14—481; Block C’; sq. 41178’; stratum II. Similar, but with ﬂat base and rounded sides. Quatrefoil rosette on bottom, surrounded by concentric circles. Diam. 2162 in. Cf. p. 193 supra. (Pl. 140, x.) The difference between the earlier and later saucers noticed above extends also to the standard cups or low tazzas described below. No. 49, which comes from the Saka—Parthian city in Sirkap, has a much more stylish and sharply deﬁned form than no. 48, which comes from the Maurya level in the Bhir Mound.",140-x,Sk,2,1914
48,,,," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","48. Bm.’ 20—1, 568 sq. I7 3 3 stratum II. Standard cup of hard abri stone, turned on lathe. Diam. 3187 1n. (Pl. 140, y.)",140-y,Bm,2,
49,45,80,C," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","49. Sk. ’;14—966 Block C'; sq. 45-80’ ; stratum II. Similar, but of grey schist, with incurved sides and wide angular rim. Diam. 3-6 in. Cf. p. 193 supra. (P1. 140, z.) ’Cepper and Bronze’, ch. 28, Class XVI; ‘ Silverware’, ch. 29, Class IV ’I’he (isly Example (If a 81:01:11: bowl from the Bhir Mound 1s the small bowl of highly peIiShsd agate 1111. 51:1, and the only example from Sirkap is the steatite one frern the Mahal s1te, 119. 51: The former is of the third century B. c., the latter of the second half 0f the ﬁrst century M).",140-z,Sk,2,
50,16,63,,"X Bowls(nos. 50,51). Cf.‘ Pottery’, ch. 23,ClassXV; ‘Iron’, ch. 27, ClassIII;","50. B111. ’2I~983; sq. 16 -63‘; stratum II Piece of banded-agate bowl, highly polished inside and out. Length 1162'111.",,,2,
51,,,,"X Bowls(nos. 50,51). Cf.‘ Pottery’, ch. 23,ClassXV; ‘Iron’, ch. 27, ClassIII;","51. Sk. (Ml. ),’ 25 —25;2 sq. 421115’; 2 ft. 10 in. below surface. Small bowl of purple-grey steatite; diam. 312 5 in. Outside is ornamented with horizontal bands of incised linear designs ——-—network, swags and lotus leaves—and a simple beading in relief. (Pl. 141, a.) C.f ‘Pottery’, ch. 23, Class VII These correspond with Class VII of the pottery vessels, except that there 1s no example 1n stone of this type of vessel with a standard base. They are found only in the Saka-Parthian city in Sirkap.",141-a,Sk,,
52,66,119,, XI. Open-mouthed vases with flat bases (nos. 52—6).,"52. Sk. ’27—I,342; Sixth Street (west); sq. 66-119’; stratum II. Small open-mouthed vase of grey hornblende-schist, with ﬂat base, beading at base of neck, and three incised bands round body. The neck is pierced with four holes for suspension or. for attaching a cover. Height 515 in. Cf. p. 184 supra. (Pl. 141, b.) 492 STONE OBJECTS [011. 25",141-b,Sk,2,1927
53,73,100,E, XI. Open-mouthed vases with flat bases (nos. 52—6).,"53. Sk. ’28—715; Block E'; sq. 73-100’; stratum I. Similar and of same size, but with three bands of engraved leaves round body, and without any holes in neck. (P1. 14.1, c.)",14.1-c,Sk,1,1928
54,26,78,A, XI. Open-mouthed vases with flat bases (nos. 52—6).,"54. Sk. ’20-220; Block A’; sq. 26'78’; stratum II. Similar to no. 53, but smaller, and with plain beading in relief round shoulder. Height 2-62 in. Cf. p. 195 supra. (Pls. 141, d; 143, 12.) Two small vases of this class are more open—mouthed and at the same time more squat than the above.",,Sk,2,1920
55,47,54,C, XI. Open-mouthed vases with flat bases (nos. 52—6).,"55. Sk. ’24—614; Block C; sq. 47-54’; stratum III. Small open-mouthed squat vase of grey schist, with beading round base of neck; no rim. Incised bands below middle of body. Height 2-37 in. Cf. p. 149, n. 2 supra. (Pl. 143, q.)",143-q,Sk,3,1924
56,43,86,C, XI. Open-mouthed vases with flat bases (nos. 52—6).,"56. Sk. ’22~67o; Block C’; sq. 43-86’; stratum II. Similar, of hornblende—schist, with ﬂanged neck—beading, and incised bands round lip, neck and middle of body. Height 2-37 in. Cf. p. 193 supra. (Pl. 141, e.)     1 . CLASS XII. Unguent vases (nos. 57—9, a). Cf. ‘Pottery’, ch. 23, Class III; l i, ‘ ‘ Copper and Bronze’, ch. 28, Class VI; ‘Silverware’, ch. 29, Class II , i Only two complete specimens of this class of vessel have been found, both from ‘ the Saka-Parthian city in Sirkap, but from the Greek level in the same site comes the fragment of a small cylindrical vessel of agate, which may have been used for the same purpose; and from Jandial a small phial of limestone, which was probably meant s V i . for some unguent or for kohl. The last-mentioned is of the early medieval period.",141-e,Sk,2,1922
57,34,86,B, XI. Open-mouthed vases with flat bases (nos. 52—6).,"57. Sk. ’29—2,48o; Block B’; sq. 34-86’; stratum V. Fragment of a cylindrical vessel of agate, with outer surface incompletely polished. Length 22 5 in.",,Sk,5,1929
58,27,84,A, XI. Open-mouthed vases with flat bases (nos. 52—6).,"58. Sk. ’20—166; Block A’; sq. 27-84’; stratum II. Pear-shaped alabastron of veined alabaster. Height 4-62 in. Cf. p. 195 supra. (Pls. 141, no. 58; 14.3, r.)",,Sk,2,1920
59,108,62,G, XI. Open-mouthed vases with flat bases (nos. 52—6).,"59. Sk. ’27; Trench H56; stratum I. Tall cylindrical unguent vase of grey schist, with cordon and incised bands round body. Height 6-37 in. (Pls. 141, f; 143, s.) 59, a. J1. ’12—138; Mound C; 3 ft. below surface. Kohl or unguent bottle of limestone, turned on lathe. Height 1-87 in. Cf. p. 197 supra. (P1. 14.1, g.) m             and Bronze’, ch. 28, Class XIV; ‘ Silverware’, ch. 29, Class III There are many goblets of earthenware, copper, bronze and silver belonging to the Parthian period at TaXila, but only two specimens in stone. Both are of the standard type, but owing to their material very heavy, inconvenient vessels, and without the widely ﬂared mouth which distinguishes so many of the earthenware and metal specimens. Cf. ‘Pottery’, ch. 23, nos. 88—91 ; ‘ Silverware’, ch. 29, nos. 5, a, b; ‘Copper and Bronze’, ch. 28, nos. 266—73. This standard type of goblet is identiﬁed with the Greek Kipcbplov, Lat. ciborium, by Dar. et Sag. I, p. 1171, but on what grounds is not clear. , 6o. Sk. ’13—173; Block G; sq. 108-62'; stratum II. Standard goblet of micaceous schist, decorated in low relief with band of quatrefoil rosettes between dog-tooth borders, and with lotus leaves below, springing upwards from the stem. Height 612 in. Damaged on one side and at foot. Cf. p. 168 supra; A.S.R. (1912), P1. XXX, d. (Pls. I4I,j; 14.3, o.)",14.1-g,Sk,1,1927
61,14,58,," XIII. Goblets (nos. 60, 61). Cf. ‘Pottery’, ch. 23, Class XIV; ‘Copper","61. Sk. ’16—846; Second Street (east); sq. 14-58’; stratum II. Similar, of grey schist, with three-stepped base and plain stem; body decorated with three bands of triple incised lines. Height 4-62 in. (Pls. 141, k; 143, t.) i i i i i i ii i i: i i i a: i: is gz I? i i   'zzmrmﬁmmxmumwﬁnwdwwm mama» 1a.»   gr”:— (31.25] STONE OBJECTS 493 Nearly all the articles under this head belong to the class of round toilet—trays usually divided into two or more compartments and embellished with ﬁgures or scenes sculptured in relief. Besides this impOrtant series of toilet—trays there are a few miniature trays of rock-crystal, emanating from the Bhir Mound, which in all probability were also meant for the toilet table, and a larger tray of hornblende micaceous schist from Sirkap, which was used no doubt for household purposes. Type a. Toilet—trays. The ornamental toilet—trays are made of schist, steatite, indurated claystone, slate or phyllite. Of the thirty—three specimens described below, thirteen are of grey schist, eleven of micaceous schist, ﬁve of steatite, two of indurated claystone, one of slate, and one of phyllite or phyllitic slate. No. 64, which is probably of the Saka period, is of steatite, but with this exception all of pre—Parthian date are of schist. The subjects portrayed in these toilet-trays are not numerous. They comprise the fOllOWIIlg: Subject No. of specimens (1) Satyr and nymph . . . . . . . . . . I (2) Figure reclining on couch attended by femalesI 2 (3) Drinking and dancing scenes . . . . . . . 2 (4.) Pair of ﬁgures (male and female) holding drinking-cups. 5 (5) Lions, leogryphs, winged stag, hippocamps and other ﬁsh-tailed monsters with riders . . . . . . . . . . . 6 (6) Ditto, without riders . . . . . . . . . . 14 (7) Gsometric and ﬂoral designs . . . . . . . . 3 Most Of thsss subjects are clearly Hellenistic, and there, can be no doubt that this kind (if {disarray was intraduced with Hellenistic culture from the West, whats spasimszis at thsaa have bass tea-,nd especially in Egypt. 2 Lasai Imiisa mikes haasvsr, ta ta"" be seen in the lotus rosettes or leaves used as s baskgrannd far many til: tilt: reliefs, 1n the makam-like treatment of some at the sea~manstsrs and passialy also in the pairs of ﬁgures holding drinking—cups, tha11gh,as to the last it is perhaps more likely that this motif, so familiar in the early Msthura School, may also have had a Hellenistic origin. In point of style no. 62, which comes from the Graeco— Bactrian city, has a distinctive character of its own, which apart from its place of ﬁnding would justify us in assigning it to the second century B.C. Instead of this tray being divided up, as nearly all the later examples are, into two or more compartments, the two ﬁgures occupy the centre of the ﬁeld and stand out with effective simplicity against the plain background. The ﬁgures themselves are treated almost as if they were in the round, rather than in relief,3 and the modelling of their forms, albeit sketchy, 1 The same subject is also represented on the lid of the vessel no. 106 infra. 2 E.g. Flinders Petrie, Objects of Daily Use, Pl. XXXIV, nos. 23—31. 3 This characteristic of most Hellenistic relief work is shared also by the reliefs round the abacus of the Asoka capital at Sarnath, which, as I have shown elsewhere, was executed by a Greek or a I’erso~Greek artist of the third century B.C. Cf. C.H.I. vol. I, p. 621, and Marshall and Foucher, The Monuments of Sdﬁchi, pp. 87, 88. M '1‘ 63 494 STONE OBJECTS [011. 25 is mgre conscientious than in the later trays. There is a certain distinctiveness, also, about the style of no. 63, which dates probably from the ﬁrst century B.C. and reﬂects the increasing decadence of Hellenistic art under Saka rule. The scene is of course a purely Greek one, and, although the ﬁgures individually are crudely modelled and stiff and wooden in their poses, their composition still reﬂects the older Hellenistic tradition. In no. 65, on the other hand, we recognise the effect of the Graeco- Roman art popularised at TaXila under Parthian rule, with its more crowded ﬁgures, and much greater freedom of composition and drawing; and we are on quite safe ground in referring to the same century (ﬁrst century A.D.) nos. 64, 66 and 76. But, apart from these few specimens, it is diﬂicult to determine the respective ages of these toilet-trays on the strength of their style alone. This difficulty arises from the fact that, with the passing of the Bactrian Greeks and coming of the Sakas, Hellenistic art in India rapidly declined, but revived again in the ﬁrst century under the rule of the Parthians, and though in the interim Hellenistic art: in Western Asia had to some extent been Romanised and undergone considerable changes in consequence, nevertheless it is often impossible to determine whether a particular example of debased Indo~Hellenistic work was executed before or after the Parthian revival. And this is true not only ef these stone carvings but of other branches of art as well. To be sure, the Indianised treatment of the couple in no. 70, so strongly reminiscent of the Mathura School, enables us to relegate this particular piece with conﬁdence to Parthian times, but it is not often that we get such light from the Indian side. Take, for example, nos. 78, 79 and 82. We infer from their ﬁndspots that they probably belong to the Saka period, but from their style alone it would be impossible, in the present state Of our knowledge, to afﬁrm that they were not strays from the Parthian level above. In regard to Graeco-Roman toilet-trays from Egypt, 21 paper by Sir John Evans in Proc. Soc. Antiq. (13 Feb. 1908) may be consulted, and also Flinders Petrie, Objects of Daily Use, ch. X, pp. 37—9, where he summarises whatever had then (1927) been published about these trays, their types and purpose.",,Sk,2,1916
