,X,Y,block,class,coord,description,plate,site,stratum,year
13,,,, VI. Rectangular plate on legs (no. I 3),,"13. Sk. ’26—4,o81/2o. From the same hoard as no. 1 (q.v.). Rectangular plate of silver, with curved rim, on four legs, one of which is missing. Size 8-8 x 6-12 in.; weight 5,378 gr. The legs, like the bases of the goblets, are an alloy of silver and copper, the copper being added probably to assist the soldering or welding of the metal. On the back is a short inscription in Kharoshthi, which reads: Mumjukritas(y)a sa 20 dra 1 = ‘(Property) of Mun‘njukrita, 20 staters, 1 drachm.’ Cf. p. I 57 (25) supra; C.I.I. II, pt. I, p. 98 (3) and P1. XIX, 3. For another example of a rect- angular dish (lanx quadrata), cf. B.M. Cat. of Silver Plate, no. 87, and Odobesco, Le Trésor de Petrossa, p. 111, ﬁg. 42. (Pls. 187, no. 13; 188, no. 13.)",,Sk,,1926
14,59,114,D," VII. Paterae of repoussé and incrusted silver (no. 14, a, b)","59,114","14, a, b. Sk. ’19—933/8; Block D’; deposit E; sq. 59-114’; stratum II. Two dishes or paterae of silver repoussé, once incrusted with gems or paste. Diam. 6-5 in. The repoussé decoration is disposed in concentric circles—~a small ring in the middle surrounded by pear- shaped cloisons; then a wreath divided into siX sections, with varying patterns; and round this, again, a swag border followed by a beaded edging. The incrustation was in the central ring, the pear-shaped cloisons and the swag border. For the pear-shaped cloisons, see Dalton, Treasure of the Oxus, no. 18, Pl. VIII. Parthian period. A.S.R. (1919), p. 19 and P1. VIII, 5. For details of the hoard in which these two paterae (no. 5) were found, see pp. I88—9 supra. (P13. 187, no. 14; 189, no. 14, a, 1).) Classes XX and XXI, nos. 306—18, and ‘Iron’, ch. 27, Class VI, no. 24",,Sk,2,1919
15,67,66,E," VIII. Ladles and spoons (nos. 15—17). Cf. ‘ Copper and Bronze’, ch. 28,","67,66","15. Sk. ’30—382/2; Block E; sq. 67-66’; stratum III. Ladle of silver with ring-handle, similar to the copper ladles nos. 3o6~8. Length 7-12 in. On the outside of the bowl is a short MT 78 614 SILVERWARE [CH. 29 Kharoshthi inscription of six letters, of which three only are legible, viz.: .ma ya. .sa. From same ﬁndspot as no. 6 (q.v.). Cf. p. 162 (20) supra. (Pl. 187, no. I 5.)",187-I 5,Sk,3,1930
16,77,66,E," VIII. Ladles and spoons (nos. 15—17). Cf. ‘ Copper and Bronze’, ch. 28,","77,66","16. Sk. ’13—194/2; Block E; sq. 77-66’; stratum II. From the same hoard as the Dionysus head no. 21. Silver spoon with handle terminating in cloven hoof and attached to the spoon by a rat-tail ridge. Length 637 in. This pattern of spoon was fashionable in the Hellenistic world from about 300 B.C. onwards, and a favourite one in Italy in the ﬁrst century AD. This one may either have been imported from the Mediterranean or copied from a Graeco-Roman model. Cf. the copper spoons nos. 312, 313; A.S.R. (1912), p. 26, no. 2 and Pl. XX, i. For other objects from the same hoard, see pp. 159—60 supra. (Pls. 187, no. 16; 189, no. 16.)",,Sk,2,1913
17,,,," VIII. Ladles and spoons (nos. 15—17). Cf. ‘ Copper and Bronze’, ch. 28,",,"17. Sk. ’26—4,o81/I6. From the same hoard as no. 1 (q.v.). Silver spoon with plain straight handle terminating in knob. The bowl of the spoon is shovel—shaped and very shallow. Length 625 in. Cf. p. 157 (26) supra; A.S.R. (1926), p. 115, no. 16. In the same hoard was also found the broken handle of another silver spoon terminating in a leaf (length 287 in.). (Pls. 187, no. 17; 189, no. 17, a, 1).)",,Sk,,1926
18,,,," IX. Strainers (nos. 18, 19)",,"18. Sk. ’26—4,o81 /18. From same hoard as no. 1 (gm). Circular strainer, with broad ﬂat rim furnished with ring-handle. Diam. 675 in. Cf. p. 157 (27) supra; A.S.R. (1926), p. II 5, no. 9 and P1. XXVII, 7. For earthenware strainers, see ‘Pottery’, ch. 23, Class XVIII, type b, and for examples in silver, Dar. et Sag. I, p. 1331, s.v. ‘Colum’, and RM. Cat. of Silver Plate, nos. 129, 146. (Pls. 187, no. 18; 189, no. 18.)",,Sk,,1926
19,,,," IX. Strainers (nos. 18, 19)",,"19. Sk. ’26—4,081/19. From same hoard as preceding. Basket—like strainer of silver, ﬁtted with ring-handle on either side. Height 512 in. On the outside, just below the rim, is a Kharoshthi inscription: Gomanada-putras(y)a jhan'idanamas(y)a= ‘(Property) of Jhamdanama, son of Gomanada.’ Cf. p. 157 (28) supra; A.S.R. (1926), p. 115, no. 7 and P1. XXVII, 5; and for the inscription, 011. II, pt. I, p. 99 (5) and P1. XIX, 5. The strainer is evidently a silver imitation of the kalathos or basket used in Greece and elsewhere for the straining of milk, etc. Also known as ﬁeués, oxoivwos, or \‘JNOTﬁp. Observe, however, that the plaiting is merely imitation in thin silver relief. Cf. Dar. et Sag. 3.7). ‘Calathus’, ﬁg. 1003. (Pls. 187, no. 19; 189, no. 19.) Cf. ‘Pottery’, ch. 23, Class XXVII, b",,Sk,,1926
20,,,," X. Lia's for large open-mouthed vessels (no. 20, a, [2).",,"20, a, b. Sk. ’26—4,o81/22; stratum III. From same hoard as preceding. Two circular concave lids of silver. Diam. 8-5 in. In the middle of the concave upper side is a looped handle in the form of a ﬁsh soldered, apparently with copper, to the lid. Cf. p. 157 (29) supra; A.S.R. (1926), p. II 5, no. 10 and P1. XXVII, 8. For concave lids of earthenware, see ‘Pottery’, nos. 186—92, types a—c. (Pls. 187, no. 20; 189, nos. 20, a, b.)",,Sk,3,1926
21,77,66,E," XI. Miscellaneous (nos. 21, 22)","77,66","21. Sk. ’13—-194/1; Block E; sq. 77-66’; stratum II. From same hoard as no. 16 (q.v.). Head of Dionysus or Silenus, in silver repoussé, with stand beneath. Height 3-75 in. The relief of the head is 1-25 in. deep; the metal is extremely thin and brittle, and there is a break near the right ear and at the base of the rim. The head of the god is bald on top and wreathed with a grape-vine. His ears are pointed. In his right hand he holds a two—handled wine—cup (kantharos). Behind his head passes the curved staff (thyrsos), with a bell suspended at its end. The front of the stand is adorned with a conventional palmette, and a rosette beneath; behind, is a curved ‘thumb—piece’ which enabled the head to be set in a slanting position on the table. The stand closely resembles the handle of a kylix and was probably made for that purpose. For the form of the stand, cf. Schreiber, Alexandrinische T oreutik, ﬁgs. 52—4, 60, 61, 71, etc. CH. 29] SILVERWARE 615 and Taf. 1—3; B.M. Cat. of jewellery, p. 240, no. 2112. For the bearded type of Dionysus holding a kantharos, cf. Dar. et Sag. s.v. ‘Bacchus’, pp. 627 ff. and ﬁgs. 709, 710, and ssv. ‘Cantharus’, p. 893, n. 8, where numerous examples are cited. The kantharos is of a type which was in fashion about 300 B.C., but the relief may be a ﬁrst century copy of older work. Cf. p. 159 (1) supra; A.S.R. (1912), p. 26, no. 1 and P1. XX, a. (P1. 209, a.)",209-a,Sk,2,1913
22,77,66,E," XI. Miscellaneous (nos. 21, 22)","77,66","22. Sk. ’13—194; Block E; sq. 77-66’; stratum II. Circular boss of shield (Gr. éuquxég) composed of two thin plates, an iron one on the inside, a silver one on the outside, riveted together at the edge with six silver nails. Diam. 469 in. At the back were three looped cross- pieces for the attachment of the handle. Compare the shield bosses in ‘Iron Objects’, ch. 27, nos. 93—5 and P1. 45, and ‘Copper and Bronze’, ch. 28, nos. 388, 389. This shield- boss was used to close the mouth of the earthen jar containing nos. 16 and 21 supra and a quantity of gold jewellery. Cf. pp. 159—60 supra. (Pl. 187, no. 22.)",187-22,Sk,2,1913
