,X,Y,block,class,description,plate,site,stratum,year
33,27,91,A, X. Seated male ﬁgure. Of the Greek and Saka—Parthian,"33. Sk. ’29—2, 541; Block A’; sq. 27~9I’; stratum IV. Male ﬁgure in round, seated cross- legged in Indian fashion. Height 3 in. Wears long coat crossed over chest, with waist-band and trousers. Hands resting on legs. Traces of white paint. Head missing. Red terra—cotta. (Pl. 133, no. 33.) _",133-33,Sk,4,1929
34,,,D, X. Seated male ﬁgure. Of the Greek and Saka—Parthian,"34. Sk. ’29—2,o36; Block D; sq. 5746'; stratum II. Male ﬁgure seated in European fashion on stool. Height 3-12 in. Wears dhoti and scarf. Although the dress is Indian, the ﬁgure seems to be under Greek inﬂuence. Right hand damaged and head missing. Red terra-cotta. Cf. p. 157 supra. (Pl. 133, no. 34.) Type a. Many specimens of this type of votive plaque have been found in the Bhir Mound, but two examples, will sufﬁce for them all. They are of the third or second century B.C.",133-34,Sk,2,1929
35,44,128,, XI. Male and female ﬁgure standing side by side (nos. 35-8),"35. Bin. ’2I—I,551; sq. 44'128'; stratum II. A.S.R. (1920), P1. XVI, 8. Votive plaque of red terra—cotta, representing a male and female ﬁgure standing side by side and holding hands. Height 481 in. No wash or slip. The male wears turban, dhoti', shawl, necklace, and ear-rings; and is holding the side of the shawl with his right hand. The female wears a head-dress with a topknot and long veil falling down on either side of the head; also large ear-pendants and necklace; her left hand rests on her hip. This plaque is cast from the terra-cotta matrix Bm. 1,55 I, which was found in the same spot along with a number of similar plaques. (P1. 13 3, nOS- 35, 35, a-)",13 3-nOS- 35-35-a-,Bm,2,
36,34,42,B, XI. Male and female ﬁgure standing side by side (nos. 35-8),"36. A similar plaque, but broken, was also found in Sirkap (Sk. ’15—881 ; Block B; sq. 34-42’; stratum II). Height 3-87 in. It dates from the second century B.C. Cf. p. 148, no. 3 supra. Pairs of male and female ﬁgures Pot-bellied dwarfs 450 TERRA‘COTTA AND CLAY OBJECTS [CH. 24. Type I). In another type (b) of the same subject, the woman is standing with her right leg drawn back and her weight resting on the left leg. “",,Sk,2,1915
37,26,34,, XI. Male and female ﬁgure standing side by side (nos. 35-8),"37. Bm. ’2o~~«1,o44; sq. 26-34’; stratum III. Votive plaque representing a male and female standing side by side, the female with right leg drawn back. Height 2-68 in. She wears a girdle round her waist and anklets. No wash or slip. Red terra-cotta. The upper half of the plaque is missing. (Pl. 133, no. 37.)",133-37,Bm,3,
38,34,65,, XI. Male and female ﬁgure standing side by side (nos. 35-8),"38. Ben. ’2o~214; sq. 34'65’; stratum II. Similar. Height 325 in. The upper part is missing. (Pl. 133, no. 38.) With them may be compared the kumbhdnda dwarfs at Saﬁchi, notably on the western gateway. Type a. Standing",133-38,,2,
39,44,128,," XII. Pot-bellied dwarfs (kumbhanda 0r kichaka) (nos. 39—44, a)","39. Bm. ’15~3 12; stratum II. Lower half of a standing dwarf of terra-cotta. Height 3-37 in. Prominent belly with a girdle beneath. Another kumbhanda of the same type is holding a ram in his two arms (Dh. ’14—141; stﬁpa area; I ft. below surface; height 362 in.). It is probable that this one was doing likewise. (Pl. 133, no. 39.) Type 6. Squatting 4o. Bm. ’21—I,54o; sq. 44-128’; stratum II. Figurine of a pot-bellied squatting dwarf (kumbha'na'a) with wrinkled face and bulging eyes, wearing coiled head-dress, wreath(?) and large ear-ornaments. Height 4-75 in. It has been suggested that this type may be connected with the crouching Harpocrates, but it seems more likely to be purely Indian. Cf. Brit. Museum, terra-cotta no. C 584; W. Weber, Berlin Museums: Aegyptzschegriechz'schen Terrakotten, P13. 6, 7, nos. 71—80. Similar dwarfs are among the ornaments on the dress of a terra-cotta ﬁgurine—possibly a yakshz' queen—now in the Indian Institute at Oxford. The ﬁgurine, which is the ﬁnest work of its kind I have yet seen, dates from the Maurya or Sunga period. (Pl. I 33, no. 40.)","133-39, I 33-40",Bm,2,1915
41,,,," XII. Pot-bellied dwarfs (kumbhanda 0r kichaka) (nos. 39—44, a)","41. Bm. ’21—962; sq. 39‘117’; stratum II. Height 4 in. Figure of a pot-bellied squatting dwarf of red terra-cotta. Wears hair in two coils, one on each side of head, and heavy ear—rings. Typical early Indian work. Cf. A.S.R. (1920), PI. XVI, 13. (Pl. 133, no. 41.) '",133-41,Bm,2,1921
42,13,47,1," XII. Pot-bellied dwarfs (kumbhanda 0r kichaka) (nos. 39—44, a)","42. Sk. ’26—4,247; Block 1; sq. 13-47’; stratum II. Squatting kumbhanda on a cushion, holding animal in curve of left arm. Height 3 in. He wears what appears to be a skull-cap turned over at the brim and two long ear-pendants. The expression of the face calls to mind the faces of Mara’s soldiers on the north gateway at Saﬁchi. In this and other similar kumbhanda ﬁgures may be seen perhaps the prototype of the later ﬁgures of KuVera. Cf. p. 142 supra. (Pl. 133, no. 42.) 42, a. Another example of the same kumbhdnda (height 2-12 in.) is seated cross-legged _ instead of squatting, and holds a staff (P) in both hands (Sk. ’28—2,645; sq. 14-86’; stratum II). Cf. p. 196 supra.",133-42,Sk,2,1926
43,41,119,," XII. Pot-bellied dwarfs (kumbhanda 0r kichaka) (nos. 39—44, a)","43. In yet another example the kumbhanda is squatting and holding a bird in the bend of his left arm (Bm. ’30—165; sq. 41-119’, stratum I). Height 4-2 5 in. In this example the head and right foot are missing. (P1. 133, no. 43.)",133-43,Bm,1,1930
44,44,128,," XII. Pot-bellied dwarfs (kumbhanda 0r kichaka) (nos. 39—44, a)","44. Along with the above may be mentioned a mould of a grotesque standing ﬁgure of an old man, with bald head and wrinkled face but Without the characteristic pot-belly. It comes from the Bhir Mound and dates from about 200 B.C. (Bm. ’20—1, 5 50; sq. 44-128’; stratum II). Height 5-12 in. Cf. A.S.R. (1920), P1. XVI, 4. (Pl. 133, nos. 44 and 44, a.)     l l l g i a l l l 1‘ g i ,- i l 1 mmimwwwwmgs. (111.24] TERRA—GOTTA AND CLAY OBJECTS 451",133-nos. 44 and 44-a,Bm,2,1920
45,,,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"45. J1. ’13—4; Mound C; 6 ft. below surface. Standing female draped ﬁgure of ﬁne brown terra-cotta. Height 2-62 in. Face mutilated and legs from knees downwards missing. Arms at-full length on either side. Wears long chitén held in by girdle at the waist, necklace and ear- pendants. This may possibly be the Yavana equivalent of the draped Indian goddess standing and holding both hands at her sides. The conventional and schematic position of the arms and hands suggests that this was intended for a traditional idol, not for a genre ﬁgure. Cf. p. 224 supra. (Pl. 133, no. 45.)",133-45,,,1913
46,25,84,A, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"46. Sk. ’20—51 1; Block A’; sq. 25-84’; stratum III. Female head of red terra—cotta. Height 2-37 in. Wears wreath and head band, with rosettes above ears and high coiffure behind. Small air-vent on top of head. The style is strikingly Hellenistic, like that of many terra-cotta heads from the mound of Akra near Bannu. Cf. p. 195 supra. (Pl. 133, no. 46.)",133-46,Sk,3,1920
47,90,50,F, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"47. Sk. ’26—2,689; Block F; sq. 90-50’; stratum III. Head of female ﬁgurine of buff—coloured terra-cotta. Height 2-37 in. Wears openwork net, perhaps of gold or silver, over front of hair and high bandeau behind, with rosettes above the ears. Good Hellenistic style. Cf. p. 166 supra. (Pl. 133, no. 47.)",133-47,Sk,3,1926
48,107,78,G, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"48. Sk. ’28—I,977; Block G’; sq. 107-78’; stratum II. Head of female ﬁgurine of terra-cotta wearing prominent ear cones and ﬁllet band over curly hair. Height I - 37 in. In good Hellenistic style. The cones at the sides of» the head call to mind the face—cones of prehistoric ﬁgurines of the Indus period. Cf. M.I.C. vol. 111, P1.Xcv, 26, 27. (Pl. 133, no. 48.)",133-48,Sk,2,1928
49,27,92,A, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"49. Sk. ’29—2,978; Block A’; sq. 27-92’; stratum V. Head of female ﬁgurine of red terra- cotta, wearing simple ﬁllet (taenia) over her curly hair. Height 1-12 in. Seen in proﬁle, the face has a very pleasing smile. Cf. p. 127 supra. (Pl. 133, nos. 49 and 49, a.)",133-nos. 49 and 49-a,Sk,5,1929
50,,,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"50. Dh. ’15—388; mon. court A; 5 ft. below surface. Head of male ﬁgurine with conical cap. Height I in. Dark red slip. Probably of Parthian date, but Hellenistic in its featuring. Cf. 21.3.12. (1915), p. 10 and p. 278 supra. (Pl. 133, no. 50.) The two following are Penile-Greek in style.",133-50,Dh,,1915
51,,,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"51. Sk.”:gwmz; meek F; Sq. 85'63’; stratum II. Head of male ﬁgurine with conical cap. I Height 1'. 75 in Of same date as the stucco heads from the apsidal temple D, which, like this head, are of the Parthian period. Cf. ‘Stucco Objects, ch. 26, nos 1—22 and p.166 supra. (H.134, no. 51.)",,Sk,2,
52,,,B, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"52. Sk. ’—-29 2,693; Block B’; sq. 28 93’; stratumV. Head of male ﬁgurine. Height 2 12 in. Wears moustache and wreath, with the hair falling on each side over ears. Cf. p. 127 supra and the small relief of a head in shell of Parthian date, Pl. 208 no. 51-- —— ‘ Shell Objects, ch. 33, no. 42. (Pl. 134 no. 52.)",134 52,Sk,,
53,,,C, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"53. Sk.’ 29—2, 813; Block C’, sq. 52 88’; stratum IV. Head and shoulders of a gorilla-like ﬁgure belonging to the Simidae family—probably an orang-utan but the identiﬁcation IS not certain enough to admit of inferences being drawn from it. The ﬁgure, which is in the round, has a wide-open mouth and wrinkled forehead. It is a very ﬁne bit of modelling, probably of the second century B. C. ——too ﬁne to have been an ordinary toy. Traces of white paint on face, neck and shoulders. Cf. p. 127 supra; A. SR. (1929-30), p. 91, no. III and P1. XIV, 1. (P1 134, no 53 ) Greek and Partho—Greek ﬁgurines yea» i 1: t 1%   swugnwm nrmyww\ﬂe~amﬂsﬂg&Wy/A W‘Z’zia‘é'wwvé Wswwmmwgwn Miscellaneous ﬁgures and . other objects Children’s toys Chariots   452 TERRA—GOTTA AND CLAY OBJECTS [CH. 24 s: C LASS XIV. Miscellaneous (nos. 54—7)",,Sk,4,
54,114,81,G, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"54. 8k. ’28»42,054.; Block G’; sq. 114'81'; stratum II. Head and bust of androgynous ﬁgure in round. Height 45 in. The breasts are prominent, like those of a woman, but the head is bearded and there are traces of a moustache painted in a black pigment. The nose is damaged; the upper part of the head, left. eye and ear are missing. Of coarse clay with red slip. Work- manship crude. Cf. p. 181 supra. (P1. 134, no. 54.)",134-54,Bl,2,1928
55,,,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"55. Bin. ’20; GQS; stratum II. Terracotta idol in archaic form, three—quarter length, with square tenen below. Height 387 in. Wears pleated tunic with two ﬂounces held in by a belt at the waist. Ornamental harder resend edges of tunic and on belt. Head and left arm missing. No wash or slip. (Fl. :34, as. 33.)",,,2,1920
56,,,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"56. Bm. ’Igmsr. Rectangular éyégapera plaque e5 red tetra-certs, with depression in the middle surrounded by a denials binder. 353$ '33,? X acts in. in the outer berder. at bottom, a tiger pursuing an antelope, with a pig(?) behind. In rightohand batten; earner, a pair of ﬁshes; in left, a standing elephant. Above there an either side. as granting draped female ﬁgure carrying uncertain object, perhaps a ‘ehielt? device can head. At tsp. ﬁsts? pattern. In the inner border, four female musicians at: the fan: earners and a dancing girl on either side; on top, a bhadm‘gham with lotus; belsw, shell and fellate design. Frebebly dates from beginning of Christian era. Flew it came tn be buried 3:; er en ft. deep in. the an? Mound can only be surmised. Possibly it was throw: down a scale-well. (Pl. 16:34, no. 56.)",16:34-56,Bm,,
57,48,116,, XIII. Greek and quasi—Greek ﬁgurines (nos. 45—53),"57. Bm. ’30—262; sq. 48-116; stratum II. Fragment of red tetra—«ends plaque with upper half of a female dancer in relief. Length 1‘75 in: She wears a beaded headdress with rosettes in front, circular ear~pendants, necklace and bangles. Of unusually ﬁne workmanship. Second century B.C. (Pl. I34, no. 57.) Such children’s toys as have survived at Taxila are mainly of terra—cotta——that being the commonest and least destructible of the materials used for them. L These toys comprise: (a) toy carts drawn by a variety of animalsa—horses, bulls, rams and birds; ([7) animals running on wheels; (c) animals without carts or wheels; (d) rattles. Of these there are only two specimens from the Bhir Mound and one from Sirkap (nos. 58—60).",I34-57,Bm,2,1930
58,38,9,, XV. Toy carts (mricchakatika) (nos. 58—60),"58. B111. ’21—596; sq. 38-9’; stratum II. Terra—cotta chariot with a transverse hole for axle underneath the body and another hole for the pole in front. Length 3- 5 in. Of red terra-cotta. The form of this light chariot will be clear from the illustration. Cf. ‘Copper and Bronze’, ch. 28, nos. 390—2 (P1. 185, i). The chariot with sloping sides is western, not Indian (Pl. 134, no. 8 . ' ,",185-i,,2,1921
595,32,35,, XV. Toy carts (mricchakatika) (nos. 58—60),595. )Bm. ’24—538; sq. 32-35'; stratum II. Similar to no. 58. Length 375 in.,,Bm,2,1924
60,114,79,G, XV. Toy carts (mricchakatika) (nos. 58—60),"60. No toy chariots of the above type have been found in Sirkap. The nearest approach to them from that site is the light vehicle—a sort of dog-cart, illustrated in P1. 134, no. 60 (Sk. ’28~I,913; Block G’; sq. 114-79’; stratum II). It is furnished with two holes in front for the shafts and two grooved projections underneath, for the wheel-axle. Length 2 in. Two wheels from the same site (Sk. 458 and 1,347) have been ﬁtted to it. Cf. pp. 181, 209 supra. (Pl. 134, no. 60.) ' It is noteworthy that the Wheels of these toy chariots from the Bhir Mound show heavy and clearly deﬁned hubs and fellies. The Wheels from Sirkap show hubs but not raised fellies. CH. 24.] TERRA-GOTTA AND CLAY OBJECTS 453 This kind of toy, which like the cart, was essentially Indian, was common on the Bhir Mound but rare in Sirkap. The specimens from the former site include horses, humped bulls, a ram and birds (nos. 61—71).",134-60,Sk,2,1928
61,34,39,, XVI. Toy animals running on wheels (nos. 61—71),"61. Bm. ’zo—I,619; sq. 34-39’; stratum II. Horse on wheels of red terra—cotta. Length 6 in. Neck-band with three pendants. The head-stall comprises cheek-straps, front, face-piece and nose—band; the plume is broken. The bridle is decorated with straps, bosses, etc. Two trans- verse holes through fore- and hind-legs for the axle—trees of wheels. Head and hindquarters damaged. Rosette on each side of neck.",,Bm,2,
62,27,49,F, XVI. Toy animals running on wheels (nos. 61—71),"62. Bm. ’30—963; sq. 27-49’; stratum II. Similar to preceding, with remains of plume on top of head and tassel behind each ear. Length 4-25 in. Body decorated with stamped square devices and small circlets. The four wheels ﬁtted to it were found on the same site (nos. Brn. ’29~102; Bm. ’30—776, 160 and 278). The two fore- and two hind-legs were made in one piece for the sake of stability. (P1. 134., no. 62.) The one and only horse on wheels from Sirkap resembles the earlier specimens from the Bhir Mound in that the fore- and hind-legs are made in one piece and pierced with transverse holes for the axle-trees, but it differs from them in being more truthfully modelled, though less ornamental. It has a neck—band of two incised parallel lines with a row of dots between, and a head-stall consisting of cheek-straps, front and face piece; but it has none of the stamped squares, triangles or circles which characterise many of the horses and elephants from the Bhir Mound, nor the tassels and other decorative features which in the earlier period were so dear to the heart of the Indian craftsman. 63 Sit.’ 13*«5’33 Block F; sq 89 55’ , stratum III. Horse of toy cart, with incised neck- hand Height 5 3 in. We transverse holes through legs for axles, and hole through mouth for string. B‘s ‘rmedeiied than the earlier horses from the Bhir Mound, but less decorative.     64 Em, s!£}~$3§2‘ sq :4 154"" , stratum II. Red terracotta bull, provided with two transverse _ 116363 for sales, and another hole through nose for string. Height 3 5 in Fitted with four Wheels found on the same site (Bm.15677o, etc”) A tolerably well-modelled animal, Without stamped devices or ornaments. Cf. A.S.'R. (1919), P1. XI, I 5. (Pl. 134, no. 64.)","134.-62, 134-64",Bm,2,1930
65,,,, XVI. Toy animals running on wheels (nos. 61—71),"65. Em. ’15-304; stratum II. Similar to preceding and of same date, with bands in front of horns meeting on forehead. Length 4-62 in. (Pl. 134, no. 65.) L",134-65,,2,1915
66,,,, XVI. Toy animals running on wheels (nos. 61—71),"66. Bm. ’15—306; stratum II. Similar to preceding, but without head-bands, and of rougher workmanship. Length 3-75 in.",,Bm,2,1915
67,,,, XVI. Toy animals running on wheels (nos. 61—71),"67. Bm. ’15—307; stratum II. Terra-cotta ram with two transverse holes through front and hind—legs for axles. Length 412 in. Head damaged. (Pl. I 34, no. 67.)",I 34-67,Bm,2,1915
68,110,86,, XVI. Toy animals running on wheels (nos. 61—71),"68. Bm. ’21—642; sq. 110-86’; stratum II. Terra-cotta bird, probably duck, with two transverse holes, one through the beak for a string, the other through the body for the axles. Length 3- 5 in. Of red terra-cotta mixed with lime. (Pl. I 34, no. 68.)",I 34-68,Bm,2,1921
69,31,31,B, XVI. Toy animals running on wheels (nos. 61—71),"69. Bm. ’24—622; sq. 31-31’; stratum II. Similar to preceding. Length 4-87 in. (P1. 134, no. 69.) The toy birds described above come from the Maurya stratum in the Bhir Mound. They have rounded bodies, small tails and small, duck-like heads. The examples which follow, from Sirkap, have ﬂat bodies and triangular heads. MT 53 Horses Bulls Birds 4.54 TERRA~COTTA AND CLAY owners [on 24 7o. Sk. ’129— ,965; Block B’; sq 35 88"" stratum V. 'loy bird of red terra- cotta, with ﬂat body and broad tail. Length 3 62 in. A transverse hole through the breast for the axle of the < wheels, and another through the eyes for a string. Reddish buff clay. Triangular-shaped head. 5 (Pl. 134, no. 70.)","134-69, 134-70",Bm,2,1924
71,,,1, XVI. Toy animals running on wheels (nos. 61—71),"71. Sk ’29—3,165; Block 1’ ; sq. I 3 92"" , stratum VI. Similar to preceding. Length 3 75 in. Body decorated with incised lines. (H.134, no. 71.)          These comprise elephants, horses, humped bulls, a camel, dog(?), rams, wild goats(?), birds and monkeys. Elephants Terra—cotta elephants are found in both the Bhir Mound and Sirkap. Some have riders, some not. Some are quite plain, others are provided with trappings, and others, again, are adorned with stamped designs. As a rule, the earlier specimens from the Bhir Mound are more ornamental than, the later from Sirkap. No. 72, however, from the Bhir Mound is quite plain, and no. 73 from the same site has only a girth and neck ropes to relieve its plainness, but most of the Bhir Mound specimens are embellished with a variety of small patterned squares or triangles or circles or lozenges stamped on the surface of the head and trunk. One elephant only of this class comes from Sirkap, viz. no. 75, and in this case there is only one stamped device instead of several, and the workmanship has become noticeably cruder. Some effort towards decoration has been made in the case of the Sirkap elephant no. 76, but the ornament consists only of a row of incised circles to indicate the girth, and a group of similar circlets on the head to indicate perhaps the head-cloth. The few examples of these elephants which carry riders come exclusively from the Bhir Mound, and are easily recognisable from the peculiar way in which the legs and seats of the riders are ﬂattened against the body of the elephants. Evi- dently the toy—makers from T axila had much greater difﬁculty in giving the riders 3 a natural seat on the backs of these great beasts than the sculptors of Saﬁchi had. 5 Possibly they were not so much at home with the elephant as were their fellow craftsmen of Central India and Hindustan. It is evident, too, that in the pre—Greek period represented on the Bhir Mound these toy elephants were much greater favOurites than later on, when the Maurya rule had been replaced by the Yavana. As regards technique, most of the elephants are solid throughout, but a few of the largest ones from the Bhir Mound (e.g. nos. 78 and 79), like some of the largest horses, have hollow bodies and legs. This is for the sake of lightness. Such speci- mens are not very well modelled nor are they embellished with stamped designs. With few exceptions, the clay is red and well-burnt but Without any slip, though in one or two of the better examples a wash has been applied to the surface. Only rarely is the clay grey-black, e.g. in no. 76 and in the miniature elephants nos. 80 and 81. The tusks are of one piece with the rest of the beast, not inserted, as they sometimes are in other parts of India, into sockets. The eye is generally diamond—shaped and stamped, but sometimes lozenge-shaped. 3%     CH. 24] TERRA—GOTTA AND CLAY OBJECTS 455",,Sk,6,1929
72,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"72. Bm. ’13—177; stratum II. Toy elephant of solid red terra-cotta, without trappings or decoration. Length 5-75 in. Trunk and ears damaged. (Pl. 134, no. 72.)",134-72,Bm,2,1913
73,40,126,, XVII. Toy animals without carts or wheels (nos. 72—107),"73. Bm. ’21—},618; sq. 40-126“, stratum II. Similar to preceding but of buff—red terra— cotta, with girth and neck-ropes. Height 4-25 in. An extra length of rope is attached to the girth to enable the riders to mount from behind. Trunk and right hind-leg damaged.",,Bm,2,1921
74,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"74. Bm. ’30—205; sq. 53°} 19’; stratum II. Similar to preceding, with stamped decoration on forehead and trunk. Height 4-6 in. Red terra-cotta.",,Bm,2,1930
75,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"75. Sk. ’12; Trench A 289; stratum II. Similar to‘ preceding, with stamped decoration on trunk and garland over forehead. Height 3-75 in. (Pl. 134, no. 75.)",134-75,Sk,2,1912
76,84,55,F, XVII. Toy animals without carts or wheels (nos. 72—107),76. Sk. ’12~6o; Block F; sq. 84-55’; stratum III. Toy elephant of grey terra-cotta with stamped decoration on forehead and trunk. Height 2-82 in. Girth and head-cloth indicated by incised circlets. Trunk and legs missing. Cf. p. 166 supra.,,Sk,3,1912
77,26,13,, XVII. Toy animals without carts or wheels (nos. 72—107),"77. Bm. ’19—1,955; sq. 26-13’; stratum III. Hind—part of elephant of ﬁne terra-cotta with ornamental body-cloth and four riders. Height 5-25 in. (Pl. 134, no. 77.) As stated above, the largest specimens of toy elephants are made, for the sake of lightness, with hollow bodies and legs. Specimens of this class are only two in number, both from Bhir Mound.",134-77,Bm,3,1919
78,50,118,, XVII. Toy animals without carts or wheels (nos. 72—107),"78. Bm. ’30—237; sq. 50.118’; stratum II. Toy elephant of coarse red terra-cotta with hollow body, legs and trunk. Length 812 in. Round the body is a girth-rope with one end left free to help the riders in mounting. (Pl. I 34, no. 78.) ’",I 34-78,Bm,2,1930
79,41,123,, XVII. Toy animals without carts or wheels (nos. 72—107),"79. Bm. ’2I~I,605; sq. 41-123’; stratum II. Similar to preceding but more damaged. Length 737 in. To a class by themselves belong a number of miniature toy elephants, of very etude workmanship,found both in the Bhir Mound and in Sirkap.",,Bm,2,
