,X,Y,block,class,description,plate,site,stratum,year
51,,,,,"51. In. ’16—F 563. Height 6-12 in. This was once a head of exceptional beauty, showing great delicacy in the modelling of the lips and cheeks. Unfortunately, the ushm'sha is missing and the nose and ear-lobes are damaged. There is a buff slip and traces of red paint on lips and eyes, and of black paint on the hair and eyebrows. (P1. 153, b.) The remaining Buddha heads from Iauliaﬁ, illustrated on P1. I 58, are much inferior in style and execution to the preceding, but they are the work of various hands and represent several characteristic types of which there are many more examples at Taxila. Thus, no. 52 belongs to a class of heads which are distinguished by a rather small chin and largish mouth, with the underlip deﬁned by a simple curve at the lower edge, giving a slightly supercilious look to the face. In this type, too, both the upper and lower eyelids are bordered by simple instead of reﬂex curves, and, as a rule, the cheek—bones are wide and pronounced, though more so in other examples than in the one illustrated. No. 53 on the other hand, has a narrower face with higher forehead, more rounded cheeks and a small mouth, which imparts to it a rather insipid and soulless expression; and the same remarks 1 Cf. Foucher in jauh'dﬁ Mem. p. 28. 1 Cf. Grunwedel, Buddhist Art in India, p. 105. E v WWWLam-WWMammsmmammwm / a,” .wwwmmwama.~;ww Awwwrwmm-aw E E E             CH. 26] srucco SCULPTURES 527 apply also to no. 54, only that in this type the face is broader, the cheeks fuller and the eyelids heavier. In no. 55, again, we have a more unconventional cast of countenance, with dull, ﬂeshy features in which no spark of inspiration or beauty is visible.",153-b,Gr,,1916
52,,,,,"52. In. ’16—1 19. West of main stﬁpa. Stucco head of the Buddha. Height 7-12 in. Buff slip. Traces of red and black paint. This head has been struck from the same mould as the two heads illustrated in my Memoir on the Stﬂpas and Monastery at jaulia'ﬁ, P1. XIX, d, e, but it is noteworthy that the hair in each case is differently treated, showing that it was modelled by hand; and there are other small differences as well, due to retouching. The cast of features distinctive of these heads has already been remarked on. (Pl. 158, a.)",158-a,,,1916
53,,,,,"53. In. ’16—168, a. Main stﬁpa-court. Stucco head of Buddha. Height 8-5 in. Right eye- brow and ﬁrm? damaged. Lime—wash. The eyebrows are highly arched; the eyelids more than half—closed and doubly ﬂexured but not oblique; the mouth small and lacking in character. The modelling of all these features and of the cheeks and nose, is reﬁned and delicate. On the other hand, the hair is treated in a very perfunctory manner and evidently relied upon colour to help out its deﬁnition. in. Mem. p. 43, no. 14. (Pl. 158, b.) 7 .",158-b,,,1916
54,,,,,"54. In. ’I6—F 12. Main stﬁpa—court. Stucco head of the Buddha. Height 7 in. Ears slightly damaged. The hair in this example is treated more effectively than in the preceding, but is still somewhat crude. On the other hand, the deﬁnition of eyebrows, eyelids and mouth is not so delicate and there is little mobility in the modelling of the cheeks. j’n. Mem. Pl. XIX, g. (Pl. 1 58, d.)",1 58-d,,,
55,,,,,"55. In. ’16—192, b. From between stﬁpas A11 and A12. Upper part of Buddha ﬁgure in the s’z'kshd-mudrd; with saﬁghdﬁ over both shoulders. Height 9-37 in. The features are full and ﬂeshy and devoid of all spirituality. The hair is disposed in ringlets, which are perfunctorily indicated by small, round depressions. The hands are well modelled and natural. Traces of red paint on hands, lips, ears, eyes, forehead and saﬁghdﬁ. The left ear is damaged. 3%. Mem. P1. XIX, 6. (Pl. 158, c.)",158-c,,,1916
56,,,,,"56. In. ’16—10. Main stﬁpa—court. Stucco head of a Bodhisattva. Height 7 in. Right ear missing. Hair conﬁned within a ﬁllet and waved from forehead over the ears. ,Wears kuztdala in left ear. This is a particularly ﬁne head with classic but not over-conventionalised features; at once digniﬁed and reposeful. in Mem. Pl. XXI, s and p. 47, no. 71. (Pl. 158», e.)",158»-e,,,1916
57,,,,,"57. In. ’16—56. Between chapels CI and DI. Upper part of Bodhisattva ﬁgure, with damaged halo and head-dress. Height 6-75 in. He wears an elaborate head-dress and numerous ornaments, including ear—rings, torque and necklace. The hair is bound by a taem'a with rosettes in front and to either side; above, ends of ribbon bow. A ﬁne decorative piece, recalling to mind some Roman imperial ﬁgure. Unfortunately, the surface of the stucco is very rough, and its appearance much impaired thereby. 3‘71. Mem. Pl. XX, a and p. 44, no. 29. (Pl. I 58, h.)",I 58-h,,,1916
58,,,,,"58. In. ’16—103, 6. West of stﬁpa D4. Upper portion of a female devotee, with face turned to her right. Height 6 in. Hair in corkscrew curls conﬁned by ﬁllet, with fan—tailed head—dress on top. Wears ear-rings and bracelets. Is offering ﬂowers from a fold in her shawl. Observe that the features are slightly lop-sided, owing to the face having been turned partly towards the wall—a defect seen in a great many of these ﬁgural reliefs from the sides of stﬁpas, e.g. nos. 60, 61, 66 infra. j‘n. Mem. P1. XX, d and p. 44, no. 32. (P1. 158, g.)",158-g,,,1916
59,,,,,"59. In. ’16—545. Female ﬁgure, with head and legs missing. Height 7-37 in. Wears sleeved tunic and scarf, a necklace with pendant in front and bangles on her wrists. The tunic is fastened with a band above the waist, and falls over it much like the Greek kolpos. On scarf and tunic are traces of red paint. The ﬁgure is well and vigorously modelled and affords a good illustration of the dress of the period. 3%. Mem. P1. XXII, a, and p. 47, no. 79. (Pl. 158, k.) 67—2   Bodhisattvas Lay and other attendants Atlantes Animals Miscellaneous         528 srucco SCULPTURES [GIL 26",158-k,Gr,,1916
60,,,,,"60. In. ’16—5. West of main stﬁpa. Upper half of a male attendant, with head turned to right. Height 7-25 in. Hair curled back over forehead and ears. Wears torque and cylindrical ear-ring. What appears to be a twisted scarf is thrown over the right shoulder. in. Mem. p. 48, no. 89. (Pl. I58, 1'.)",I58-1',,,1916
61,,,,,"61. In. ”16—34. South of main stﬁpa. I ft. 6 in. below surface. Head of a devotee with elaborate head—dress and ushm‘sha-like top-knot. Height 2- 5 in. Wears ear-rings. Red paint on lips, nose and eyelids, and black paint on eyebrows, eyeballs and hair. 3%. Mem. Pl. XX, h, and p. 44, no. 38. (Pl. 158, l.)",158-l,,,
62,,,,,"62. In. ’16—F 2 5. Upper half of an atlant, holding club or sword in right hand and strap in left. Height 7-62 in. His hair is conﬁned within a bordered cap, and falls in wig-like masses over both ears. Note the large prominent eyes, strongly modelled brow, full, ﬂeshy cheeks and lips. in. Mem. Pl. XXII,j and p. 48, no. 90. (Pl. 158, n.)",158-n,,,1916
63,,,,,"63. In. ’16—23. Between stﬁpa and chapel. Stucco head of a ﬁgure with a prominent brow and cheek—bones. Height 3-37 in. A medallion on taenia over forehead. Left side damaged. in. Mem. P1. XXIII, g, p. 49, no. 95. Observe the exceptional vigour and freedom in the modelling of the features. (Pl. I 58, j.)",I 58-j,,,1916
64,,,,,"64. In. ’I6—I6I, d. Between main stﬁpa and A13. Upper half of atlant. Height 287 in. With wide—open eyes and thick moustache. Mace in right hand and straps in left, with which he is holding his burden. Cf. no. 26. in. Mem. Pl. XXII, 0."" (Pl. I 58, 0.)",I 58-0,,,
65,,,,,"65. In. ’I6—II4, b. From north of D3. Stucco head of atlant. Height 1-75 in. Hair con- ﬁned within a cap turned back in front and looped on right side. Thin buff slip and traces of red paint on lips, eyebrows, eyelids, forehead and head—dress. The eyes are wide-open and prominent, the nose ﬂat, the chin very small. jn. Mem. Pl. XXIII, b, p. 49, no. 100. Like the faces of most of tlie atlantes, the face is meant to be a caricature. (Pl. I 58, f.)",I 58-f,,,
66,,,,,"66. In. ’16—159, 6. Between main stﬁpa and A10. Head of atlant, turned slightly to proper left. Height 1-75 in. Shaggy hair in coarse locks, bulbous nose and misshapen mouth, with prominent teeth. in. Mem. P1. XXIII, f, p. 49, no. 94. (Pl. I 58, m.)",I 58-m,,,1916
67,,,,,"67. In. ’16—186, I). North of D4. Head of atlant. Height 1-5 in. Elephant ear on left side, deep—sunk eyes, thick ﬂat nose, and half-open mouth. For the immense ear, cf. the head from Hadda in Afghanistan, illustrated in Hackin, L’(Euvre de la Délégation arche’ologique franpaise en Afghanistan (1922—32), ﬁg. 23. 3‘71. Mem. Pl. XXIII, e, p. 48, no. 93. (Pl. 159, a.)",159-a,,,1916
68,,,,,"68. In. ’16—4, c. West of main stﬁpa. Head of atlant. Height 1-87 in. Buff slip. Hair in ringlets, falling over forehead and ears; moustache and beard indicated by red paint. Red paint also on lips, nose, eyelids, eyebrows, and hair. Left side broken. in. Mem. Pl. XXIII, k, p- 49. m 99- (PI- 159, d-)",,,,1916
69,,,,,"69. In. ’16—160. Main stﬁpa-court. Half of a seated humped bull. Length 275 in. From top of Persepolitan capital. Horns missing. Traces of red paint on forehead. (Pl. I59, 1).)",I59-1,,,1916
70,,,,,"70. In. ’16—180. Head of elephant with uplifted trunk. Height 5-2 5 in. Right tusk and left ear damaged. Red paint on trunk, neck, eyelids and mouth, and black paint on eyes. Buff slip. From base of the second tier of small stﬁpa. (Pl. I 59, c.)",I 59-c,,,1916
71,,,,,"71. In. ’17—1, at. East of stairway of main stﬁpa. This head (height 10-37 in.) has been reserved to the end because it has a place apart from all other heads on the site. The treatment of the hair in small ringlets suggests that it may have been meant for a Buddha, but the features conjure up some Roman portrait. Certainly there is little Indian about it. The exceptional breadth of the face and lowness of the forehead are noteworthy. The surface, unfortunately, is much damaged and the back of the head broken. 3%. Mem. Pl. XXIV, a, p. 44, no. 35. (Pl. I 59, e.) CH. 26] srucco SCULPTURES 529 ‘ STucco FIGURES OF THE DHARMARAJIKA STI‘IPA Nos. 72—85. (Cf. ch. 10, pp. 249, 254, 257, 267, 269, 271.)",I 59-e,,,1917
72,,,,,"72. Dh. ’15—«893. From inside chapel N17. Head of the Buddha belonging to a colossal standing ﬁgure. Height 1325 in. Conventional type, with hair taken back from forehead. Finely modulated mouth. Circular dimple in upper lip; highly arched eyebrows; eyelids half—closed. Urud originally painted on plaster, not in relief or inlaid. Cf. p. 269 and nos. 49, 50 supra; A.S.R. (1915), P1. III, g. (Pl. I59,f.)","I59,f",Dh,,1915
73,,,,,"73. Dh. ’I4.—824 From B23. A ﬁne Buddha head of conventional type with hair waved sideways from central parting. Height 11- 25 in. Face proportionately broader and nose shorter than 1n preceding example. Urua originally painted on forehead. Illustrated 1n A. S. R. (1914—15), Pl. IX, a.",,Dh,,
74,,,,,"74. Dh.’ 13— I, 536. From east of G3. Head of the Buddha. Height 8 1n. Ushm'sha missing. Urud mark in relief. Upper eyelids more open and mouth more ﬂeshy than 1n preceding examples. Base of nostrils emphasised by impressed l1nes Cf. p. 257 (1)supra; A. S. R. (1912—13), Pl. VI, 1) and p. 20, no. I. (Pl. 159, g.)",159-g,Dh,,
75,,,,,"75. Dh. ’12—I,95 5. From stﬁpa J, west side. Stucco head of the Buddha with elongated face, highly developed forehead, oblique eyes and eyebrows. Height 8-37 in. Slightly smiling mouth, with full under-lip. Conventional curly hair indicated by small incised circlets. Ushzu'sha and ears missing. Traces of red paint on lips. Buff slip. (P1. I 59, j.)",I 59-j,Dh,,1912
76,,,,,"76. Dh. ’16—3 52. From north—west side of stﬁpa QI. Stucco head of Buddha, with eyes smaller than usual and eyebrows ﬂatter. Height 6-87 in. Ushut'sha missing; tip of nose and ‘ ear-lobes damaged. Lime-wash. No mud. (Pl. 159, h.)",159-h,Dh,,1916
77,,,,,"77. Dh. ’12. From chapel B 12. Stucco head of Bodhisattva with face slightly more elongated than usual and well-rounded chin. Height 9 in. Eyes half-closed. Hair disposed in strands falling from the ushm'sha and ending in curls suggestive of bronze technique; round the fore— head it is conﬁned in a circlet. Urud mark in relief. Cf. p. 249 supra; A.S.R. (1912), P1. V, 6. (P1. :59, i.)",:59-i,Dh,,1912
78,,,,,"78. Dh. ’16—918. From debris of stﬁpa U1. Stucco head with skull-cap. Height 6 in. Observe the ﬂeshiness and mobilityr of the features and the relative breadth of the nose, which is less conventionalised than in the Buddha and Bodhisattva heads. The pupils of the eyes are rather prominent. Left ear and rosette of cap are missing. (P1. 160, a.)",160-a,Dh,,1916
79,,,,,"79. Dh. ’14—686. From chapel R3. Stucco head of a lay-ﬁgure, intended to be seen from the right side. Height 385 in. Hair and ears damaged. Lime—wash. Buff slip. Observe the well—arched eyebrows, open horizontal eye, somewhat short nose and long upper-lip, with a rather pronounced under-lip. The expression is a very homely and natural one. Cf. p. 254. supra; A.S.R. (1914—15), Pl. VI, d and p. 6, no. 2. (Pl. 160, b.)",160-b,Dh,,1914
80,,,,,"80. Dh. ’14—666. From debris west of main stﬁpa. Stucco head of a lay-ﬁgure, intended to be seen from proper right. Height 4-25 in. Wears moustache. Eyes deep-set, and nose broad ' at base. Kerchief covering the head and knotted over right ear, like skull-cap. Buff slip. Traces of red paint on kerchief. (Pl. 160, c.)",160-c,Dh,,1914
81,,,,,"81. Dh. ’I3—1,800. From P4. Stucco head wearing elaborate cap with jewelled rosette on right side. Height 6-37 in. Features somewhat conventional, suggesting a Bodhisattva or dew; eyes slightly oblique, modelling of cheeks delicate, chin small; lips full and pleasing. Buﬁslip. Traces of paint on cap, rosette and lips; nose damaged. Cf. p. 267 supra; A.S.R. (1912), P1. VI, 6. (Pl. 160, d.) ’ 82. Dh. ’I4~I74. From R2, debris. The ﬁgure wears a dhotz' and shawl and is seated in the lilzisaua attitude, holding in the left hand a bowl containing some uncertain object. Height 6-75 in. Round the neck are two necklaces. Right foot missing. It is evidently the ﬁgure of an Buddhas Bodhisattva Lay and other attendants Monks and ascetics Amorini Buddhas Bodhisattvas Lay-wor- shippers and attendants       53o , srucco SCULPTURES [err 26 attendant from the right side of 3 Buddha or Bodhisattva 1mage. Cf. p. 254 supra; A. S. R. (1914), P1. v1, b. (Pl. 160, e.) 82, a. Dh.’ 15— 1,490. From east gate of main stﬁpa; 2 ft. below surface. Torso and right leg of standing male ﬁgure. Height 7'2 5 in. Well modelled. Nude, except for scarf and collar. Cf. A.S.R. (1915—16), p. 8, no. 3. (Pl. 156, b.)","160-d, 160-e, 156-b",Dh,,
83,,,,,"83. Dh. ’13—189. From north-east of main stﬁpa. Stucco head of monk with bald head, shaggy eyebrows and wrinkles on cheeks and forehead. Height 5 in. Deep-set, wide-open eyes. Tip of nose and ears damaged. Observe the dreamy, distant look obtained by drawing down the under-lids of the eyes. Cf. A.S.R. (1912), P1. VI, d. (Pl. 160, f)",160-f,Dh,,1913
84,,,,,"84. Dh. ’1 5—1,141. From north side of stﬁpa P8. Height 4-7 5 in. Stucco head of an ascetic with drawn features, deep-set eyes and haggard expression. Ear—lobes protracted. Right side of skull missing. Cf. p. 271 supra; A.S.R. (1915), Pl. III, f. (Pl. 160, g.)",160-g,Dh,,
85,,,,,"8 5. Dh. ’14—5 52. From chapel P4. Stucco head of boy, shaven except for three tufts of hair over ears and centre of the forehead. Height 3-5 in. Ear-pendant in left ear. Right ear missing. Probably a garland—bearing Amorino. Cf. p. 267 supra; A.S.R. (1914), Pl. X11, I4. Closely resembling it are two other heads also from the same site, viz.: Dh. ’16—12 (height 3-5 in.) and Dh. ’16—295 (height 3-25 in.). (P1. 160, h.) Srucco FIGURES OF KALAWAN Nos. 86—96. (Cf. ch. 14, pp. 324—5, 332.) 86, a, b, c. Three heads of Buddha images struck from the same mould, but exhibiting slight differences in the ﬁnishing of the hair and other details. The facial type represented by these heads, with its rather short nose, full cheeks and chin, and pronouncedly curved lips, is characteristic of many of the stucco sculptures found at Kalawan, as well as of one or two from the Dharmarajika Stﬁpa, but not represented at other sites. 86, a=Kn. ’31—86. Found to the north of A4; 3 ft. 6 in. below surface. Height 5-5 in. Nose and left eye and cheek damaged. 86, b=Kn. ’31—234. From east of A4; 5 ft. below surface. Height 6 in. Tip of nose and right ear-lobe damaged. (Pl. 160, i.) 86, c: Kn. ’31—464. From south of A4; 4 ft. 6 in. below surface. Height 56 in. (Pl. 161, a.)","160-h, 160-i, 161-a",Dh,,1914
87,,,,,"87. Kn. ’3 1—141. From south of A7; 3 ft. 6 in. below surface. Height 5 in. Head of Bodhi- sattva with ushm'sha and long hair taken back behind the ears. Wears large ear-pendants. Front of hair missing. For facial type, see above, no. 86, a, b, 6. (Pl. 161, b.)",161-b,Kn,,
88,,,,,"88. Kn. ’31~431. From east of A 12; 6 ft. 6 in. below surface. Head of Bodhisattva wearing ear—pendants and ﬁllet band over hair, with small peak above. The expression is gentle but weak. Height 5 in. (P1. 161, c.)",161-c,Kn,,1931
89,,,,,"89. Kn. ’31—473. From west of A4; 8 ft. below surface. Statue of Bodhisattva wearing dhotz', shawl, necklace and/neckband. Head and legs below knees missing. Height 14in. In his left hand he holds an uncertain object, probably a ﬂask; if so, the Bodhisattva portrayed may be Maitreya. The modelling is reﬁned and effective, though the edges of the draperies tend to be slightly cumbersome. (Pl. 161, e.)",161-e,Kn,,1931
90,,,,,"90. Kn. ’3 1~136. From south of A6; 3 ft. below surface. Head of a lay—figure. Height 3' 5 in. The hair, which falls over the forehead, is ﬁnished with a fringe of curls or braided border. On the crown is a cap with band and frontlet attached—the latter in the form of a cylinder, intended probably to contain a relic. (Pl. 161, d.)",161-d,Kn,,
