,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
60,114,79,G, XV. Toy carts (mricchakatika) (nos. 58‰ÛÓ60),"114,79","60. No toy chariots of the above type have been found in Sirkap. The nearest approach to them from that site is the light vehicle‰ÛÓa sort of dog-cart, illustrated in P1. 134., no. 60 (Sk. ‰Ûª28‰ÛÓI,913; Block G‰Ûª; sq. 114-79‰Ûª; stratum II). It is furnished with two holes in front for the shafts and two grooved projections underneath, for the wheel-axle. Length 2 in. Two wheels from the same site (Sk. 458 and 1,347) have been •Âtted to it. Cf. pp. ISI, 209 supra. (Pl. 134, no. 60.) It is noteworthy that the Wheels of these toy chariots from the Bhir Mound show heavy and clearly de•Âned hubs and fellies. The wheels from Sirkap show hubs but not raised fellies. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 453 This kind of toy, which like the cart, was essentially Indian, was common on the Bhir Mound but rare in Sirkap. The specimens from the former site include horses, humped bulls, a ram and birds (nos. 61‰ÛÓ71).",134-60,Sk,2,1928,24
63,89,55,F, XVI. Toy animals running on wheels (nos. 61‰ÛÓ71),"89,55","63. Sk. ‰ÛªI3‰ÛÓ57; Block F; sq. 89-55‰Ûª; stratum III. Horse of toy cart, with incised neck- band. Height 5 ' 5 in. Two transverse holes through legs for axles, and hole through mouth for string. Better modelled than the earlier horses from the Bhir Mound, but less decorative. Cf. p. 166 supra.",,Sk,3,,24
71,13,92,1, XVI. Toy animals running on wheels (nos. 61‰ÛÓ71),"13,92","71. Sk.‰Ûª 29‰ÛÓ 3,165; Block 1‰Ûª ; sq. 13- 92‰Ûª; stratum VI. Similar to preceding. Length 3 75 in. Body decorated with incised lines. (P1.134, no. 71. ) These comprise elephants, horses, humped bulls, a camel, dog(?), rams, wild goats(?), birds and monkeys. Elephants Terra-cotta elephants are found in both the Bhir Mound and Sirkap. Some have riders, some not. Some are quite plain, others are provided with trappings, and others, again, are adorned with stamped designs. As a rule, the earlier specimens from the Bhir Mound are more ornamental than the later from Sirkap. No. 72, however, from the Bhir Mound is quite plain, and no. 73 from the same site has only a girth and neck ropes to relieve its plainness, but most of the Bhir Mound specimens are embellished with a variety of small patterned squares or triangles or circles or lozenges stamped on the surface of the head and trunk. One elephant only of this class comes from Sirkap, viz. no. 75, and in this case there is only one stamped device instead of several, and the workmanship has become noticeably cruder. Some effort towards decoration has been made in the case of the Sirkap elephant no. 76, but the ornament consists only of a row of incised circles to indicate the girth, and a group of similar circlets on the head to indicate perhaps the head‰ÛÓcloth. The few examples of these elephants which carry riders come exclusively from the Bhir Mound, and are easily recognisable from the peculiar way in which the legs and seats of the riders are •Ââattened against the body of the elephants. Evi- dently the toy-makers from TaXila had much greater di•Ââiculty in giving the riders a natural seat on the backs of these great beasts than the sculptors of Si•Âchi had. Possibly they were not so much at home with the elephant as were their fellow craftsmen of Central India and Hindustan. It is evident, too, that in the pre‰ÛÓGreek period represented on the Bhir Mound these toy elephants were much greater favourites than later on, when the Maurya rule had been replaced by the Yavana. As regards technique, most of the elephants are solid throughout, but a few of the largest ones from the Bhir Mound (e.g. nos. 78 and 79), like some of the largest horses, have hollow bodies and legs. This is for the sake of lightness. Such speci‰ÛÓ mens are not very well modelled nor are they embellished with stamped designs. With few exceptions, the clay is red and well-burnt but without any slip, though in one or two of the better examples a wash has been applied to the surface. Only rarely is the clay grey-black, e.g. in no. 76 and in the miniature elephants nos. 80 and 81. The tusks are of one piece with the rest of the beast, not inserted, as they sometimes are in other parts of India, into sockets. The eye is generally diamond‰ÛÓshaped and stamped, but sometimes lozenge-shaped. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 455",P1.134-71.,Sk,6,,24
75,,,, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),,"75. Sk. ‰Ûª12; Trench A 289; stratum II. Similar to‰Û÷ preceding, with stamped decoration on trunk and garland over forehead. Height 3-75 in. (P1. 134, no. 75.)",134-75,Sk,2,1912,24
76,26,13,F, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"26,13","76. Sk. ‰Ûª12‰ÛÓ60; Block F; sq. 84.- 5 5‰Ûª; stratum III. Toy elephant of grey terra-cotta with stamped decoration on forehead and trunk. Height 2-82 in. Girth and head‰ÛÓcloth indicated by incised circlets. Trunk and legs missing. Cf. p. 166 supra. 77. Bm. ‰Ûª19‰ÛÓ1,955; sq. 26-13‰Ûª; stratum III. Hind-part of elephant of •Âne terra-cotta with ornamental body-cloth and four riders. Height 5-25 in. (P1. 134., no. 77.) As stated above, the largest specimens of toy elephants are made, for the sake of lightness, with hollow bodies and legs. Specimens of this class are only two in number, both from Bhir Mound.",134.-77,Sk,3,1912,24
86,75,60,E, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"75,60","86. Sk. ‰Ûª13‰ÛÓ1,298; Block E; sq. 75'60'; stratum II. Toy saddle-horse of terra-cotta, with grey core. Height 2 in. Head missing. The saddle is peaked in front. Cf. p. 162, n. 1 supra.",,Sk,2,1913,24
87,9,100,1, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"9,100","87. Sk. ‰Ûª19‰ÛÓ18; Block 1‰Ûª; sq. 9-100'; stratum 1. Similar to preceding but of buff‰ÛÓcoloured terra-cotta and cruder workmanship. Saddle with two peaks in front and two behind, and crupper. Length 2 in. Cf. p. 196 supra. (Pl. 135, c.)",135-c,Sk,1,1919,24
88,,,C, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),,"88. Sk. ‰Ûª29~2,737; Block C‰Ûª; sq. 5091‰Ûª; stratum IV. Head of toy horse of terra‰ÛÓcotta. ‰Û444:4...‰ÛÏ V ,. Af•Ârm ., x; .Aw CH. 24] TERRA‰ÛÓGOTTA AND CLAY OBJECTS 457 Length 2-62 in. Head-stall with oblique straps from middle of face-piece to ends of bit. Plume on top of head. Hole across mouth for string. (Pl. I 3 5, e.) 89. J1. ‰Ûª13‰ÛÓ3; C mound; 6ft. below surface. Similar to preceding. Length 3-25 in. Cf. p. 224 supra. (Pl. 135, 2'.) Toy humped bulls are not as common as might be expected on any of the TaXila sites, and none of them, even from the Bhir Mound, are adorned with stamped patterns. The following three types are, however, readily distinguishable, viz.: Type a. Of medium size with solid bodies and legs.","I 3 5-e, 135-2'",Sk,4,1929,24
94,,,, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),,94. Sk. ‰Ûª12; Trench A 324; stratum II. Head of a toy bull with cable twisted round neck. Length 225 in. Horns damaged; crude workmanship. Eyes in form of circlets with raised dot in centre. Of buff terra‰ÛÓcotta. Type .c. Of miniature size and rough-and‰ÛÓready workmanship.,,Sk,2,1912,24
95,33,94,B, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"33,94","95. Sk. ‰Ûª28~786; Block B‰Ûª; sq. 33-94‰Ûª; stratum III. Humped bull of terra-cotta. Length 237 in. Crude, rough workmanship. The ears stand out at right angles to the head. Cf. p. 194 supra. (Pl. I35,f.) There is only one specimen of a toy camel; it comes from the Bhir Mound.","I35,f",Sk,3,1928,24
99,55,64,D, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"55,64",99. Sk. ‰Ûª13‰ÛÓ540; Block D; sq. 55-64‰Ûª; stratum III. Similar. Horns and legs missing. Height 2-25 in. Cf. p. 155 supra.,,Sk,3,1913,24
100,,,, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),,"100. Sk. ‰Ûª14; Trench A523; stratum II. Head of a toy ram, damaged. Pinkish red clay. Length 2- 5 in. . ,",,Sk,2,1914,24
105,12,87,1, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"12,87","105. Sk. ‰Ûª28‰ÛÓ189; Block 1'; sq. 12-87‰Ûª; stratum IV. Crudely made monkey of red terra-cotta. Arms and tail missing. Height 337 in. (P1. 13 5, m.)",13 5-m,Sk,4,1928,24
106,15,61,, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"15,61","106. Sk. ‰Ûª16‰ÛÓ1,024; Second Street (east); sq. 15'61‰Ûª; stratum II. Crude •Âgure of a monkey of light red clay with arms outstretched. Height 275 in. Head missing, legs broken. (P1.",,Sk,2,1916,24
135,41,123,E, XVII. Toy animals without carts or wheels (nos. 72‰ÛÓ107),"41,123","135, 71-) 107. Sk. ‰Ûª28‰ÛÓ863; Block E‰Ûª; sq. 75å¡97‰Ûª; stratum II. Crude •Âgure of monkey with tail acting as a support. Head and right shoulder missing. Height 3-12 in. Cf. p. 184. supra. The commonest kind of rattle found at Taxila is in the form of a bird, and all the early rattles from the Bhir Mound site are of this type. Other rattles (from Sirkap and later sites) take a quasi-human or animal form, or are made to simulate the pomegranate fruit or vases. , 108. Bm. ‰Ûª21‰ÛÓ1,605; sq. 41.123‰Ûª; stratum II. Toy rattle in the form of a dove, of red terra- cotta. Length 3.5 in. (P1. 135, 0.) 109. Bm. ‰Ûª21‰ÛÓ998; sq. 43-100‰Ûª; stratum II. Similar, in the form of a cock with upstanding comb. Height 4-62 in. Each leg modelled separately. Tail missing. (P1. 13 5, p.) 1 Observe that in both of these Bhir Mound examples the legs are separate one from the other, not as in the Sirkap and Dharmarajika examples below, Where they are combined to form a solid round base.","135-0, 13 5-p",Sk,2,1928,24
110,40,86,C, XVIII. Rattles (nos. 108‰ÛÓ18),"40,86","110. Sk. ‰Ûª29‰ÛÓ942; Block C'; sq. 40-86‰Ûª; stratum IV. Toy rattle in the form of a hen, of buff‰ÛÓcoloured clay, with disproportionately fat body. Legs replaced by standard base. Height 2-87 in. (P1. 135, q.)",135-q,Sk,4,1929,24
112,106,80,G, XVIII. Rattles (nos. 108‰ÛÓ18),"106,80","I 12. Sk. ‰Ûª15‰ÛÓ466; Block G‰Ûª; sq. 106-80‰Ûª; stratum II. Toy rattle of red terra‰ÛÓcotta in anthro- poid form, with spherical body, two arms and three legs. Head missing. Length 237 in. Cf. p. 181 supra.",,Sk,2,1915,24
113,155,44,K, XVIII. Rattles (nos. 108‰ÛÓ18),"155,44","I 13. Sk. ‰Ûª28‰ÛÓ2, 527; Block K; sq. I 5 5-44‰Ûª; stratum II. Terra-cotta rattle in the form of a ram. Legs missing. Very rough workmanship. Height 2-75 in. Cf. p. 176 supra.",,Sk,2,1928,24
115,11,97,1, XVIII. Rattles (nos. 108‰ÛÓ18),"11,97","115. Sk. ‰Ûª29‰ÛÓ2,612; Block 1‰Ûª; sq. 11-97‰Ûª; stratum V. Pomegranate-shaped rattle of reddish buff clay, with a hole through neck for string. Length 262 in. Slightly damaged. (P1. 13 5, r.)",13 5-r,Sk,5,1929,24
116,19,86,, XVIII. Rattles (nos. 108‰ÛÓ18),"19,86","116. Sk. ‰Ûª29-3,186; sq. 19-86‰Ûª; stratum IV. Similar, of grey black clay. Length 275 in.",,Sk,4,1929,24
119,35,85,B, XIX. Whistles (nos. 119‰ÛÓ21),"35,85","119. Sk. ‰Ûª29‰ÛÓ2,620; Block B‰Ûª; sq. 3 5-85‰Ûª; stratum VI. Hand‰ÛÓmade whistle of reddish buff clay, in the shape of a sling bullet, with a hole at either end and a third hole in the middle of the body. Length 2.5 in. Cf. p. 127 supra. (Pl. 135, t.)",135-t,Sk,6,1929,24
120,44,93,C, XIX. Whistles (nos. 119‰ÛÓ21),"44,93","120. Sk. ‰Ûª29‰ÛÓ2,964; Block C‰Ûª; sq. 44-93‰Ûª; stratum IV. Hand-made whistle of reddish buff clay; barrel-shaped, with collared ends. One hole at either end and one in the centre. Length 15 in. (P1. 135, u.)",135-u,Sk,4,1929,24
123,121,49,H, XX. Playing-dice (nos. 122‰ÛÓ5),"121,49","123. Sk. ‰Ûª26‰ÛÓ1,999; Block H; sq. 121-49‰Ûª; stratum II. Similar, with small circlets to indicate numbers, and cross-lines between them. Length 2- 5 in. Cf. p. 169 supra. (P1. 13 5, y, 1.) Whistles Dice Architectural pieces Ornamental medallions or bullae   46o TERRA‰ÛÓGOTTA AND CLAY OBJECTS [011. 24",13 5-y-1,Sk,2,1926,24
124,,,G, XX. Playing-dice (nos. 122‰ÛÓ5),,"124. Sk. ‰Ûª17‰ÛÓ514; Block G; sq. 100å¡58‰Ûª; stratum II. Similar, but circlets centred with point. Length 25 in. Cf. p. 168 supra. (Pl. 135, y, 2.) 125. Sk. ‰Ûª29‰ÛÓ3,166; Block 1‰Ûª; sq. 13'92‰Ûª; stratum VI. Similar to no. 122, but with 1 opposite to 4 instead of 3. Length 2- 5 in. (P1. 13 5, y, 4.)","135-y-2, 13 5-y-4",Sk,2,1917,24
126,72,51,E, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"72,51","126. Sk. ‰Ûª13‰ÛÓ1,331; Block E; sq. 72-51‰Ûª; stratum III. Terra-cotta pillar with Corinthian capital and circular moulded base. Height 6-25 in. The shaft is relieved by a moulded band near its middle and the •Ââutings take the form of eight countersunk panels above and below this band. The shaft has a circular hole through its middle, and the top of the abacus is relieved by concentric circles with a •Ânely moulded contour. Of purple red, •Ânely levigated, clay. The horizontal mouldings were turned on the lathe after •Âring. In this and other respects, the workmanship is more than usually re•Âned. The pillar dates from about the beginning of the Christian era. Cf. p. 161, no. 3 supra; A.S.R. (1912), P1. XXIII, c. (P1. 135, hh.)",135-hh,Sk,3,1913,24
