,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
1,,,, I. äóÖNude Motheräó» or äóÖEarth goddessäó» type (nos. 1äóî8),,"I. Bm. äó»20äóî717; sq. 47äóÖ72'; stratum III. Miniature female ¥åÅgure of terra-cotta with buff slip. Height 2-37 in. No arms; the legs end in a point immediately below the thighs, the division between them being shown by lightly incised lines. The nose is pinched, as in pre- historic ¥åÅgures, and round the neck is a series of bands or torques such as are also found on ¥åÅgures of the Chalcolithic Age. These, as well as a hip-girdle and cross-straps in front of the body, are shown by lightly incised lines. The hair, which falls down the back of the neck, is square-cut and indicated by crossed lines. Behind the head, in the middle of the hair, is a rosette, and three other rosettes on the top of the head. In the ears are rosette ear-rings. The idol is probably of prehistoric date, having found its way by chance into the later ruins of the Bhir Mound, but it is also possible that this and the four following ¥åÅgurines came from ritual tanks of the kind described below (nos. I 53äóî63). Cf. the ¥åÅgures in Pl. 136, w and no (nos. I 58, 159).I (Pl. 132, no. I.)",132-I,Bm,3,1920,24
,,,,,,,,,,,
3,51,117,, I. äóÖNude Motheräó» or äóÖEarth goddessäó» type (nos. 1äóî8),"51,117","3. Bm. äó»30äóî290; sq. 51.117äó»; stratum II. Lower portion of a female ¥åÅgure. Height 4-5 in. Pointed legs ending at the ankles. Hip-girdle, anklets and sex organ represented by incised lines. Red clay. (Pl. 132, no. 3.) .1",132-3,Bm,2,1930,24
,,,,,,,,,,,
4,11,61,, I. äóÖNude Motheräó» or äóÖEarth goddessäó» type (nos. 1äóî8),"11,61","4. Bm. äó»30äóî444; sq. 11-61äó»; stratum II. Crude female ¥åÅgure of red tí©rra-cotta. Height 4-37 in. Legs missing from hips downwards; arms end in points above thí©felbows; eyes are formed of round pellets with a straight horizontal incision across them. Three plaits of hair fall down the back. Torques, necklaces and hipäóîgirdle are represented by punctured dots. Crude workmanship. (Pl. I 32, no. 4.)",I 32-4,Bm,2,1930,24
,,,,,,,,,,,
5,24,48,, I. äóÖNude Motheräó» or äóÖEarth goddessäó» type (nos. 1äóî8),"24,48","5. Bm. äó»20äóî829; sq. 24-48'; stratum II. Crude female ¥åÅgure of red terraäóîcotta. Height 4-37 in. Legs missing; arms end in points above the elbows; eyes as in preceding example. Long hair indicated by lines down back; torque and hipäóîgirdle by punctured dots. Crude workmanship. (Pl. 132, no. 5.) Type 1). Later ¥åÅgures under Graeco-Parthian in¥å‰uence. These come from the Parthian city of Sirkap. The modelling is in¥å‰uenced by Hellenistic work, but note that in no. 8 the arms end in points just below the shoulders, as they do in primitive Indian ¥åÅgures. On the other hand, the legs are well formed in all three specimens, and the thighs are strongly developed, as they frequently are in Indian ¥åÅgures, notably in the Mathura School. No. 8 is in the round; the other two are votive plaques in relief.",132-5,Bm,2,1920,24
,,,,,,,,,,,
9,49,126,," II. Female deity standing, with full-¥å‰owing skirt (nos. 9äóî16)","49,126","9. Bm. äó»2IäóîI,487; sq. 49-126äó»; stratum II. Ex-voto plaque with standing ¥åÅgure of a female deity in relief. Height 4-7 5 in. Pinkish red terra-cotta. Figure wears Wide trousers( P) and veil hanging from the top of the head down the back and to each side, as in no. I 5. Both arms are at full length and symmetrical. (Pl. 132, no. 9.) [CH. 24 ä‰åqu .um äóÖ mm B .Nm I I I I I .85 madam 2&5 wouwom .N Ann .05 äóùEm $3 an äóùBow ¥åÅts NH I I I Œé I I I I an I I .opdwm 2&5 mamvawuw .NH M Cm .0m .35 3qu 3:35me omamaí©om W mm I I I I I I E 3am ENE mcmvdwuw .23? _ 3N .mw .85 396 äóì3:2: :3 M I , I I I ow äóìwu I I 5 95mm 2mg m¥åÅu¥åÅum .Ew M Q."" 6N .mocv Exam Œ‚so w .539 .5 H33 53% 9:30? I I I I ha 6N I I Baum 2an w¥åÅvcwum .H> I Amlmu .35 E: as 8 2% ¥åÅg äóìmacaw; > I I I I ma I I +~ :mu I I hand ounaom womanäóù .> I, . ANION .35 mg @033 5 33 4E5 .vounom Ha .ow I I 33v 355% womwh¥å‰ .>H GT? .85 tEm Emma mamaäóî33 was v¥åÅ¥åÅ ¥åÅn: E EB 53p H: I I I I I I I 315 I I miwc¥åÅm 33m. 325% .HHH 67a , .88 3% 33%.? Œ£3 5 A... Eo¥å‰ S I 0H .3 I I I I Œ‚HIS no I I w¥åÅuc¥åÅw 33w o¥åÅ¥åÅoh .HH AwIH .85 ~93 wmovvow H I I mic I I m I mlm H I 53m no 3862 ova-Z .H SHIP I I On I, HH> M I g I I Fr",132-9,Bm,2,,24
,,,,,,,,,,,
8,12,60,," II. Female deity standing, with full-¥å‰owing skirt (nos. 9äóî16)","12,60","8.95m maxim 35.5w 3502 äóùEm                               mFOMHmO W<QO Q24 <BHOOI<MMMB m0 BM<EO H<Ommm<MOHB<MBm 445 CH. 24] .E¥åÅmmu .E äóùwasäóì? .: Œ£53äóì? 3 m3%34 äóù.302"" .82 M ¥åÅa¥åÅm u .qM äóìEmmaan¥åÅa n .5 a     >Hv0n HENN CNN COW MUM Strum HH>N Ewan >N >HN 2va EN Um   ¥åÅend a: d... 88% clawäóù .82 Sod owlabn .GM 38m win? .5 89Œ¢ Œ‚35äóì .AQ Scum w: ¥åÅg 5.: AD 39Œ¢ a 6? ¥åÅnd own d5 59Œ¢ Ham .3. 88% m: was h: .AQ 89a in weäóì a J: .H: 4E 53% no AD 89Œ¢ 3äóì can mo .00 .: 8% 3 .:Q 59Œ¢ cm .: 53m mŒ¢ .:Q 88% a .3äóù     Œ‚elm m H Œ‚mini AS 63 +3 63 m: .N: 50H doäóì .02 do hmo :3 6w äóìmm 65 Amn no 0o +m H m Œ£18äóì a .3. .N+   om   o: ONH o: ~o: moäóì hmm mm   men :va mum a: m: *3 $3 an .05 Œ‚m .3äóì       Ill Œ‚mu 1: .09 $9 .09 .03 Œ‚3 can doäóù Œ‚3 60.3.3 .m|~w .3. mo .mh .wlan 0L6 .Œ‚c .5 am .wm hm .mm   .3 9. .313 .mm mm .mm   m In: .03 Œ£3 .5: .m? .m 1H? , 53 cm .R hm     Rm L6H .85 85mm >30 Œ‚.5 Œ‚38-83Œé 333.3äóù 550m Amolmmu .85 91.33%?äóì .8 9582 .EUOA E18: .85 äóù232 Avon Amwlcun .85 mucosa¥åÅo 3:8qu 98 mecca o¥å‰umuooo¥å‰ ANN Amluuu .85 00%-???3 dam Analo: .85 8533 .NHN $7on .88 855% .H:>M Abonlah .85 Œ£833 .8 8.80 So¥åÅeŒé 2838 ~89 .Esn Chino .85 28:3 :0 ma¥åÅa m¥åÅugg honäóîL .TCm A: koolwm .88 3.3a >09 SN 31% .83 gougaoommg 55m Ammlmw .85 mega Jouuwummgv was #030 .EHN Au :Iqlom .85 Œ£33 Baufom .mx Awlmn .85 0va 3 02m 95333 0.59% 038$ Œ‚Eu 33% AN   57 MT 446 "" TERRA-GOTTA AND CLAY OBJECTS [CH. 24 TABLE SHOWING DISTRIBUTION OF TERRA-GOTTA OBJECTS       IN SIRKAP Bl k Stratum VII Strata VIäóîV Stratum IV , Strata IIIäóîII Stratum I 00 (?) Pre-Greek Greek Early Saka Saka-Parthian Surface EAST SIDE OF MAIN STREET I äóî äóî äóî 7, 42 äóî A äóî- äóî äóîäóî 1 58, 1 59 äóî B äóîäóî äóî äóî 36 äóîäóî C _ _. __ ._ .__ D äóî äóî äóî 34, 99 äóî E äóîäóî äóî-äóî äóî~ 86, 126 äóî F äóî ~äóî äóî 47, 51, 63, 76, ~äóî 81 G äóîäóî äóîäóî ~äóî 124 ~äóî H äóî äóî äóîäóî 123 - I _ __ _ __ _ J _ _ __ __ __ K _ _äóÖ 31 8: 113: I55äóî7) äóÖ- 162 L äóî - - 149äóî52 äóî- WEST SIDE OF MAIN STREET 1äó» äóîäóî- 32, a, 71, 115, 105 42, a, 161 87 125 Aäó» äóî 49, I63 33, II6 46 äóî Bäó» äóî 52. 70, I19 äóî 95 - Cäó» 2 25. 154 53, 88. 11ŒÁ, äóî, ~äóî 120 Däó» äóî äóîäóî äóîäóî äóîäóî äóî Eäó» äóîäóî äóîäóî äóîäóî 6, 107 äóî Fäó» äóîäóî äóî äóî äóî ~äóî Gäó» äóî 103, 104 äóîäóî ' 48, 54, 60, 112 äóî Häó» - äóî äóî äóî äóî Käó» ,_ __ äóî 30, 127, 160 äóî- Läó» äóî- äóî- äóîäóî - äóî Second äóîäóî äóî äóîäóî 106 äóî Street (east)                 Note. Objects found in trial trenches or'spoil earth or outside the city wall are not included in the above Table. IO. Bm. äó»21äóî372; sq. 12-60äó»; stratum II. Votive relief with lower part of a draped female deity wearing bangles and necklaces and holding the sides of the lower garment in her two hands. Height 4-25 in. Red clay, mixed with bajrz'. No wash or slip. The folds of the drapery are unusually ¥åÅne. (Pl. 132, no. 10.) _",132-10,Bm,2,1921,24
,,,,,,,,,,,
12,8,45,," II. Female deity standing, with full-¥å‰owing skirt (nos. 9äóî16)","8,45","12. Bm. äó»19äóî3 59; sq. 8-45äó»; stratum II. Votive relief with lower half of a standing female~ deity with full-¥å‰owing skirt. Height 3-37 in. Right hand rests on waist; left hand holds side of her skirt. (Pl. 132, no. 12.)",132-12,Bm,2,1919,24
,,,,,,,,,,,
17,44,128,," III. Female deity standing, with bird in left hand and","44,128","17. Bm. äó»21-Œ‚1,584; sq. 44-128äó»; stratum II. Votive relief of a standing female deity holding a bird in left hand, which is raised between the breasts. Height 6 in. Her skirt is drawn tight about the hips and legs, and she wears a necklace and veil, which with her braided hair falls from the crown on either side of the head. Coarse red terraäóîcotta. (Pl. I 32, no. 17.)",I 32-17,Bm,2,1921,24
,,,,,,,,,,,
18,41,123,," III. Female deity standing, with bird in left hand and","41,123","18. Bm. äó»21äóî1,6o6; sq. 41-123äó»; stratum II. Similar to no. 17, but of ¥åÅner workmanship. Height 4- 5 in. Round the hips of the goddess is a girdle (mekhald) and her skirt has a single vertical fold in front. The bird in the left hand is defaced. (P1. I 32, no. 18.)",I 32-18,Bm,2,1921,24
,,,,,,,,,,,
20,44,128,," IV. Draped female deity seated, with bird in folded arms (nos. 20äóî2)","44,128","20. Brn. äó»21äóî1, 540; sq. 44-128'; stratum II. Votive relief of female deity seated on high chair. Height 4. in. Her arms are crossed beneath the breast, and in them she holds a bird. Red terra-cotta. Head missing, feet damaged. (Pl. 132, no. 20.) 21. Bm. äó»20äóî645; sq. 24-39äó»; stratum II. Probably of same class as preceding, but upper part missing. Height 3- 5 in. (P1. 132, no. 21.) 22. II. äó»12äóî50; Mound D. Similar to no. 21, but missing from waist upwards. Height 2-5 in. Cf. p. 229 supra. (Pl. 132, no. 22.) 57-2 Single male ¥åÅgures                                     448 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 The drapery is free ¥å‰owing as in Class II above, and the ¥åÅgures are much ornamented. The childäó»s face is turned to front, his legs sideways. (Nos. 23äóî5.)","132-20, 132-21, 132-22",Bm,2,1921,24
,,,,,,,,,,,
23,,,," V. Draped female deity standing, with child on left hip (nos. 23äóî5)",,"23. Bm. äó»20äóî1, 569; sq. 1833äó»; stratum II. Upper part of a votive terraäóîcotta plaque representing a female ¥åÅgure standing, with a child on her left hip. Height 3-25 in. The skirt of her dress ¥å‰ows out full on either side. The upper half of the child is turned to the front; its legs are in pro¥åÅle. The mother wears an elaborate head-dress, heavy ear-pendants, necklace and a tasseled, belläóîlike fringe on her upper garment. The child also has an elaborate head-dress, earäóîpendants and girdle. Of buff clay mixed with sand. (Pl. 132, no. 23.)",132-23,Bm,2,1920,24
,,,,,,,,,,,
24,12,59,," V. Draped female deity standing, with child on left hip (nos. 23äóî5)","12,59","24.. Bm. äó»21äóî376; sq. 12-59äó»; stratum II. Similar to preceding example, but with lower part preserved and head of the mother missing. Height 4-25 in. Of yellowish clay. (Pl. 132, no. 24.)",132-24,Bm,2,1921,24
,,,,,,,,,,,
27,30,49,," VI. Standing male ¥åÅgure wearing dhoti, with or without","30,49","27. Bm. äó»2oäóîI,453; sq. 30-49äó»; stratum 11. Standing male ¥åÅgure in the round, wearing dhotz' and scarf in Indian fashion. Height 3 56 in. Head, arms and feet missing. Red clay, mixed with sand. Note that, by a rare exception, this is in the round, not in relief. (Pl. 133, no. 27.)",133-27,Bm,2,,24
,,,,,,,,,,,
28,49,126,," VII. Standing male ¥åÅgure in full Indian dress (nos. 28, 29)","49,126","28. Bm. äó»21äóî1,487; sq. 49-126'; stratum II. Votive plaque with standing male ¥åÅgure in relief. Height 4-87 in. Wears dhoti, richly broidered shawl, turban, heavy ear-pendants and necklace. Highly ornamented but much defaced. Red clay. (P1. 133, no. 28.)",133-28,Bm,2,1921,24
,,,,,,,,,,,
29,28,45,K," VII. Standing male ¥åÅgure in full Indian dress (nos. 28, 29)","28,45","29. Bm. äó»21äóî36; sq. 28~45äó»; stratum II. Similar to preceding, but lower part missing. Height 4-62 in. Light red clay. (Pl. 133, no. 29.) These ¥åÅgures are of the ¥åÅrst century B.C. and ¥åÅrst century A.D. It is possible that they reproduce, under a classical guise, the Indian male gods of Classes VI or VII, just as the nude female ¥åÅgures of Class I, I) probably reproduce the nude Motheräóîgoddesses of Class I, a. On the other hand, it is just as likely that these quasiäóîclassical ¥åÅgurines have nothing to do with the primitive deities of India. It is noteworthy that no. 30 is holding what appears to be a small ¥å‰ask in the left hand. He may therefore be intended for Maitreya. 3o. Sk. äó»27äóî139; Block Käó»; sq. 155-103äó»; stratum III. Standing male ¥åÅgure in the round, wearing himation over left shoulder with right shoulder bare, and holding ¥å‰ask in left hand. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 449 Height 2-87 in. Head and right arm missing. Buff grey terra-cotta. Cf. p. 180 supra. (Pl. 133, no. 30.)","133-29, 133-30",Bm,2,1921,24
,,,,,,,,,,,
32,5,62,," IX. Standing male ¥åÅgure, with goat at left side (no. 32)","5,62","32. Bm. äó»19~I,27o; sq. 5-62'; stratum II. Votive plaque with a standing male ¥åÅgure, holding goat at his left side. Height 3- 5 in. The ¥åÅgure is wearing a necklace with pendants, hip-girdle and bangles. The right hand, which is raised to the right breast, holds a rope to which the goat is attached. Head missing. Red burnt terra-cotta. Whether the ¥åÅgure is intended to be clothed or nude is uncertain. At ¥åÅrst sight it appears to be nude, but in the early Indian School it was the common practice to represent the dress as Virtually transparent. Well-known examples are the yakshz's supporting the architrave of the east gateway at Si¥åÅchi. (Pl. 133, no. 32.) periods (nos. 32, aäóî34)",133-32,Bm,2,1919,24
,,,,,,,,,,,
35,44,128,, XI. Male and female ¥åÅgure standing side by side (nos. 3 5~8),"44,128","35. Bm. äó»2Iäóî~I,55I; sq. 44-128'; stratum II. A.S.R. (1920), P1. XVI, 8. Votive plaque of red terra-cotta, representing a male and female ¥åÅgure standing side by side and holding hands. Height 4-81 in. No wash or slip. The male wears turban, dhoti, shawl, necklace, and ear-rings; and is holding the side of the shawl with his right hand. The female wears a head-dress with a topknot and long veil falling down on either side of the head; also large ear-pendants and necklace; her left hand rests on her hip. This plaque is cast from the terra-cotta matrix Bm. 1,551, which was found in the same spot along with a number of similar plaques. (Pl. 133, 1108- 35, 35, a-)",133-1108- 35-35-a-,Bm,2,,24
,,,,,,,,,,,
37,26,34,, XI. Male and female ¥åÅgure standing side by side (nos. 3 5~8),"26,34","37. Bm. äó»20*1,o44; sq. 26-34äó»; stratum III. Votive plaque representing a male and female standing side by side, the female with right leg drawn back. Height 2-68 in. She wears a girdle round her waist and anklets. No wash or slip. Red terraäóîcotta. The upper half of the plaque is missing. (Pl. 133, no. 37.)",133-37,Bm,3,1920,24
,,,,,,,,,,,
38,34,65,, XI. Male and female ¥åÅgure standing side by side (nos. 3 5~8),"34,65","38. Bm. äó»20äóî214; sq. 34'65äó»; stratum II. Similar. Height 3-25 in. The upper part is missing. (P1. 133, no. 38.) With them may be compared the kumbhdrza'a dwarfs at Sa¥åÅchi, notably on the western gateway. Type a. Standing",133-38,Bm,2,1920,24
,,,,,,,,,,,
39,44,128,," XII. Pot-bellied dwarfs (kumbhanda or kichaka) (nos. 39äóî44, a)","44,128","39. Bm. äó»15äóî312; stratum II. Lower half of a standing dwarf of terra-cotta. Height 3-37 in. Prominent belly with a girdle beneath. Another kumbhduda of the same type is holding a ram in his two arms (Dh. äó»I4äóîI4I; st¥åÅpa area; I ft. below surface; height 3-62 in.). It is probable that this one was doing likewise. (Pl. I 33, no. 39.) Type I). Squatting 4o. Bm. äó»21äóî1,54o; sq. 44'128äó»; stratum II. Figurine of a pot-bellied squatting dwarf (kumbhdrzda) with wrinkled face and bulging eyes, wearing coiled head-dress, wreath(?) and large ear-ornaments. Height 4-75 in. It has been suggested that this type may be connected with the crouching Harpocrates, but it seems more likely to be purely Indian. Cf. Brit. Museum, terra-cotta no. C 584; W. Weber, Berlin Museums: Aegyptischegriechischeu Terrakotten, P15. 6, 7, nos. 71äóî80. Similar dwarfs are among the ornaments on the dress of a terra-cotta ¥åÅgurineäóîpossibly a yakslu' queenäóînow in the Indian Institute at Oxford. The ¥åÅgurine, which is the ¥åÅnest work of its kind I have yet seen, dates from the Maurya or Sunga period. (Pl. 133, no. 40.)","I 33-39, 133-40",Bm,2,1915,24
,,,,,,,,,,,
41,39,117,," XII. Pot-bellied dwarfs (kumbhanda or kichaka) (nos. 39äóî44, a)","39,117","41. Bm. äó»21äóî962; sq. 39-117äó»; stratum II. Height 4 in. Figure of a pot-bellied squatting dwarf of red terra-cotta. Wears hair in two coils, one on each side of head, and heavy ear-rings. Typical early Indian work. Cf. A.S.R. (1920), P1. XVI, 13. (Pl. 133, no. 41.) '",133-41,Bm,2,1921,24
,,,,,,,,,,,
