,X,Y,block,class,coord,description,plate,site,stratum,year
11,37,50,B, III. Querns (nos. 11—18),"37,50",I I. Sk. ’24—9; Block B; sq. 37- 50’; stratum I. Saddle-quern of quartzite without ornament. Size 16 x 6 in.,,Sk,1,1924
12,36,50,B, III. Querns (nos. 11—18),"36,50","12. Sk. ’24—200; Block B; sq. 36-50’; stratum I. Similar. Size 15 x 5 in. Cf. p. I48 supra. (Pl. 143, d.) Type I). Stool~quems. The stool—quern is invariably made of sandstone, never of quartzite or other hard stone, and is usually decorated with carvings in relief. Some of the earlier specimens from the Bhir Mound have the upper surface scored with zigzag lines or other patterns lightly incised. In the later specimens of Mathura sandstone from Sirkap the carving is much more elaborate, and at one end the quern slab usually projects well beyond the legs and is supported on brackets. These specimens were no doubt made by the stone-carvers of Mathura and brought thence to Taxila.",143-d,Sk,1,1924
13,15,57,, III. Querns (nos. 11—18),"15,57","I3. Bm. ’24~502; sq. I 5- 57'; stratum III. Stool-quern of red Mathura sandstone, with four legs. Plain. Size 11-5 x 5 x 5 in.",,Bm,3,1924
14,62,5,, III. Querns (nos. 11—18),"62,5","14. B111. ’19—5; sq. 62'5’; stratum I. Similar, of quartzite sandstone with parallel zigzag lines scored on upper surface. Size 14 x 6 x 612 in.",,,1,1919
15,,,, III. Querns (nos. 11—18),,"15. B111. ’19—4; sq. 62‘5’; stratum I. Similar, of grey sandstone. Size 13-75 x 6-75 x 6 in. The top is incised with parallel zigzag lines, and various emblems, including pairs of ﬁshes, dharmacakras and two ﬁgures which faintly resemble the image of Jagannath. (Pl. 140, f.)",140-f,,1,1919
16,118,55,H, III. Querns (nos. 11—18),"118,55","16. Sk. ’26—I,804; Block H; sq. I 18' 5 5’; stratum II. Similar, but of red Mathura sandstone, with projecting end carried on makara brackets. Length I I in. The sides and legs are ornamented with ﬂoral patterns in low relief. Cf. p. 169; A.S.R. (1926), P1. XXVIII, no. 12 and p. 118, no. 12. (Pl. 140, e; 143, c.) '",140-e; 143-c,Sk,2,1926
17,,,D, III. Querns (nos. 11—18),,"17. Sk. ’28—I,122, 1,140 and 1,222; Block D’; sq. 65‘97’; stratum I and stratum II. Similar, of spotted red Mathura sandstone, with projection at one end. On the other end, engraved in low relief, are two pairs of ﬁshes with small lotus ﬂower, and above, two larger lotuses in CH. 25] STONE OBJECTS 487 squares; on each side is a lotus ‘Tree of Life’ (kalpa-lagfd) springing from a vase with ﬁshes in each bend of its sinuous stalk. The bracket supporting the projecting end was in the form of a yakshz' or vrikshadevi, of which only the head remains. The quern, which is 13-5 in. long, is broken in three pieces, and two of the legs, with the front brackets, are missing. Cf. p. 190 supra. (Pl. 140,11.)","140,11",Sk,1,1928
18,13,77,1, III. Querns (nos. 11—18),"13,77","18. Sk. ’21—15; Block 1’; sq. 13'77'; stratum II. Similar, of reddish sandstone with pro— jecting end, decorated with simple swag-like border, swastika and ”inﬁrm devices. Length 14-5 in. Cf. p. 196 supra. (Pl. 140, 2'.) The mullers used with these querns are generally between 9 and I I in. in length (but some are shorter) and 2 to 3 in. in diameter. Some are made of basalt, quart- zite, hornblende or other hard stone; others of sandstone. The former are used along with the hard-stone querns, the latter with the sandstone ones. The most orthodox shape seems to have been a long slightly barrel-shaped cylinder. Some, however, were true cylinders, and others Were natural pebbles rubbed roughly into shape. Many of the cylindrical specimens have been worn down by use in the middle or ﬂattened on one side. The following few examples from among the many found on the Bhir Mound and in Sirkap will suﬂice.",140-2',Sk,2,1921
19,,,, IV. Mullers (nos. 19—26),,"19. Bm. ’19—I,32 5; sq. 58°6’; stratum IV. Stone muller of green quartzite; broken. Length 4-62 in.",,Bm,4,1919
20,10,38,, IV. Mullers (nos. 19—26),"10,38","20. Bm. ’19—812; sq. 10-38’; stratum III. Similar, of basalt; broken. Length 4-87 in.",,Bm,3,1919
21,5,61,, IV. Mullers (nos. 19—26),"5,61","21. Bm. ’Ig—I, 519; sq. 5-61’; stratum III. Similar, of green quartzite. Length, 5-25 in.",,Bm,3,
22,10,36,, IV. Mullers (nos. 19—26),"10,36","22. Bm. ’19—654; sq. 10-36’; stratum III. Similar, of quartzite sandstone, highly polished by the rubbing. Lenticular in section in .the middle. Length 6-93 in. -",,Bm,3,1919
23,10,36,, IV. Mullers (nos. 19—26),"10,36","23. Bm. ’19—654; sq. 10-36’; stratum III, but probably a stray from stratum I. Similar, of Chunar sandstone, highly polished; barrel-shaped but worn down on one side. Size 6'8 x 2-5 x :78 in. (P1. 14o,j.)","14o,j",Bm,3,1919
24,,,, IV. Mullers (nos. 19—26),,"24. Bm. ’19-I,592; sq. 6255'; stratum I. Similar, of Chunar sandstone; barrel-shaped. Length 925 in. ,",,Bm,1,1919
25,76,100,E, IV. Mullers (nos. 19—26),"76,100","25. Sk. ’19—326; Block E’; sq. 76'100'; stratum II. Similar, of purple-grey quartzose sandstone, cylindrical and slightly barrel-shaped, with ﬂat ends. Highly polished With wear. 9-75 in. long and 2-75 in. diam. Cf. p. 184 supra.",,Sk,2,1919
26,,,I, IV. Mullers (nos. 19—26),,"26. Sk. ’26—3 54; Block I; sq. I 3 562’; stratum II. Similar, of ﬁne-grained chloritic quart- zite. A singularly ﬁne specimen of dark grey-green colour and perfectly cylindrical in shape, with ﬂat ends. Length 8-37 in. Sp. gr. of stone=2-66. Cf. p. I71 supra. C L A s s V. Grinding-mills (nos. 2.7—3 1) Type a. As indicated above, circular grinding-mills came into use at Taxila for the ﬁrst time during the late Saka-Parthian period. The earliest specimen is no. 27.",,Sk,2,1926
27,,,, IV. Mullers (nos. 19—26),,"27. Sk. ’12; Trench A 461; stratum II. From Sirkap; made of grey Taraki sandstone. Diam. 16' 5 in. In this and the following specimens, the centre hole, through which the grain was introduced, was pierced through the nether as well as the upper millstone, the nether hole being then plugged with wood and furnished with a pivot or spike. In no. 27, the upper stone is convex above, concave underneath, thinning rapidly towards the edge, while the nether is convex above in order to ﬁt with the upper one. As this grinding-mill was meant to be worked by two persons, the upper stone was provided with socket-holes for two handles. (Pl. 140, k.) 62-2   “TWW‘WW ‘ “‘ General remarks on household and toilet vessels, etc. 488 STONE OBJECTS [CH. 25",140-k,Sk,2,1912
28,,,, IV. Mullers (nos. 19—26),,"28. Sk. ’14—844. This is a later example of the ﬁfth century AD. from the Kunala monastery. The surfaces between the two stones, instead of being curved, slope downwards in a straight line to the outside; there is a projecting boss on the upper stone round the central hole, and towards this boss the top surface of the upper stone has a gentle slope. This mill is also made of Taraki grey sandstone and has a slightly bigger diameter (16-62 in.) than no. 27, but it is provided with a socket—hole for one handle only. Possibly the changes introduced in the shapes of the stones and other details had tended to reduce the friction and so lessen the labour. (Pls. 140, 1; I43, 12.)",,Sk,,1914
29,,,, IV. Mullers (nos. 19—26),,"29. The third grinding-mill illustrated on Pl. 140 is of a heavier type. It comes from the Pippala monastery (Pl. ’21—38) and probably dates from the ﬁfth century AD. In diameter (13 in.) it is smaller than the two preceding examples, but the stones are more ponderous, and it is made of hard dark grey quartzite instead of the softer sandstone. Three other noticeable differences are: ﬁrst, that the surface of the nether-stone is concave (instead of straight, as in no. 28, or convex, as in no. 27); secondly, that crossing the upper stone from side to side is a deep groove into which a stout piece of wood could be ﬁxed horizontally, with a handle projecting on either side; thirdly, that the hole in the nether-stone into which the centre pivot was ﬁxed is not pierced through the entire thickness of the stone but sunk to rather less than half its thickness. (P1. 14.0, m.) Type b. Crushing-mills. This type of mill, which was also introduced at T axila during the Saka-Parthian period, was designed probably for the crushing and grinding of harder substances (e.g. chunam) than ordinary grain. It is made of hard quartzite instead of sandstone ; the diameter is smaller (about I I in. only) ; the nether— stone is conical at the top ; and the upper stone takes the form of a deep heavy cylinder, concave below so as to ﬁt on to the top of the nether-stone, and with a funnel-shaped hole above. Across its top is a deep groove, as in no. 29, to take the wooden handle- piece, the latter being pierced with a hole in its centre into which ﬁtted the iron pivot of the nether-stone.","’21—38, 14.0-m",,,1921
30,36,57,B, IV. Mullers (nos. 19—26),"36,57","30. Sk. ’24—14 and 268; Block B; sq. 36- 57’; stratum II. Crushing-mill of quartzite in two pieces (height 21-5 in.; diam. 108 in.), with centre pivot of iron still ﬁxed into the nether-stone. See drawing on Pl. 140, s, and photos on Pl. 143, e, f, g.",,Sk,2,1924
31,,,, IV. Mullers (nos. 19—26),,"3 I. Sk. ’12; Trench’A 461; stratum II. Similar, of quartzite (height 16- 5 in.; diam. I 1-5 in.), with iron pivot still attached to nether-stone, but in this specimen the nether-stone is not so high as in no. 30. Vessels made of stone are relatively few in the earlier Bhir Mound cities and are restricted to those of simple shapes—mortars (with pestles), dishes, saucers, bowls and cups. The stones used for them are the hard abrz' (lower cretaceous shell lime- stone) and hornblende-gneiss, soft steatite and alabaster, and the semi-precious rock crystal and agate. Of alabaster there is only one example—a saucer of pinkish- white colour, no. 42. Abri and hornblende-gneiss were used during this early period for pestles and mortars; alm' also for cups and bowls; steatite (soapstone) for bowls and dishes; crystal for little toilet-trays; and agate for ornamental bowls, of which there is only one example. These stones were usually turned on the lathe, but sometimes ground down by hand. - Schist, as already indicated, was not introduced at Taxila until after the advent of the Bactrian Greeks (c. 190 B.C.); but from that time onwards this soft stone CH. 25] STONE OBJECTS 489 came more and more into vogue, ﬁrst for simple articles like dishes and carved toilet-trays, but later on for a multitude of vessels and sculptures of all sorts. The earliest objects made of this stone are the two lathe—turned dishes nos. 38 and 39, and the two ornamental toilet-trays nos. 62 and 63,. all four of which are referable to the second century B.C. Later on, in the ﬁrst century A.D., we ﬁnd schist being used for vases of many shapes, goblets, caskets, ladles and lamps, besides unguent- bottles and elaborately carved toilet—trays. The three kinds of schist employed for these articles are the common grey schist of Gandhara, and a micaceous and hornblende schist from the same region; quartz mica-schist and the deep green chloritised mica-schist, favoured at this period by the sculptors of the North-West, were not used for household articles. Other soft stones employed during this period were steatite, phyllite, slate, claye stone and alabaster, but so far as Sirkap is concerned, no household objects made of these stones have been found in strata earlier than the Parthian, and even then their use is restricted to a few articles—mainly toilet—trays and caskets. Specimens made of phyllite, slate, claystone and alabaster are very few; those of steatite are not so rare. During the Kushan period phyllite, as we shall see, was to become the favourite stone for sculpture, and other objects were to be made from it as well as from the other soft stones named above, which continued in use up to the early medieval period. With the introduction of schist for household vessels in the second century B.C., hard stones like gneiss and hornblende gradually ceased to be used for this purpose. Apart from pestles and mortars, for which particularly hard Varieties of stone are needed, only one example (no. 43) of a hard stone vessel has been found in Sirkap, and there is reason for believing that this was a survival from one of the earlier settlements. In regard to the use of agate for small bowls, cups, caskets, etc., the fragments of these vases found at Taxila correspond very closely with Pliny’s description of the famous vasa myrrhina, which fetched such big prices at Rome. Pliny alleges that these vases came from Parthia and Carmania, but no importance need be attached to his statement, because, up to the time when the Red Sea route was opened up, the carrying trade between India and the West was exclusively in the hands of the Parthians, and it is hardly likely that the precise provenance of some of the goods - would be known to the Romans.I The manufacture of agate vases is an age-old industry in India, especially in Kathiawar and round about the gulf of Cambay, and there can be little doubt that it was from there that the Parthian merchants exported them to Italy. On the strength of a line of Propertius,2 it has been inferred (e.g. Ramsay and Lanciani, Manual of Roman Antiquities, p. 4.97), that the myrrhine vases must have been some sort of porcelain, but the foci referred to by Propertius were not ordinary kilns but the special trenched kilns in Which it was the Indian practice to roast agates and carnelians in order to bring out their colours. This process of burning agates was fully described by Barbosa as far back as I 517. Cf. Sir G. Watt, Commercial Products of India, p. 561, and Schoff, Periplus, pp. 193—4. ‘ Schoff, Peri lus, . I . ‘ ‘Murrea ue in Parthis ocula cocta focis’ IV, v, 26 . P P 94- q P 490 STONE OBJECTS [CH. 25 Pestles and mortars are found at all periods at TaXila. The mortar takes the form of a cup with a shallow depression at the top and with a round or ﬂat base. The pestle resembles a small, short muller worn at the ends instead of the sides. Both are invariably made of hard stone such as abri, gneiss, hornblende, hornblende- gneiss or syenite.",,Sk,2,1912
32,30,66,, VI. Pestles and mortars (nos. 32—5),"30,66","32. Bin. ’30—931; sq. 30-66’; stratum III. Cup-shaped mortar of hornblende-gneiss, with ﬂat bottom. Diam. 8-12 in. (Pl. 140, q.)",140-q,,3,1930
33,10,36,, VI. Pestles and mortars (nos. 32—5),"10,36","33. Sk. ’16; Trench A254; stratum II. Cup-shaped mortar of hornblende-gneiss, with rounded bottom. Diam. 4-5 in. (Pl. 140, t.) 34. Bm. ’I9—I,485; sq. 10-36’; stratum IV. Pestle of hornblende; length 737 in.",140-t,Sk,2,1916
35,31,99,B, VI. Pestles and mortars (nos. 32—5),"31,99","35. Sk. ’19—475; Block B’; sq. 31-99’; stratum II. Pestle of hornblende; length 375 in. Cf. p. 194 supra. ‘ Iron’, ch. 27, Class IV; ‘ Copper and Bronze ’, ch. 28, Class XVIIk‘a, b; ‘ Silverware ’, ch. 29, Class V",,Sk,2,1919
36,30,28,," VII. Dishes (nos. 36—41). Cf. ‘ Pottery’, ch. 23, Class XVI, a, b;","30,28",36. Bm. ’20—789; sq. 30-28’; stratum II. Part of rim of shallow dish of abri (lower cretaceous shell limestone). Length 6.12 in.,,Bm,2,1920
37,5,62,," VII. Dishes (nos. 36—41). Cf. ‘ Pottery’, ch. 23, Class XVI, a, b;","5,62","37. Bm. ’19—I,333; sq. 5-62’; stratum II. Dish of ﬁne grey and white hornblende-gneiss, turned on lathe. Diam. 9-62 in. Rim and bottom much damaged. (Pls. I40, 0; 143, l.)",,Bm,2,1919
38,32,86,B," VII. Dishes (nos. 36—41). Cf. ‘ Pottery’, ch. 23, Class XVI, a, b;","32,86","38. Sk. ’29—2,45I; Block B’; sq. 32-86’; stratum V. Broken rim of a large dish of grey schist, decorated with incised concentric circles. Diameter of dish, when complete, 16 in. Of very ﬁne workmanship, turned on lathe.",,Sk,5,1929
39,36,89,B," VII. Dishes (nos. 36—41). Cf. ‘ Pottery’, ch. 23, Class XVI, a, b;","36,89","39. Sk. ’29—2, 571; Block B’; sq. 36-89’; stratum V. Broken dish, resembling Greek phiale mesomphalos, of grey micaceous schist, with central boss inside surrounded by concentric circles. Diam. 8 in. Rim and upper part missing. Similar to certain earthenware, silver and copper dishes with central boss (omphalos). For this and the following, cf. ‘Pottery’, ch. 23, no. 109; ‘Silverware’, ch. 29, no. 10; ‘Copper and Bronze’, ch. 28, no. 289. (Pl. 140, n.)",140-n,Sk,5,1929
40,108,62,G," VII. Dishes (nos. 36—41). Cf. ‘ Pottery’, ch. 23, Class XVI, a, b;","108,62","40. Sk. ’13—198; Block G; sq. 108'62’; stratum II. Similar. Diam. 6-5 in. Rim missing. Cf. p. 168 supra. (Pls. 140, p; 143, m.) 4r. Sk. ’29—I,807; Block D’; sq. 61-92'; stratum III. Fragment of a dish of grey hornblende- schist; length 7 in. On inside, three concentric circles incised; on outside, foliate border in relief; beneath, square projection with socket-hole for leg. A particularly attractive vessel of Parthian date, in the Gandhara style. Cf. p. 190 supra. (Pl. 140, 7).) Class XV; ‘Iron’, ch. 27, Class IV; ‘Copper and Bronze’, ch. 28, - Class XVII, c, d; ‘ Silverware’, ch. 29, Class V",140-7,Sk,2,1913
42,26,26,," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","26,26","42. Bm. ’20—863; sq. 26-26’; stratum II. Saucer of pinkish White alabaster, turned on lathe. Diam. 4-25 in. (Pls. 140, w; 143, p.) '",,Bm,2,1920
43,74,52,E," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","74,52","43. Sk. ’13—I,2I 5; Block E; sq. 74'52'; stratum II. Similar, of hornblende—gneiss, turned on lathe. Diam. 437 in. Cf. p. 162, no. 7 supra. Although this saucer was found in the Saka-Parthian stratum in Sirkap, it was probably older by some two centuries or more. No other example of a vessel made of hard stone has been found in Sirkap, and in this case the shape, and its blunted exterior mouldings, point to an earlier date. Saucers of the Parthian period, if they have mouldings at all, usually have them sharply é . a i s f f WM...“ . Wum CH. 25] STONE OBJECTS 491 deﬁned, and are almost always carinated like the specimens described below, with which we may compare also the earthenware saucer no. 107 (p. 418). (P1. 143, j.)",143-j,Sk,2,1913
44,84,89,F," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","84,89","44. Sk. ’28—2,211; Block F’; sq. 84-89’; stratum IV. Saucer of grey schist, ﬁnely turned on lathe; carinated sides and everted lip. Incised concentric circles in bottom, inside. Diam. 2' 37 in.",,Sk,4,1928
45,69,61,E," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","69,61","45. Sk. ’13—1,332; Block E; sq. 69-61’; stratum II. Saucer of micaceous schist, with carinated sides and everted rim. Border of lattice triangles on rim and foliate pattern below, inside. Diam. 4-25 in. Cf. p. 162, no. 8 supra. (P13. 140, r; 143, k.)",,Sk,2,1913
46,57,92,D," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","57,92","46. Sk. ’20—764; Block D’; sq. 57-92’; stratum I. Similar, of grey schist, with incised net- work on everted rim, and quatrefoil rosette on bottom, inside, surrounded by foliate circle. Diam. 3-62 in. Cf. p. 190 supra. (P13. 140, u; 143, i.)",,Sk,1,1920
47,41,78,C," VIII. Saucers (probably for toilet use; nos. 42—7). Cf. ‘Pottery’, ch. 23,","41,78","47. Sk. ’14—481; Block C’; sq. 41-78’; stratum II. Similar, but with ﬂat base and rounded sides. Quatrefoil rosette on bottom, surrounded by concentric circles. Diam. 2-62 in. Cf. p. 193 supra. (Pl. 140, x.) The difference between the earlier and later saucers noticed above extends also to the standard cups or low tazzas described below. No. 49, which comes from the Saka-Parthian city in Sirkap, has a much more stylish and sharply deﬁned form than no. 48, which comes from the Maurya level in the Bhir Mound.",140-x,Sk,2,1914
48,17,33,," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","17,33","48. Bm. ’20—1, 568; sq. 17-33’; stratum II. Standard cup of hard abrz' stone, turned on lathe. Diam. 3-87 in. (Pl. 140, y.)",140-y,Bm,2,1920
49,45,80,C," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","45,80","49. Sk. ’14—966; Block C’; sq. 45-80’; stratum II. Similar, but of grey schist, with incurved sides and wide angular rim. Diam. 36 in. Cf. p. 193 supra. (P1. 140, 2.) C LASS X. Bowls (nos. 50, 51). Cf.‘ Pottery’, ch. 23, Class XV; ‘ Iron ’, ch. 27, Class III; ‘ Copper and Bronze ’, ch. 28, Class XVI; ‘ Silverware ’, ch. 29, Class IV The only example of a stone bowl from the Bhir Mound is the small bowl of highly polished agate no. 50, and the only example from Sirkap is the steatite one from the Mahal site, no. 51. The former is of the third century 3.0., the latter of the second half of the ﬁrst century A.D.",140-2,Sk,2,1914
50,16,63,," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","16,63","50. Bm. ’21—983; sq. 16-63’; stratum II. Piece of banded-agate bowl, highly polished inside and out. Length 162 in. i",,Bm,2,1921
51,42,115,," IX. Standard cups (nos. 48, 49). Cf. ‘Pottery’, ch. 23, Class XX, a","42,115","51. Sk. (ML), ’25—252; sq. 42-115’; 2 ft. 10 in. below surface. Small bowl of purple-grey steatite; diam. 3-25 in. Outside is ornamented with horizontal bands of incised linear designs —network, swags and lotus leaves—and a simple beading in relief. (Pl. 141, a.) Cf. ‘Pottery’, ch. 23, Class VII These correspond with Class VII of the pottery vessels, except that there is no example in stone of this type of vessel with a standard base. They are found only in the Saka—Parthian city in Sirkap.",141-a,Sk,,1925
52,66,119,, XI. Open-mouthed vases with ﬂat bases (nos. 52—6).,"66,119","52. Sk. ’27—I,342; Sixth Street (west); sq. 66'119’; stratum II. Small open-mouthed vase of grey hornblende-schist, with ﬂat base, beading at base of neck, and three incised bands round body. The neck is pierced with four holes for suspension or for attaching a cover. Height 5- 5 in. Cf. p. 184 supra. (Pl. 141, b.) E “In“ u 1 . _._ .3. .mﬁmmmséﬁww   492 STONE OBJECTS [CH. 25",141-b,Sk,2,1927
53,73,100,E, XI. Open-mouthed vases with ﬂat bases (nos. 52—6).,"73,100","53. Sk. ’28—715; Block E’; sq. 73~100’; stratum I. Similar and of same size, but with three bands of engraved leaves round body, and without any holes in neck. (Pl. 141, c.)",141-c,Sk,1,1928
54,26,78,A, XI. Open-mouthed vases with ﬂat bases (nos. 52—6).,"26,78","54. Sk. ’2o~—220; Block A’; sq. 26-78’; stratum II. Similar to no. 53, but smaller, and with plain beading in relief round shoulder. Height 262 in. Cf. p. 195 supra. (P18. 141, d; 143, 11.) Two small vases of this class are more open-mouthed and at the same time more squat than the above.",,Sk,2,
55,47,54,C, XI. Open-mouthed vases with ﬂat bases (nos. 52—6).,"47,54","55. Sk. ’24—614; Block C; sq. 47- 54’; stratum III. Small open-mouthed squat vase of grey schist, with beading round base of neck; no rim. Incised bands below middle of body. Height 2-37 in. Cf. p. 149, n. 2 supra. (Pl. 143, q.)",143-q,Sk,3,1924
56,43,86,C, XI. Open-mouthed vases with ﬂat bases (nos. 52—6).,"43,86","56. Sk. ’22—670; Block C’; sq. 43'86’; stratum II. Similar, of hornblende-schist, with ﬂanged neck-beading, and incised bands round lip, neck and middle of body. Height 2-37 in. Cf. p. 193 supra. (Pl. 141, e.) ‘Copper and Bronze’, ch. 28, Class VI; ‘ Silverware’, ch. 29, Class II Only two complete specimens of this class of vessel have been found, both from the Saka-Parthian city in Sirkap, but from the Greek level in the same site comes the fragment of a small cylindrical vessel of agate, which may have been used for the same purpose; and from Jandial a small phial of limestone, which was probably meant for some unguent or for kohl. The last-mentioned is of the early medieval period.",141-e,Sk,2,1922
57,34,86,B," XII. nguent vases (nos. 57—9, a). Cf. ‘Pottery’, ch. 23, Class III;","34,86","57. Sk. ’29—2,480; Block B’; sq. 34-86’; stratum V. Fragment of a cylindricalvessel of agate, with outer surface incompletely polished. Length 22 5 in.",,Sk,5,1929
58,27,84,A," XII. nguent vases (nos. 57—9, a). Cf. ‘Pottery’, ch. 23, Class III;","27,84","58. Sk. ’20—166; Block A’; sq. 27-84’; stratum II. Pear-shaped alabastrou of veined alabaster. Height 4-62 in. Cf. p. 195 supra. (Pls. 141, no. 58; 143, r.)",,Sk,2,1920
59,,,," XII. nguent vases (nos. 57—9, a). Cf. ‘Pottery’, ch. 23, Class III;",,"59. Sk. ’27; Trench H56; stratum I. Tall cylindrical unguent vase of grey schist, with cordon and incised bands round body. Height 6-37 in. (Pls. 141, f; 143, s.)",,Sk,1,1927
59,,,," XII. nguent vases (nos. 57—9, a). Cf. ‘Pottery’, ch. 23, Class III;",,"59, a. II. ’12—138; Mound C; 3 ft. below surface. Kohl or unguent bottle of limestone, turned on lathe. Height 187 in. Cf. p. 197 supra. (Pl. 141, g.) and Bronze’, ch. 28, Class XIV; ‘ Silverware’, ch. 29, Class III There are many goblets of earthenware, copper, bronze and silver belonging to the Parthian period at Taxila, but only two specimens in stone. Both are of the standard type, but owing to their material very heavy, inconvenient vessels, and without the widely ﬂared mouth Which distinguishes so many of the earthenware and metal specimens. Cf. ‘Pottery’, ch. 23, nos. 88—91 ; ‘ Silverware’, ch. 29, nos. 5, a, b; ‘ Copper and Bronze’, ch. 28, nos. 266—73. This standard type of goblet is identiﬁed with the Greek KIIBO’OplOV, Lat. ciborium, by Dar. et Sag. I, p. 1171, but on what grounds is not clear.",141-g,Gr,,1912
