,X,Y,block,class,coord,description,plate,site,stratum,year
26,35,85,B, VI. Hair-pins (nos. 24—34),"35,85","26. Bone hair-pin, with head in form of inverted comb set up on base. Length 4-87 in. The comb as an ornamental or amuletic motif was familiar in India as far back as the Indus period (M.I.C. p. 105 and P13. X01 and XCII) and is also found on punch-marked coins.I Here it was evidently substituted for the open-hand motif found on Greek and Roman pins and used frequently as a lucky amulet.2 Sk. ’29—2,621; Block B’; sq. 3 5-85’; stratum VI. Cf. p. 129 supra. (Pl. 206, no. 18.)",206-18,Gr,6,1929
27,23,87,, VI. Hair-pins (nos. 24—34),"23,87","27. Hair-pin of bone, with head in form of cock standing on tree. Length 3- 5 in. See nos. 30 and 32 below. The bird motif is also found on early pins from Luristan and on Greek and Roman pins, specimens of which may be seen in the Room of Greek and Roman Life in the British Museum. Sk. ’29—2,556; BlockA’; sq. 23'87’; stratum IV. Cf. p. 13 5 supra. (Pl. 206, no. 16.)",206-16,Gr,4,1929
28,66,113,, VI. Hair-pins (nos. 24—34),"66,113","28. Hair-pin of ivory, with head in form of inverted bell capital and incised rings below. Sk. ’29—1,057; Sixth Street (west); sq. 66-113’; stratum IV. Cf. p. 13 5 supra. (Pl. 199, no. 28 and P1. 206, no. 20.)",199-28 and 206-20,Sk,4,1929
29,93,50,F, VI. Hair-pins (nos. 24—34),"93,50","29. Part of bone hair-pin, with wave-shaped head and projecting mouldings on either side. Length 325 in. Sk. ’26—2,969; Block F; sq. 93'50’; stratum III. Cf. p. 166 supra. (Pl. 199, no. 29 and P1. 206, no. 12.) I Cf. Allan, B.M. Cat. of Am. Ind. Coins, pp. XXV, lxiv, 55. For beads at Taxila in the shape of combs, cf. the chapter on ‘Beads’, p. 74.8 infra. 2 The ﬁngers are called ‘comb-teeth’ (K'révas) in Aeschylus, Agam. 1. 1594. CH. 32] BONE AND IVORY OBJECTS 657",199-29 and 206-12,Sk,3,1926
30,23,45,A, VI. Hair-pins (nos. 24—34),"23,45","30. Similar, with head in form of cock standing on abacus. Length 237 in. Sk. ’29—2,I46; Block A; sq. 23-45’; stratum III. Cf. p. 146 supra. (Pl. 206, no. I4.)",206-I4,Sk,3,1929
31,41,48,C, VI. Hair-pins (nos. 24—34),"41,48","31. Similar to no. 26, but lower part of pin missing. Length 3-37 in. Sk. ’24—419; Block C; sq. 41-48’; stratum II. Cf. p. 149, no. 5 supra. (Pl. 206, no. 13.)",206-13,Sk,2,1924
32,41,51,C, VI. Hair-pins (nos. 24—34),"41,51","32. Similar to no. 30, but the cock is mounted on a capital instead of abacus only. Length 3-37 in. Sk. ’24—62; Block C; sq. 41- 51’; stratum II. Cf. p. 149, no. 5 supra. (Pl. 206, no. 17.)",206-17,Sk,2,1924
33,77,49,E, VI. Hair-pins (nos. 24—34),"77,49","33. Similar to no. 28; head in form of pot with three incised circles beneath. Length 3- 18 in. Sk. ’15—370; Block E; sq. 77-49’; stratum II. Cf. p. 162, no. 17 supra. (Pl. 199, no. 33 and P1. 206, no. 22.)",199-33 and 206-22,Sk,2,1915
34,45,59,C, VI. Hair-pins (nos. 24—34),"45,59","34. Head of bone object of a wave pattern somewhat resembling no. 29, but without the side projections. Length 287 in. At the top is a groove with three holes for rivets; the shaft at the other end is broken. It may have been either a hair-pin or a knife-handle. In the former case, the groove and rivet holes may have been meant for the attachment of an additional ornament, possibly of metal. Sk. ’15—813; Block C; sq. 45- 59’; stratum II. Cf. p. 149, no. 2 supra. (P1. 199, no. 34.) These are classiﬁed under one head, as two of them are frequently combined together. They take the form of short rods of bone, ivory, copper, bronze or lead, measuring from 3 to 6 in. in length. If required for smearing antimony or kohl round the eyes the rod is slightly clubbed; if required as a toothpick or nail- cleaner, it is pointed; if as an ear-cleaner, it is furnished with a tiny scoop. Some of the rods are clubbed at both ends; others have a club at one end and a point or scoop at the other; others have a point at one end and a scoop at the other. The earliest specimens found at Taxila date from the third, or possibly fourth, century 3.0.; the latest from the ﬁrst century AD. In the earliest specimens from the Bhir Mound, bone or ivory is used for the simple clubbed antimony-rod, copper for the antimony-rod and ear-cleaner combined. In the later specimens from Sirkap, bone, ivory, copper, bronze and lead are used for the antimony-rods; bone, ivory and copper for the combination of ear-cleaner and toothpick; and copper only for the combination of antimony-rod and toothpick. The combination of antimony-rod and ear-cleaner has not been found in Sirkap. Antimony-rods or kohl—sticks, as they are sometimes called, were used in Egypt and the West from a very early age, and it is not unlikely that they and the ear-cleaners were introduced at TaXila by the Greeks. The usual Greek word for antimony was G'riuut or oﬁul. Ear-cleaners were called o’o'royluois by the Greeks, auriscalpz'um by the Romans. The clubbed antimony-rod was doubtless used also for ordinary painting under the eyes with lamp-black (é’toﬂohos). See ‘ Copper and Bronze’, Class VIII, nos. 212—25, where references are given to similar Egyptian and Roman objects. Type a. Antimony-rods of bone and ivory. From the Bhir Mound and Sirkap.",199-34,Sk,2,1915
35,5,59,," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","5,59","35. Ivory rod for smearing antimony or kohl round the eyes. Length 4 in. The ends are rounded but scarcely clubbed at all. Bm. ’19—324; sq. 5'59'; stratum III. (Pl. 206, no. 26.) 658 BONE AND IVORY OBJECTS [CH. 32",206-26,Bm,3,1919
36,13,30,," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","13,30","36. Similar, of bone, roughly ﬁnished. Length 3-93 in. Bm. ’20—1, 588; sq. 13-30’; stratum II. (Pl. 206, no. 25.)",206-25,Bm,2,1920
37,91,57,F," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","91,57","37. Similar, of ivory, with both ends clubbed. Length 5-87 in. Broken in middle. Sk. ’26— 2,773; Block F; sq. 91-57’; stratum IV. (Pl. 206, no. 24.)",206-24,Sk,4,1926
38,63,57,D," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","63,57","38. Similar, of bone, broken at ends. Length 3-37 in. Sk. ’24—I,456; Block D; sq. 63- 57'; . stratum III. Cf. p. 155 supra. Type I). Ear-cleaners and toothpicks combined. From the Saka—Parthian strata in Sirkap only.",,Sk,3,1924
39,163,112,K," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","163,112","39. Combination of ear-cleaner and toothpick, of bone. Length 3-56in. Sk. ’27—137; Block K’; sq. 163-112’; stratum III. Cf. p. 180 supra. (Pl. 206, no. 29.)",206-29,Sk,3,1927
40,,,D," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)",,"40. Similar. Length 45 in. Sk. ’29-I,742; Block D’; sq. 6588; stratum III. Cf. p. 191 supra. (Pl. 206, no. 27.)",206-27,Sk,3,1929
41,97,53,G," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","97,53","41. Similar, damaged. Length 337 in. Sk. ’26—2,I8I; Block G; sq. 97-53’; stratum II. Cf. p. 169 supra.",,Sk,2,1926
42,75,54,E," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","75,54","42. Similar, of ivory, broken. Length 25 in. Sk. ’13~I,168; Block E; sq. 75-54; stratum II. Cf. p. 162, no. I7 supra. ' Like the metal mirrors themselves (‘Copper and Bronze ’, nos. 208—1 1), mirror- handles come exclusively from Sirkap and are referable to the ﬁrst century B.C. and A.D. Mirrors are one of the many things introduced from the Greek Orient either by the Greeks themselves or by their successors, the Sakas or the Parthians. Their handles are made of both bone and ivory, and fall into two classes, viz.: (a) those decorated with ﬁgure-carvings in relief, and (1)) those turned on the lathe and decorated with mouldings and incised lines and hatching. Type a. Handles of mirrors carved in relief.",,Sk,2,1913
43,91,92,F," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","91,92","43. Bone handle, with the ﬁgure of a woman carved in relief on one side. She wears long ear ornaments, necklace with pendant, girdle, heavy anklets and bangles. The bone is hollow. For the anklets, cf. ‘ Gold and Silver Jewellery’, nos. 148—65. Length 6-31 in. Sk. ’28—2,483; Block F'; sq. 91-92’; stratum IV. Cf. pp. 135, I83 supra. (P1. 203, k.)",203-k,Sk,4,1928
44,72,75,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","72,75","44. Similar, of rough workmanship. The woman’s hair is dressed in a plain mass on either side of head. Length 6-2 in. Sk. ’37; sq. 72-75’; Main Street; stratum II.",,Sk,2,1937
45,85,89,F," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","85,89","45. Similar. Length 5-25 in. Feet and anklets missing. The woman wears a garland on her head, as in no. 47 and in numerous stucco and other ﬁgures of the Parthian period. The ‘diamond and reel’ motif of her girdle resembles that found in stone carvings of the Early Indian School. Observe the long pendants on either side of the head, which, like those in no. 46, seem to be suspended from the head—dress, not from the ears. There is a socket-hole in the right top corner to take the tenon of the mirror. Sk. ’28~I,777; Block F’; sq. 8 5-89’; stratum II. Cf. p. 183 supra. (Pl. 203, l.)",203-l,Sk,2,1928
46,63,84,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","63,84","46. Similar to preceding, but without garland; and the girdle consists of a plain broad band. Length 6-75 in. M1. ’20—91; sq. 63-84’; 2 ft. 6 in. below surface. Cf. p. 215 supra. (Pl. 203, m.)",203-m,,,1920
47,57,82,D," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","57,82","47. Handle of bone, broader than the preceding specimens, with male and female ﬁgures standing side by side. The male ﬁgure (to the left) wears a garment falling over his left shoulder, garland on head, bangles and girdle. The female wears her hair dressed in a double tier, crossed breast chain, bangles, girdle and anklets. The workmanship is crude and primitive. CH. 32] BONE AND IVORY OBJECTS 659 There are two socket-holes in the top. Size 437 x 237 in. Sk. ’20—769; Block D’; sq. 57-82’; stratum 1. Cf. p. 191 supra. (P1. 203, n.) Type b. Mirror and other handles turned on lathe and decorated with mouldings and incised lines and hatching.",203-n,Sk,1,1920
48,45,45,C," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","45,45","48. Bone mirror(?) handle turned on lathe and decorated with incised parallel rings, mouldings and hatching. Length 3-37 in. Sk. ’24—796; Block C; sq. 45'45’; stratum III. Cf. p. 149, n. 2 supra.",,Sk,3,1924
49,107,49,G," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","107,49","49. Similar. Length 287 in. 'Sk. ’26—2,487; Block G; sq. 107'49’; stratum III. Cf. p. 169 supra. (Pl. 199, no. 49.)",199-49,Sk,3,1926
50,80,78,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","80,78","50. Similar, with base-like end and more pronounced mouldings. Length 3-31 in. Sk. ’17— 40; Seventh Street (west); sq. 80-78’; stratum II. (Pl. 199, no. 50.)",199-50,Sk,2,1917
51,172,55,K," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","172,55",51. Similar. Length 3-25 in. Sk. ’14—219; Block K; sq. 172-55’; stratum II. Cf. p. 177 supra.,,Sk,2,1914
52,38,87,B," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","38,87","52. Similar, but smaller and with deeper mouldings, and transverse hole near bottom. This and the three handles following were probably not mirror-handles. Length 2 in. Sk. ’12—400; Block B’; sq. 38-87’; stratum II. Cf. p. 194 supra. (Pl. 199, no. 52.)",199-52,Sk,2,1912
53,,,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)",,"53. Similar to preceding, With double torus moulding and without cross-hatching. Remains of iron ﬁtting at top. Length 243 in. Dh. ’16—752; mon. court A; 14 ft. 6 in. below surface. Cf. pp. 278, 294 supra. (Pl. 199, no. 53.)",199-53,Dh,,1916
54,16,98,A," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","16,98","54. Similar but plainer, with projecting tenon at one end and two holes pierced transversely across body. Length 231 in. Sk. ’22—334; Block A’; sq. 16-98’j stratum II. Cf. p. 195 supra. (P1. 199, no. 54.)",199-54,Sk,2,1922
55,125,68,H," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","125,68","55. Similar, with broken end. Length 212 in. Sk. ’15—5 14; Block H; sq. 125-68’; stratum II. Cf. p. 170 supra. (Pl. 199, no. 55.)",199-55,Sk,2,1915
56,11,64,1," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","11,64","56. Mirror-handle of ivory, with single torus moulding resembling the handle of a Greek mirror from the Bulandi Bagh at Patna (Pataliputra), now in the museum at Patna. Length 262 in. Sk. ’16—1,564; Block 1; sq. 11-64’; stratum II. Cf. p. 142 supra. (P1. 199, no. 56.) Type 6. Handle of fan or ﬂy-whisk.",199-56,Gr,2,1916
57,12,89,1," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","12,89","57. Ivory handle of a fan or ﬂy-whisk provided with a hole at the butt—end for suspension and three holes at the other end for attaching the fan or whisk. The fan (prrris) was in daily use among the Greeks, and the ﬂy-whisk (Kc'x7x7xuv1'pov) was also familiar to them, but either object may equally well have been Indian. Length 1043 in. Sk. ’28—2,647; Block 1’; sq. 12-89’; stratum III. Cf. p. 196 supra. (Pl. 200, 0.) Type d. Handles of combs (P). These may have been intended for metal combs, possibly for combing wool, but their purpose is uncertain. One is of bone and dates from the fourth or ﬁfth century B.c., the other of ivory and dates from about the beginning of the Christian era.",200-0,Gr,3,1928
58,5,59,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","5,59","58. Broad handle of bone with a groove underneath for a metal comb (P). Length 281 in. Bm. ’19—1,523; sq. 5-59’; stratum IV. (Pl. 200, f.)",200-f,Bm,4,1919
59,13,62,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43—59)","13,62","59. Similar, but of ivory and decorated on the back with incised parallel lines running the length of the handle. Length 4 in. Sk. ’27—3 58; Trench D 85; stratum IV. (Pl. 200, g.) 6o. Irregular disk of bone with a number of punctured dots on one surface. Diam. 2-25 in. Bm. ’30—1,126; sq. 13-62'; stratum IV. (Pl. 205, i.) 66o BONE AND IVORY OBJECTS [CH. 32 GROUP C. DOMESTIC ARTICLES Comprising knife-handles, spoons, stili, and spindle-whorls. These date from the Saka-Parthian period and are made of bone and ivory.","200-g, 205-i",Sk,4,1927
61,,,C, X. Handles of knives and other articles (nos. 61—6),,"61. Bone handle of a small knife. Length 2' 56 in. At one end there is a groove with three rivet holes for ﬁxing the blade; at the other a heart and circle design is fretted through the thickness of the handle. Sk. ’12—1,014; Block C; sq. 44‘64’; stratum III. Cf. p. 149, n. 2 supra. (Pl. 200, b.)",200-b,Sk,3,1912
62,97,65,G, X. Handles of knives and other articles (nos. 61—6),"97,65","62. Similar, of ivory, with a triratna at the butt-end of the handle. Length 281 in. Sk. ’13—17; Block G; sq. 97-65’; stratum III. Cf. p. 169 supra. (Pl. 200, d.)",200-d,Sk,3,1913
63,15,87,A, X. Handles of knives and other articles (nos. 61—6),"15,87","63. Bone side-piece of a knife-handle decorated with incised circlets and chevrons. Near one end is an iron rivet. Length 3-12 in. Sk. ’28—67; Block A’; sq. 15-87’; stratum II. Cf. p. 195 supra. (Pl. 200, c.)",200-c,Sk,2,1928
64,106,73,, X. Handles of knives and other articles (nos. 61—6),"106,73","64. Similar, of ivory, Without decoration. Two holes for rivets. The ivory is burnt black, and part is broken. Length 225 in. Sk. ’17—266; Main Street; sq. 106-73’; stratum II. (P1. 200, n.)",200-n,Sk,2,1917
65,,,, X. Handles of knives and other articles (nos. 61—6),,"65. Similar to preceding but decorated with incised circlets. Two holes for rivets. Length 281 in. Sk. ’20—2; spoil earth; stratum II. (Pl. 200, e.)",200-e,Sk,2,1920
66,,,, X. Handles of knives and other articles (nos. 61—6),,"66. Bone handle with leaf-shape terminal, slightly convex on both sides. Length 3' 56 in. For copper handles with leaf-shape terminals, of. ‘Copper and Bronze’, no. 310; Dh. ’13— 1,725; 3 ft. below surface. Cf. p. 294 supra. (P1. 200, 1.) There are only two specimens of spoons made of bone, one from the Greek stratum, the other from the late Saka-Parthian stratum, in Sirkap.",200-1,Dh,,1913
67,35,89,B," XI. Spoons (nos. 67, 68)","35,89","67. Spoon of bone with shallow bowl. The handle, partly broken, is ﬂat in front, convex at back. Length 4-25 in. Sk. ’29—2,761; Block B’; sq. 3 5-89’; stratum VI. Cf. p. 129 supra. (Pl. 200, h.)",200-h,Sk,6,1929
68,11,93,1," XI. Spoons (nos. 67, 68)","11,93","68. Similar, with leaf-shaped shallow bowl. Handle missing. Length 175 in. Sk. ’22—163; Block 1’; sq. 11-93’; stratum II. Cf. p. 196 supra. (Pl. 200, k.) implements (nos. 69—81) With two or three exceptions all the bone and ivory stili, like the copper calami, come from Sirkap, and there can be no doubt of their western origin. The stilus was used for writing on wax; the calamus for writing with ink on parchment, birch-bark, etc. The average length of the stili is about 4-5 in., but some are considerably shorter, others considerably longer. Some have a ﬁne smooth point, others a ball point. In some, again, the butt is ﬂattened like a chisel for smoothing out the wax; in others it is rounded. The exceptions referred to were found in the Bhir Mound and date from the third or possibly fourth century B.C. One of them, no. 69, looks like one of the CH. 32] BONE AND IVORY OBJECTS 661 rough bone arrow-heads described below (nos. IO 5—7), but a tiny ball at the point leaves no doubt that, even if it was intended for an arrow—head in the ﬁrst instance, it was converted into a stilus or modelling tool afterwards. The other (no. 70) is the usual kind of stilus with plain point and rounded butt, but somewhat heavier than the Sirkap examples. It should be added that the ball-pointed specimens may have served as modelling tools.I An example of a modelling tool furnished with such a ball point at one end is ﬁgured among some ancient Roman speci- mens from Arezzo in Blﬁmner, Technologie, II, p. 110 and Schreiber, Atlas of Classical Antiquities, Pl. LXVIII, II.",200-k,Sk,2,1922
69,22,60,," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","22,60","69. Stilus(?) of bone, resembling a rough arrow-head of Class XVIII, but with ball point. Length 25 in. Bm. ’21—205; sq. 22-60’; stratum III.",,Bm,3,1921
70,35,28,," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","35,28","70. Bone stilus, with plain point and rounded butt. Length 5-75 in. Bm. ’20—716; sq. 3 5-28’; stratum II. For examples of classical stili with rounded or knob butts, cf. Schreiber, op. cit. Pl. x01, 3, 5, 7. (P1. 206, no. 30.)",206-30,Bm,2,1920
71,,,F," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling",,"71. Bone stilus, with plain point and ﬂattened butt. Length 4 in. Sk. ’26—2,788; Block F; Sq. 89-50'; stratum III. For examples of classical stili with ﬂattened butts, cf. Schreiber, op. cit. Pls. X0, 5 and X01, 6. Cf. p. 166 supra. (Pl. 206, no. 31.)",206-31,Sk,3,1926
