,X,Y,block,class,coord,description,plate,site,stratum,year
11,62,113,D, I. Ear-pendants and ear—rings (nos. 1—53),"62,113","11, 12. Pair of gold ear—pendants similar to the preceding. Length 4-87 in. The double— leech clasp is ornamented at the centre with a female bust superimposed on a lotus rosette, at the top with a cinquefoil lotus with obcordate petals, and at the bottom with a beaded circlet. The pendant ring is relieved on the outside with three rows of beads and granules, and there are four small stars, besides the granulation, on the shoulders of the buds. First century A.D. Sk. ’29—1,241/2; Block D’; sq. 62-113’; stratum III. Cf. p. 187, no. 2 supra; A.S.R. (1929), p. 59, no. 2 and P1. XVIII, I, 3. For other objects from same hoard, see nos. 7, 8 supra. (Pl. 190, 2'.)",190-2',Sk,3,1929
13,31,47,B, I. Ear-pendants and ear—rings (nos. 1—53),"31,47","13, 14. Pair of gold ear—pendants similar to nos. 9 and IO. Length 362 in. First century A.D. Sk. ’24—683/1; Block B; sq. 31-47’; stratum II. Cf. p. 147, no. I supra; A.S.R. (1924), p. 49, no. 1, Pl. XI, 9—10. For other objects in the same hoard, see vol. I, p. 147. 15—24. Five pairs of gold ear-pendants of leech-and-pendant type similar to the preceding, with slight variations in details of Clasps. Length from 2-37 to 3 in. First century A.D. Sk. ’26—4,081/2; sq. 58-47’; stratum III. Cf. p. 156, no. 3 supra; A.S.R. (1926), p. 113, no. 8, and P1. XXVI, 9, 10. For other objects from same hoard, see nos. 3, 4 supra. (Pl. 190, h.)",190-h,Sk,2,1924
25,108,87,G, I. Ear-pendants and ear—rings (nos. 1—53),"108,87","25. Single ear—pendant similar to the above. Length 3-5 in. First century A.D. Sk. ’29— 2,193/3; Block G’; sq. 108-87’; stratum II. Cf. A.S.R. (1929), p. 67, no. 77. Other objects from the same hoard included: ‘Jewellery’, nos, 140, 141, 145; ‘Finger-rings’, no. 6. See vol. I, p. 180.",,Sk,2,1929
26,,,D, I. Ear-pendants and ear—rings (nos. 1—53),,"26, 27. Pair of gold ear-pendants of ﬂower—and—pendant type. Height 2-62 in. The ﬂowers are composed of six petals, strengthened by granulated ribbings, with small heart-shaped cloisons at their base, once ﬁlled with paste or stones. Attached to the points of the leaves is a beaded ring from which hang six quadruple plaited chains ending in small bells. At the top is a small ring for suspension. This may be the ornament known as Knués to the Greeks, which resembled the funnel-shaped top of a voting urn or a horse muzzle. For the pendent bell motif, cf. B.M. Cat. of jewellery, Pl. Lv, nos. I 576, 1660, 1661, 2078, 2668, 2996, 3008, 3009. The same motif, evidently adapted from jewellery, is frequently depicted on Indian sculptures of the Early School. From the same hoard in Block D’ as nos. 7, 8 (q.v.). Cf. p. 187, no. 3 supra; A.S.R. (1929), p. 59, no. 3 and P1. XVIII, 7. (Pl. 190, e.)",190-e,Kn,,
28,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"28. Single ear—pendant similar to preceding, and from same hoard. Height 2-7 5 in. (P1. 190, e.)",190-e,,,
29,157,43,K, I. Ear-pendants and ear—rings (nos. 1—53),"157,43","29. Single ear-pendant similar to preceding and of same age. Height 2-62 in. Sk. ’28— 2,679; Block K (palace); sq. 157-43’; stratum II. Cf. A.S.R. (1928), p. 59, no. 81, a and Pl. XXI, 10. Other objects from the same hoard included: ‘Jewellery’, nos. 44, 45, 65, 77, 216- 19; ‘Finger-rings’, nos. 8, 10. See vol. I, p. 174.",,Sk,2,1928
30,77,66,E, I. Ear-pendants and ear—rings (nos. 1—53),"77,66","30. Single ear-pendant similar to preceding and of same age. Height 262 in. Sk. ’ 13—194/7; sq. 77-66’; Block E; stratum II. Cf. p. 159, no. 4 supra; A.S.R. (1912), p. 26, no. 7 and P1. XXI, b, 5. For other objects from same hoard, see nos. 9, 10 supra.",,Sk,2,
31,63,85,D, I. Ear-pendants and ear—rings (nos. 1—53),"63,85","31, 32. Pair of small ear—rings of gold wire with the ends coiled back in a spiral and com-   F lower-and- pendant type Ring type Heart-shaped type [I baule type Snake type 626 GOLD AND SILVER JEWELLERY [CH. 30 pletely covering the rings. False Clasps of ‘ double-leech ’ pattern. As the rings have no opening, they must have been suspended from the ear by a separate ring or hook. Diam. 1-15 in. First century A.D. Sk. ’33—667; Block D’; sq. 63-85’; stratum I. Cf. p. 191 supra. (P1. 191, a.)",191-a,Sk,1,1933
33,62,113,D, I. Ear-pendants and ear—rings (nos. 1—53),"62,113","33, 34. Pair of ear-rings similar to preceding but with coil covering only half the rings and without false clasp. Diam. 0-75 in. First century A.D. Sk. ’29—1,241/15; Block D’; sq. 62-1 13'; stratum III. Cf. p. 187, no. 4 supra; A.S.R. (1929), p.60, no. 14. For other objects from same hoard, see nos. 7, 8 supra. (P1. 191, b.)",191-b,Sk,3,1929
35,,,E, I. Ear-pendants and ear—rings (nos. 1—53),,"35. Single gold ear-ring similar to nos. 33, 34. Diam. 0-62 in. Sk. ’13—194/16; sq. 7766’; Block E; stratum II. Cf. p. 159, no. 5 supra; A.S.R. (1912), p. 27, no. 16 and P1. XXII, a. For other objects from same hoard, see nos. 9, IO supra. (Pl. 191, c.) 36—41. Three pairs of small leech-like ear-rings of gold, with ends twisted back in ﬁne spiral over two sides of the ring, leaving the base plain. Diam. 043—062 in. First century A.D. Sk. ’29—1,241/23; Block D’; sq. 62-113'; stratum III. Cf. p. 187, no. 5 supra; A.S.R. (1929), p. 61, no. 23. For other objects from same hoard, see nos. 7, 8 supra. (Pl. 191, d.)","191-c, 191-d",Sk,2,1913
42,,,E, I. Ear-pendants and ear—rings (nos. 1—53),,"42, 43. Pair of gold ear-rings similar to preceding and of same age. Diam. o- 58 in. Sk. ’13—194/15; sq. 7766’; Block E; stratum II. Cf. p. 159, no. 6 supra; A.S.R. (1912), p.27, no. 15 and P1. XXII, a. For other objects from same group, see nos. 9, 10 supra.",,Sk,2,1913
44,157,43,, I. Ear-pendants and ear—rings (nos. 1—53),"157,43","44, 45. Pair of gold ear-rings similar to preceding and of same age. Diam. o- 56 in. Sk. ’28— 2,679/6; palace; sq. 157-43’; stratum II. Cf. p. 174 supra; A.S.R. (1928), p. 60, no. 81, b and P1. XX, 3. For other objects from same hoard, see no. 29 supra. (P1. 191, e.)",191-e,Sk,2,1928
46,62,113,D, I. Ear-pendants and ear—rings (nos. 1—53),"62,113","46. Single gold ear-ring similar to above and of same date. Diam. o- 5 in. Sk. ’29—I,362/3; Block D’; sq. 62-113’; stratum IV. Cf. A.S.R. (1929), p. 62, no. 45. For other objects from same hoard, which was buried at the close of the Parthian period in the ﬁrst century A.D., see vol. I, p. 188, Deposit D.",,Sk,4,1929
47,58,47,, I. Ear-pendants and ear—rings (nos. 1—53),"58,47","47. Single ear-ring of solid gold with pedestal base supporting pendant of two pearls. Height 0-95 in. This appears to be a later development of the ear-rings described above (nos. 31—41). Fifth century A.D. Dh. ’14—892, between P10 and P7. See vol. I, p. 268 and no. 73 infra. Cf. A.S.R. (1914), P1. X11, 1. (Pl. 191,f.) 48—51. Two pairs of hollow gold ear-rings of heart-shape type. Diam. 0-87 in. At the top is a clasp working on a pivot hinge; at the base, a cluster of four granules. First century A.D. Sk. ’26—4,081/7; sq. 58-47’; stratum III. Cf. p. 156, no. 4 supra; A.S.R. (1926), p. 113, no. 1 and P1. XXVI, 3. For other objects from same hoard, see nos. 3, 4 supra. (Pl. 191, g.)","191,f, 191-g",Dh,3,1914
52,32,26,, I. Ear-pendants and ear—rings (nos. 1—53),"32,26","52. Single gold ear-ring of cylindrical form with ﬁve parallel strips of vertical beading on the outside and ﬁve projecting knobs at the top. Length 031 in. The beading is stamped, not granulated, and soldered to the strips of plain gold between. This ornament appears to be an ear—ring of the a baule type, which was fashionable in Etruria, where it was probably intro- duced from the East in the sixth and ﬁfth centuries B.C. Whether the type survived to a later date in the Near East is not known. The single specimen from Taxila was found on the Bhir Mound in a hoard referable to the last quarter of the fourth century B.C. Bm. ’24—5 56, 0; sq. 32-26’; stratum III. Cf. A.S.R. (1924), p. 48; BM. Cat. of jewellery, p. xxvii and nos. 1286 ff. For an ear—ring of kindred pattern of modern Indian manufacture, cf. Hendley, Indian jewellery, Pl. XCVII, no. 659. Other objects from the same hoard were nos, 54, 5 5, 199, 200 infra. For further details of the hoard, see vol I, pp. 104, 106. (P1. 191, i.)",191-i,Bm,3,1924
53,,,, I. Ear-pendants and ear—rings (nos. 1—53),,"53. Small ear-ring of silver in form of snake with scaly body. Diam. 0-81 in. First century A.D. Sk. ’12—707; sq. 115—63’; stratum II. Cf. p. 169 supra. All the more elaborate necklaces described below are easily recognisable as Greek or Graeco-Roman in design. The simpler ones may be local Indian patterns. Two only CH. 30] GOLD AND SILVER JEWELLERY 627 of these necklaces (nos. 54, 5 5) come from the city on the Bhir Mound and are assign- able to the close of the fourth century B.C.; the rest date from the ﬁrst century A.D.",,Sk,2,1912
54,,,, II. Necklaces (nos. 54—74),,"54. Necklace of thirty spherical beads with seventeen spacer circlets. Diam. of beads, 0-31—0-37 in. The beads, of impure gold, are gadrooned and collared; the spacers, of pure gold, are embellished with bands of drops and granules in varying patterns. The collars of the beads are made separately and soldered on. From same hoard as no. 52 (q.v.). Cf. A.S.R. (1924), p. 48, l. 19. (Pl. 192, a.)",192-a,,,
55,,,, II. Necklaces (nos. 54—74),,"55. Silver necklace of thirty—seven pendants. Height 0-68 in. The pendants are hollow and consist of a hemispherical drop with a T-shaped top. The top is decorated with incised lines and pierced laterally with two holes. The back and front are made separately and soldered. From same hoard as preceding. (Pl. 192, c.)",192-c,,,
56,62,113,D, II. Necklaces (nos. 54—74),"62,113","56. Gold necklace of twenty-three pendants with twenty spacer beads and two terminals. Height of pendants 1-87 in. The pendants are of two patterns, alternating with one another. One pattern consists of an oval crystal en cabochon in a beaded setting enclosed by two dolphins affrontés, from the tails of which hang three chains ending in ﬂat disks. At the top is a spherical knob with ﬁnely granulated surface, pierced laterally for suspension. The ﬁshes are of thin repousse’ gold with backs soldered on; the neck above is made in a separate piece. The other pattern consists of a quatrefoil device of seven cloisons inlaid with ﬂat pieces of white orthoclase felspar, with three chains and disks hanging from the base and a knob of plain instead of granulated gold at the top. The spacing beads are of openwork metal, composed of twelve circlets inlaid with white orthoclase felspar and strengthened with studs of gold granules. The two terminals take the form of ‘ox-heads’ inlaid with orthoclase felspar and black agate and outlined with a granulated beading. The necklace was strung on two strings, one passing through the beads at the top of the pendants, the other through a series of small horizontal tubes soldered on to their backs. At the back of the terminals are two tubes to take the strings. For the double dolphin motif, cf. no. 1 above and references there cited, and for the openwork beads, no. 59 below and RM. Cat. of jewellery, Pl. LIII, no. 2567. First century A.D. Sk. ’29— 1,241/7 and 10; Block D’; sq. 62-113’; stratum III. Cf. p. 187, no. 6supra; A.S.R. (1929), p. 60, no. 7 and P1. XIX, 16. For other objects from same hoard, see nos. 7, 8 supra. (Pl. 193, no. 56.)",193-56,Sk,3,1929
57,,,D, II. Necklaces (nos. 54—74),,"57. Gold necklace of thirty-one pieces, including two terminals. Height of pendants, 1-19 in. The pendants are of two patterns, alternating. One pattern consists of a small circlet of gold centred with a carbuncle and edged round with a double granulated beading; at the base is an openwork obcordate attachment enclosing a triple cluster of granules, and above it a spherical bead covered with ﬁne granulation and pierced laterally for a string. The other pattern is of quatrefoil form made up of seven cloisons inlaid with white orthoclase felspar; the obcordate attachment below encloses a tiny heart-shaped cloison inlaid with white orthoclase felspar instead of granule clusters, while the bead at the top is plain instead of granulated. The terminals, which are composed of nine cloisons, are inlaid with white orthoclase felspar and lapis-lazuli. The necklace was strung in the same way as no. 56. First century A.D. Sk. ’29— 1,507; Block D’; sq. 6492’. Cf. p. 186, Deposit A, no. 2 supra; A.S.R. (1929), p. 65, no. 53 and P1. XIX, 4. For other objects from the same hoard, see no. 2 supra. (Pl. 193, no. 57.)",193-57,Sk,,1929
58,31,47,, II. Necklaces (nos. 54—74),"31,47","58. Gold necklace of twenty-seven pendants including two terminals. Height of pendants 1-06 in. The design resembles that of no. 57, but half the pendants were inlaid with rock crystal en cabochon instead of carbuncles, and the others with blue turquoise paste in the centre and top cloisons and white orthoclase felspar in the four leaves. There are triple clusters of granules also in all the obcordate attachments at the base of the pendants and small spacing beads on the upper string. First century A.D. Sk. ’24—683/2; sq. 3 1-47’; stratum II. From same hoard as nos. 13, 14 (go). Cf. p. 147, no. 2 supra; A.S.R. (1924), p. 49, no. 2 and P1. XI, 2. (Pl. 193, no. 58.) 628 GOLD AND SILVER JEWELLERY [CH. 30",193-58,Sk,2,1924
59,77,66,E, II. Necklaces (nos. 54—74),"77,66","59, a—f. Six cylindrical pendants belonging to a necklace; length 0-83 in. The casing is of gold openwork of various designs, in which network, ﬁgures-of—eight and clustered granules are prominent; the cores are of green jasper and turquoise paste. To the upper side of the cylinders two small rings are attached for suspension. For the use of cylinders in necklaces, cf. B.M. Cat. of jewellery, pp. leiii, Xlix and P1. LVII, no. 2697, etc., and for openwork in gold, ibia’. no. 2030. First century A.D. Sk. ’13—194/13; Block E; sq. 77-66’; stratum II. Cf. p. 159, no. 7 supra; A.S.R. (1912), p. 27, no. 13 and P1. XXII, a. For other objects from same hoard, see nos. 9, IO supra. (Pl. 191, h.)",191-h,Sk,2,1913
60,77,65,E, II. Necklaces (nos. 54—74),"77,65","60. Gold necklace of seventy—four pieces, pierced laterally with two holes for strings. The pieces are hollow, and made in two sections with soldered backs. On the face of each is a row of ﬁve tangent circlets with depressed centres. Length 0-75 in. They were fashioned by pressing a thin gold sheet into a metal matrix, like those illustrated in nos. 42—4 of the ‘Copper and Bronze Objects’ (Pl. 179). First century A.D. Sk. ’13—-194, a/7; Block E; sq. 77-65’; strata I—II. Cf. A.S.R. (1912), p. 28, no. 7 and P1. XXII, b, 4. Other objects from the same hoard are: ‘Jewellery’, nos. 97, 99; ‘Finger-rings’, nos. 71—3; ‘Coins’, R.U.C. nos. 201—8, 211—15, 217-21, 258-60. Cf. vol. I, p. 160, no. 3.",179,Sk,,1913
61,64,92,D, II. Necklaces (nos. 54—74),"64,92","61. Gold necklace of eighty-four pieces, similar to no. 60, but with four instead of ﬁve circlets on each piece. Length of each piece 1 in. First century A.D. Sk. ’29—1,5o7/3; Block D’; sq. 64-92'; stratum II. Cf. p. 186, Deposit A, no. 3; A.S.R. (1929), p. 65, no. 52 and P1. XVIII, 10. For other objects from the same hoard, see no. 2 supra. (Pl. 193, no. 61.)",193-61,Sk,2,1929
62,58,47,, II. Necklaces (nos. 54—74),"58,47","62. Gold necklace'of eighty-nine pieces of the ‘spearhead-and-drop’ pattern (Gr. Aéyxlov = Indian campa-kali). The pieces are hollow and pierced laterally through the head and middle for two strings. Length of each piece 1 in. Examples of the copper matrices on which they were fashioned or cast are ﬁgured among the ‘ Copper and Bronze Objects’, nos. 45, 47, 5o, 51 , 129 (Pls. 179, 180). First century A.D. Sk. ’26—4,o81/4; sq. 58-47’; stratum III. Cf. p. 156. no. 5 supra; A.S.R. (1926), p. 114, no. 12; and for similar motif in Greek jewellery, B.M. Cat. of jewellery, nos. 1943, 1946. For other objects from same hoard, see nos. 3, 4 supra. (Pl. 192, d.)",192-d,Gr,3,1926
63,62,113,D, II. Necklaces (nos. 54—74),"62,113","63. Gold necklace of 132 hollow spherical beads. Diam. 019—025 in. As usual, they are made in two hemispheres soldered together. First century A.D. Sk. ’29—1,241/9; Block D'; sq. 62.113’; stratum III. Cf. p. 187, no. 7 supra; A.S.R. (1929), p. 60, no. 9. For other objects from same hoard, see nos. 7, 8 supra. (Pl. 192, e.)",192-e,Sk,3,1929
64,77,66,E, II. Necklaces (nos. 54—74),"77,66","64. Gold necklace of sixty beads of similar pattern to the preceding. First century A.D. Sk. ’13—194/20; Block E; sq. 77-66’; stratum II. Cf. p. 159, no. 8 supra; A.S.R. (1912), p. 27, no. 20 and P1. XXII. For other objects from same hoard, see nos. 9, IO supra. (Pl. 192, e.)",192-e,Sk,2,1913
65,157,43,, II. Necklaces (nos. 54—74),"157,43","65. Gold necklace of forty-four hollow beads similar to preceding. Diam. 012—019 in. First century A.D. Sk. ’28—2,679/ 5; palace; sq. 157-43'; stratum II. From same hoard as nos. 29 (an), 44, 45, etc. Cf. p. 174 supra; A.S.R. (1928), p. 60, no.’81,fand Pl. XXI, 4.",,Sk,2,1928
66,31,47,, II. Necklaces (nos. 54—74),"31,47","66. Gold necklace of eighty-three plain tubular beads. Length 037—062 in. First century A.D. Sk. ’24—683/6; sq. 31-47’; stratum II. From same hoard as nos. 13, 14 ((1.1).). Cf. p. 147, no. 6 supra; A.S.R. (1924), p. 49, no. 6. (Pl. 192,f.)","192,f",Sk,2,1924
67,,,, II. Necklaces (nos. 54—74),,"67. Similar to the preceding, with twenty-three tubular beads. Length 0-5 in. First century A.D. Sk. ’26—4,o81/3; sq. 5847’; stratum III. Cf. p. 156, no. 6 supra; A.S.R. (1926), p. 114, no. 14. For other objects from same hoard, see nos. 3, 4 supra.",,Sk,3,1926
68,77,66,E, II. Necklaces (nos. 54—74),"77,66","68. Gold neck-chain composed of four double plaits ﬁtted with hook-and-ring fastener. Length 1962 in. First century A.D. For similar plaited chains, cf. B.M. Cat. of jewellery, Pl. xxxm, 1954, 1955; P1. LIX, 2725, 2735; P1. va11, 2845, 2846, etc. Sk. ’13—194/12; Block E; sq. 77-66’; stratum II. Cf. p. 159, no. 9 supra; A.S.R. (1912), p. 27, no. 12 and P1. XXII, a. For other objects from same hoard, see nos. 9, IO supra. (Pl. 192, g.)",192-g,Sk,2,1913
