,X,Y,block,class,coord,description,plate,site,stratum,year
12,42,63,C,,"42,63","12. Seated, herm—like male ﬁgure of chloritised mica schist. The ﬁgure, which served perhaps as a bracket, wears a shawl over both shoulders, necklace and heavy ear-rings. The right hand is half raised, holding a bowl; the left is apparently resting on the seat. Height 4-62 in. Early Gandhara School. First half of ﬁrst century A.D. Sk. ’16—1,16o; Block C; sq. 42-63’; stratum II. Cf. p. 148 supra. (Pl. 213, no. 12.) _",213-12,Sk,2,1916
13,46,46,C,,"46,46","13. Head in high relief, of chloritised mica schist. Height 3-12 in. In place of hair, the face CH. 36] STONE SCULPTURES 703 is framed in a wig-like head-dress of lotus leaves like no. 161 (41.71.). For the round, staring eyes, characteristic of the earliest Gandhara sculptures, see pp. 693—4 supra, and cf. nos. 3, 4, 1 3 5; also ‘Stone Objects’, ch. 25, nos. 63, 64, 66, 7o, 74, etc. Sk. ’24-791; Block C; sq. 46-46’; stratum III. Cf. p. 149, no. 8 supra. (Pl. 213, no. 13.)",213-13,Sk,3,1924
14,120,49,H,,"120,49","14.. Fountain-head of chloritised mica schist in form of grotesque male Kubera-like ﬁgure, seated cross-legged on thin rectangular base. Height 5-87 in. The ﬁgure wears curly beard and moustache and bracelet on right wrist. There are holes in mouth, ears, navel and top of head for the discharge of water. Early Gandhara School. First half of ﬁrst century AD. Cf. p. 167 supra; A.S.R. (1926), p. 118, no. 16. Sk. ’26—3,398; Block H; sq. 120-49'; stratum II. (Pl. 213, no. 14.)",213-14,Sk,2,1926
15,,,,,,"I 5. Makara head in relief of Taraki sandstone, possibly from a pediment. Height 11-5 in. Two sides are slightly curved and the back has been scooped into a bowl. Like nos. 6 and 7, local Taxilan work. Probable date, between 50 B.C. and AD. 50. Dh. ’15—1,o71. From out- lying debris.",,Dh,,1915
16,,,,,,"16. Volute bracket of quartz schist in the form of a winged female ﬁgure springing at the hips from an acanthus leaf base. Length 13-5 in. The ﬁgure wears a close—ﬁtting, long-sleeved garment, large circular ear-ornaments, bracelet, ornamented torque and long ﬂexible necklace falling between the breasts. The hands hold in front of the body an offering, seemingly of fruit. Anarrow taenia across the forehead allows a ﬂat schematic dressing of the hair on the brow, but above this the elaborately treated hair falls backward to the shoulders. There is a circular ornament in the centre of the hair above the ﬁllet. The style is early Gandharan but not so early as the brackets from Sirkap. Probable date, second half of ﬁrst century AD. Cf. no. 11 supra. This bracket and no. 17 infra, as well as two others of similar style and of the same stone, are probably from the same structure. Dh. ’17—97; mon. court A; 3 ft. 6 in. below surface. Cf. p. 278 supra; A.S.R. (1917), P1. IV, 1). (Pl. 213, no. 16.)",213-16,Dh,,1917
17,28,20,,,"28,20","17. Volute bracket of quartz schist in the form of a winged male ﬁgure springing at the , waist from an acanthus leaf base. Length I 1-12 in. A loose scarf passes over the left shoulder, its lower end hidden by the acanthus foliage. The arms and features are defaced, as is part of the head-dress, bound above the forehead by a ﬁllet with centre ornament, above which rises an acanthus leaf merging into the volute. The latter takes the form of a bundle of logs(?)—— a motif commonly adopted for the capitals of pillars in the early rock-hewn temples of Western India. The ﬁgure wears an ornamented collar and torque, which passes over the scarf at the shoulder. The style is early Gandharan and this sculpture is seemingly from the same structure as no. 16 (qxv) Dh. ’30—213; mon. court H; sq. 28-20’; 2 ft. 9in. below surface. Cf. p. 286, no. 5 supra.",,Dh,,1930
18,,,,,,"18. Winged male bracket ﬁgure of mica schist springing at the thighs from an acanthus leaf. Length 7‘ 5 in. The ﬁgure wears a dhotz‘, scarf and turban with a large central ornament, heavy ear-rings, jewelled collar and long ﬂexible necklace. The left hand grasps the scarf hanging over the left shoulder, the right hand rests on the hip. The voluted bracket against which the ﬁgure leans is fashioned to resemble a serpent with scaly surface and double head. Kunala; cell E8; 1 ft. above ﬂoor-level. Cf. p. 352 supra. (Pl. 213, no. 18.)",213-18,,,
19,,,,,,"19. Bracket of phyllite in the form of a standing ﬁgure rising from the knees behind the forepart of a winged bull. Length 925 in. The garments, a dhotz‘ and scarf, suggest a male personage. The only ornaments are a jewelled necklace and bracelets. The hands, now lost, appear to have been clasped on the breast. A much-defaced acanthus leaf embellished the chest of the bull, the head being almost in the round, though the incurved horns are in relief. Kn. ’32— 292; outside B 28; 10 ft. below surface. Cf. p. 340 supra. (P1. 213, no. 19.) 20. Bracket of mica schist bearing the much—defaced head of an elephant, of which only traces remain. Dh. ’15—973; mon. court A; 7 ft. below surface. Cf. p. 278 supra. 21. Fragment of bracket of mica schist bearing the head of a bull. Length 5 in. Dh. ’17—1 5; mon. court A; 4. ft. 6 in. below surface. Cf. p. 278 supra. 89-2 704 STONE SCULPTURES [CH- 36",213-19,Kn,,1932
22,,,,,,"22. Jamb of lower portion of a false niche, of phyllite. Tenons on top and bottom to ﬁt into the now missing parts. Height 2275 in. On the inner edge are siX small superposed panels separated by various narrow foliated mouldings and each containing either a small naked amorino (yaksha) or a layman in an attitude of adoration or holding a ﬂower. To the right of these are ﬁve larger superposed panels between Indo-Corinthian pilasters and separated by similar foliated mouldings; in each are two ﬁgures in varied attitudes of adoration, the head being generally to the left, towards the image occupying the centre of the composition. A border of alternately sunk Chequers edged by lotus—leaf moulding is to the right of these. Dh. ’12—-L 6o. Cf. p. 251 supra. (Pl. 214, no. 22.)",214-22,Dh,,1912
23,,,,,,"23. Jamb of lower portion of false niche, of mica schist. Tenon on right edge to ﬁt into missing centre part. Height 26- 5 in. On outer edge is a moulding of conventionalised lotus buds and, to the right, ﬁve superposed panels between Indo-Corinthian pilasters stand on acanthus or other ornamental frieze. In each panel are two standing male ﬁgures in diverse attitudes. Only the ﬁgures in two panels are fully preserved. On the inner edge is a border of three rows of bead-and-reel ornament alternating with foliate pattern and with a lotus edging. In design and workmanship this jamb is far superior to, and substantially earlier than, no. 22. Dh. ’13—2,009; B 5, south wall; 2 ft. 6 in. below surface. Cf. p. 249 supra. (Pl. 214, no. 23.)",214-23,Dh,,1913
24,,,,,,"24. Fragment of phyllite showing a columnar series of ﬁgures each mounted on the shoulders of the one below, who grasps him by the ankles. Height 20 in. Traces of ﬁve ﬁgures of this remarkable column remain, the heads of the only two preserved being turned half-right towards the now lost centre of the composition. Necklaces and ear—rings indicate that the ﬁgures are laymen, though the uppermost seems to have had a shaven head. A unique specimen. Dh. ’12—87; D; 4 ft. below surface. (Pl. 214, no. 24.)",214-24,Dh,,1912
25,,,,,,"25. Fluted pilaster of phyllite in four pieces. Height 52-5 in. Close-coupled, half-round ﬁllets separate the ﬁve ﬂutings of the semi-cylindrical shaft, the ﬂutings being equal in width to the coupled ﬁllets. Moulded base. Quasi-Corinthian capital embellished with acanthus foliage and stems in low relief. The ﬂuted shaft is of special interest in connexion with the medieval ﬂuted columns of Kashmir temples. Dh. ’14—19; S 3; 3 ft. below surface. Cf. p. 249 supra. (Pl. 214, no. 25.)",214-25,Dh,,1914
26,,,,,,"26. Fragment from edge of lower part of false niche, with moulding of stiff conventionalised foliated design. Cf. A.G-B.G. ﬁg. 233. Of phyllite. Height I 5 in. Dh. ’13—458; L; I ft. 9 in. below surface. Cf. p. 251 supra.",,Dh,,1913
27,,,,,,"27, a, b, c, (1. Four small capitals of phyllite. The domical tops of nos. a, b and c are orna- mented with acanthus foliage; the under part with conventional lotus stamens. No. 27, d has its base ornamented with an expanded lotus. On its upper edge is a bead-and-reel moulding of decadent form with two fasciae above. Cf. p. 251 supra. a, b. Dh. ’13—828; L; 4 ft. 9 in. below surface. Height 3 in. c. Dh. ’13—869; L; 5 ft. below surface. Height 3 in. d. Dh. ’12—C 283. Height 2 ft. 6 in. (P1. 214, no. 27, a, b, c, d.)",214-27-a-b-c-d,Dh,,1913
28,,,,,,"28. Small bell capital of micaceous schist consisting of a reversed dome surmounted by a cylinder. Height 52 5 in. The under part is ornamented with lotus leaves and stamens. (Cf. no. 27, d.) The cylinder is divided by Indo-Corinthian pilasters into panels containing honey- suckle ornament or female busts in niches resembling a whim with pointed roof. Saw-tooth ornament below the cylindrical portion. An attached fragment to right. Dh. ’13—294; L; 5 ft. below surface. Cf. p. 251 supra. (Pl. 214, no. 28.)",214-28,Dh,,1913
29,,,,,,"29. Capital of mica schist consisting of a reversed truncated pyramid with plain oblong abacus. The pyramidal portion is embellished by ﬁve parallel rows of bead-and-reel moulding separated by narrow ﬁllets. Size 9.25 x 9 x 4-25 in. Cf. no. 30 infra. Dh. ’12~C 255. (P1. 214, no. 29.)",214-29,Dh,,1912
30,,,,,,"30. Half of a small capital of mica schist, roughly in the form of a reversed truncated pyramid; CH. 36] STONE SCULPTURES 705 each lower corner is relieved by a single boldly carved acanthus leaf. Cf. no. 29 supra. Height 3-37 in. Dh. ’12—256.",,Dh,,1912
31,,,,,,"31. Part of small capital of phyllite, having square base ornamented with ﬂat bead—and-reel moulding and surmounted by a modillion cornice. Length 5 in. Mm. ’27—19; cell 7. Cf. p. 362, no. 7 supra.",,Mm,,1927
32,,,,,,32. Voluted end of acanthus capital of phyllite. Length 12.75 in. Dh. ’15—60; mon. court A; 2 ft. below surface. Cf. p. 278 supra.,,Dh,,1915
33,24,23,,,"24,23","33. Part of capital of phyllite in the form of pairs of addorsed bulls. The heads and lower limbs missing. Trappings on neck and along the ﬂanks. Length 12-12 in. Dh. ’30—245; mon. court H; sq. 24-23’; 2 ft. 8 in. below surface. Cf. p. 287, no. 6 supra.",,Dh,,1930
34,,,,,,34. Fragment of capital of phyllite With the heads of four lions springing from acanthus foliage. Around and between the lion heads are beaded garlands. The modelling is rough and crude. There is a tenon on the upper surface. Height 4' 5 in. Dh. ’12—637; between L and D 3; 4. ft. 4 in. below surface. Cf. p. 251 supra.,,Dh,,1912
35,,,,,,"35. Lower part of a pseudo-Corinthian capital of phyllite, with well-modelled acanthus foliage. Traces of volute on top edge. In the centre, a Buddha is seated in dhydna-mudra, on a full—blown lotus. (Cf. Smith, History of Fine Art, Pl. XXV.) Length 32 in. Dh. ’12—795; between L and D5; 5 ft. 6 in. below surface. Cf. p. 251 supra. (Pl. 214, no. 35.)",214-35,Dh,,1912
36,,,,,,"36. Upper part of a pseudo—Corinthian capital of phyllite with large projecting and out- curving acanthus in the centre and usual acanthus foliage on either side towards the volutes. Spray of eglantine, with two ﬁve-petalled blossoms, on edge of abacus. Length 36-75 in. Dh. ’12—712; between L and D5; 5 ft. 3 in. below surface. Cf. p. 251 supra.",,Dh,,1912
37,,,,,,"37. Fragment from right of relief of phyllite consisting of part of a framed Indo-Persepolitan pilaster and the extreme edge of the relief. Height 1512 in. Of the relief only traces of a standing haloed ﬁgure With the left arm tensely extended by the side are now preserved. For its base the pilaster has a square-stepped pedestal supporting a water-pot.I The shaft is round and tapering and between it and the capital is a necking of three projecting ﬁllets. The capital is bell—shaped with mushroom dome above. The surface of the bell is adorned with acanthus leaves reversed.2 A slight roughness of the surface of the shaft may indicate the former existence of a relief such as can be seen in nos. 38 and 39. Between the main relief and the pilaster is a beaded moulding. Dh. ’16—792; G4; 3 ft. below surface. Cf. p. 257, no. 3 supra. (Pl. 215, no. 37.)",215-37,Dh,,1916
38,,,,,,"38. Part of a framed Indo-Persepolitan pilaster of phyllite of the same type as no. 37 supra. Height 11.25 in. The rectangular base is lost, but the capital is complete, consisting of two addorsed humped bulls with what appears to be the head of a third affronté between their hind-quarters and supporting a rectangular die with a winged lion at each corner. The shaft is embellished by a naked little yaksha standing on a roughly indicated lotus, with left hand on hip, the right holding ﬂowers(?). The bell capital is decorated with acanthus leaves and the false capital above it with foliate or geometric designs. On top and left edges respectively are saw-tooth and reel-and-bead mouldings. Dh. ’12—C 224. (Pl. 215, no. 38.)",215-38,Dh,,1912
39,29,22,,,"29,22","39. Framed Indo—Persepolitan pilaster of phyllite, of the same type as no. 38 supra. Height 9-25 in. The base is missing as well as the edge mouldings. A small standing yaksha ﬁgure on the shaft as in no. 38 supra, but without the lotus base. Dh. ’30—134; mon. court H; sq. 29-22’; 3 ft. below surface. (Pl. 215, no. 39.) 4o. Pseudo-Corinthian pilaster of phyllite from the right of a relief. Height I 3 in. From a moulded base rises a short, broad, slightly tapering shaft with an acanthus capital. Part of the base and all the upper portion of the capital are defaced. In low relief on the shaft is the ﬁgure of a fully clad layman facing left, his hands joined in the attitude of adoration. Cf. nos. 38, 39 supra. Dh. ’16—463; mon. court A; 7 ft. below surface. Cf. p. 278 supra. I This type of base (adishzhana) is common in monuments of the Early Indian School. Sometimes we ﬁnd the stepped pedestal alone; sometimes the water—pot Without the pedestal. U. M.] 2 Cf. Foucher, A.G-B.G. I, p. 226, ﬁg. 105, and p. 158 supra. 706 STONE SCULPTURES [CH. 36",215-39,Dh,,1930
41,,,,,,"41. Frieze(?) of phyllite ornamented with a diaper of narrow intersecting ﬁllets forming a series of squares and half squares in diamond form, each containing the whole or half, respectively, of a fully expanded four—petalled ﬂower, save in one instance where the petals are ﬁve. Cf. A.G-B.G. I, ﬁg. 213. Length 1975 in. Dh. ’12—211; between L and D3; 3 ft. 6 in. below surface. Cf. p. 251 supra.",,Dh,,1912
42,,,,,,"42. Mutilated fragment of relief of phyllite, with the upper part of the halo of an image and the mango (P) foliage over it. Height 7 in. Dh. ’13—501; L; 3 ft. 9 in. below surface. Cf. p. 251 supra.",,Dh,,1913
43,,,,,,43. Fragment of phyllite resembling no. 42 supra. Traces of the haloed head of the Buddha With pipal stems and foliage above. A fracture to the right of the halo marks where there was a head of an attendant ﬁgure. The halo is embellished by an incised line parallel and close to its edge. Probably from a relief depicting the Enlightenment. Height 10-25 in. Dh. ’12—197; L; 5 ft. 7 in. below surface. Cf. p. 251 supra.,,Dh,,1912
44,,,,,,44. Fragment of relief of phyllite showing traces of a defaced kneeling ﬁgure. The upraised right hand is touching some foliage which resembles conventionalised as’oka leaves. Height 675 in. Dh. ’13—70; between L and D3; 5 ft. 6 in. below surface. Cf. p. 251 supra.,,Dh,,1913
45,,,,,,"45. Fragment of relief of phyllite with pipal foliage. Length 9-25 in. Cf. no. 43 supra. In. ’16—F2; north of stﬁpa D3. (P1. 215, no. 45.)",215-45,,,1916
46,,,,,,"46. Fragment of relief of phyllite with seven celestial ﬂowers, in high relief, composed of leaves arranged schematically round a central boss from which hangs a beaded necklace. Such blossoms appear occasionally in the more elaborate compositions depicting the miracle of Sravasti.I Cf. Lahore Museum, no. 572. Rising a mi-corps, behind the lowest ﬂower, a haloed Bodhisattva appears with hands raised in front of his breast. Height 7-87 in. An incised line parallel and close to the edge of the halo, as in no. 43 supra. Jn. ’16—1 17; north of stﬁpa D3; 3 ft. below surface. Cf. p. 384 supra. (Pl. 215, no. 46.)",215-46,Jn,,1916
47,,,,,,"47. Fragment-of relief of phyllite with pipal leaves and stems, above which and separated by a slightly curved ﬁllet is a frieze of ﬁve—petalled roses, of which only two, separated by a modiﬁed honeysuckle ornament, are preserved. Presumably from an ‘Enlightenment Scene’. Height 14 in. Dh. ’13—971; eastern stairs of Main Stﬁpa.",,Dh,,1913
48,,,,,,"48. Fragment of relief of phyllite with four large unidentiﬁed ﬂowers consisting of a ring of long narrow petals with large boss resembling a raspberry. As one boss is divided, these blossoms, like those on no. 46 supra, may be of a celestial character, though the treatment of the pipal on no. 49 infra shows that even natural forms may be depicted fancifully. Height 525 in. Dh. ’15—281; E2; 8 ft. below surface.",,Dh,,1915
49,,,,,,"49. Fragment of a relief of phyllite with pipal stems and foliage treated conventionally. The leaves are arranged schematically round central bosses, resembling somewhat those in, no. 48 supra. Length 82 5 in. A similar treatment of pipal foliage occurs on relief no. 13 of the Sikri Stﬁpa, Lahore Museum. Cf. A.G-B.G. ﬁg. 210. Dh. ’I3—I,689. 5o. Fragment from upper right of a relief of phyllite. Height 7' 5 in. On upper edge, between two ﬁllets, is a band of conventional foliage in low relief. Below this is the upper part of a sal tree, part of its trunk appearing in higher relief. The fragment is probably from a scene of the Parinirvana or immediately subsequent events. Cf. A.G—B.G. ﬁgs. 284, 286. Dh. ’13—93; D5; 2 ft. 8 in. below surface; probably from building L.",,Dh,,1913
51,,,,,,"51. Frieze(?) of phyllite, which has been cut to ﬁt into a triangular space. Length 16-5 in. Cf. no. 59 infra and A.G—B.G. ﬁgs. 119—23. On the lower edge is a narrow lotus moulding between ﬁllets, the rest of the area being ﬁlled with a vine scroll arranged in circles, which are knotted at the points of contact. Dh. ’15—1,201; mon. S, Tr. 2; 10 ft. below surface. (Pl. 215, no. 51.)",215-51,Dh,,1915
