,X,Y,block,class,description,plate,site,stratum,year
53,167,105,K," XV. Locks, keys and lock plates (nos. 48—53)","53. Rectangular iron lock—plate, with keyhole near middle and holes for nails at the four corners. Size 525 X512 in. Sk. ’15—668; Block K’; sq. 167-105’; stratum III. Cf. p. 180 supra; A.S.R. (1915), P1. XVI, 3. (Pl. 164, no. 53.)",164-53,Sk,3,1915
54,,,I, XVI. Folding chair (no. 54),"54. Iron folding chair, with hoof-feet of classical pattern, somewhat like those of a curule chair. Height 26 in. Presumably the seat was of cloth or carpet. Sk. ’15—218; Block I; sq. 134—53’; stratum II. Cf. Dar. et Sag. 3.71. ‘Sella’, and for a similar seat on coins of ' Kadphises I, cf. Cat. of Coins in the Indian Museum, vol. 1, pt. I, p. 66, nos. 6—15, and P1. XI, 3. Cf. p. 170 supra; A.S.R. (1915), P1. 1x, 5. (Pl. 170, s.)",170-s,Sk,2,1915
55,,,, XVII. Axle of spinning wheel (P) (no. 55),"55. Iron axle of a spinning wheel(?) with copper band attached. Sharply pointed at both ends. Length 9-2 in. Fifth century A.D. Mm. ’15—268. Monastery, outside. 3 ft. below surface. Cf. p. 363 (I7) supra; (Pl. 164, no. 55.) GROUP B. ARMS AND ARMOUR The iron swords found at Taxila belong exclusively to the ﬁrst century A.D. They are straight, double-edged and pointed weapons, from 21 to 34-25 in. in length, and with a cross-guard attached to the blade at the base of the hilt. They thus resemble the straight double—edged swords found at TinnevellyI and also the long spatha (ouétﬂn) used by the Roman auxiliaries. In the well—known statue of ‘ Cf. A.S.R. (1902—3), Pl. XXIII, 11—18.       Tfm «w. r;.;..:;......,..:.,..m mma...e.~a..m .v         CH. 27] IRON OBJECTS ‘ 545 Kanishka at Mathura the king is shown grasping a long straight sword which seems to have been of this type (cf. Bachhofer, Early Indian Sculpture, Pl. LXXVI). Similar swords are also sometimes depicted in carvings of the Early Indian School (e.g. Cunningham, Bharhut, Pl. XXXII, 4), but the sword more usually depicted in these carvings as well as in the Gandhara reliefs is a short weapon like the Roman gladius. Cf. Dar. et Sag. 3.7). ‘Gladius’ and ‘Spatha’ and ﬁgs. 6522 and 6523. Strabo (XV, 67) and Arrian (Ind. 16) state that in the fourth century B.C. the Indian soldier carried a broadsword three cubits in length, and Arrian adds that he wielded it with both hands. No weapons of this description have been found. Of the daggers, one only (no. 59) comes from the Bhir Mound and is referable to the third to second century B.C.; the others (nos. 60—2) are referable to the ﬁrst century A.D. Except in the matter of length they closely resemble the swords and might well have answered to the term semispathium, applied to the Roman pugio in later Imperial times. The earlier specimen (no. 59) differs from the later ones in that the blade is straight—edged almost up to the point where it tapers abruptly, and that there is no cross—guard attached to it at the hilt.",164-55,Mm,,1915
56,,,," XVIII. Swords and daggers (nos. 56—62, a)","56. Double—edged sword. Length including tang 34-25 in. The blade, which is straight- edged on both sides, tapers gradually to a point. In section it is lozenge-shaped and bevelled evenly on either side from the midrib to the edge. Attached to the heel of the blade is a cross-guard shod with bronze. Of the hilt only the tang remains. Sk. ’14; Trench A626; stratum II. (P1. 164, no. 56.)",164-56,Sk,2,1914
57,71,76,E," XVIII. Swords and daggers (nos. 56—62, a)","57. Similar and of same date, but broken towards the point. Of high carbon steel. Present length I 5 in. The blade is ﬂatter than in the preceding specimen and Without midribs. Lozenge-shaped guard; tang pierced with two holes for attachment of grip and pommel. Sk. ’16—229; Block E’; sq. 71-76’; stratum II. Cf. p. 185, and Analysis Table, p. 536, no. I supra. (Pl. 164, no. 57.)",164-57,Sk,2,1916
58,190,69,L," XVIII. Swords and daggers (nos. 56—62, a)","58. Similar to preceding and of same date. Length 21 in. Blade convex in section on both sides. Sk. ’26—4,43o; Block L; sq. 190-69’; stratum II. (Pl. 164, no. 58.) 58, a. Broken blade of steel sword. The blade, which tapers gradually towards the point, is without midribs. Length 99 in. Date uncertain, but probably ﬁfth century A.D. For Brinell hardness, analysis and micro-examination, see Analysis Table, p. 536, no. 2. Chir Tope D, ’21—3. Cf. p. 319 supra.",164-58,Bl,2,1926
59,,,," XVIII. Swords and daggers (nos. 56—62, a)","59. Double—edged straight-bladed dagger. Length 1062 in. Tang broken at heel of blade. No cross-guard. The blade is lozenge—shaped in section with central ridge on both sides and of uniform width for a length of 8 in., when it tapers abruptly to the point. Bm. ’14—296; stratum II’. (Pl. 164, no. 59.) ’ 59, a. Daggerblade. Length9'6in. Double-edged,taperinggraduallytowardsthe point.Tang for attachment of grip. For metal, see Analysis Table, p. 536, no. 4. Bm. ’24—897; stratum IV.",164-59,Bm,2,1914
60,86,74,F," XVIII. Swords and daggers (nos. 56—62, a)","60. Straight double-edged dagger. Length 7-75 in. The blade, which tapers slightly from heel to point, is lozenge—shaped in section with centre ridge on both faces. Tang broken. Rectangular guard of iron attached to heel of blade. First century A.D. Sk. ’15~29; Block F’; sq. 86'74’; stratum II. Cf. p. 183 supra; A.S.R. (1915), p. 18, no. 28. (Pl. 164, no. 60.)",164-60,Sk,2,1915
61,86,74,F," XVIII. Swords and daggers (nos. 56—62, a)","61. Similar to preceding. Length 11-5 in. Blade splayed slightly on heel; thinner guard; tang pierced for attachment of grip. Curved pommel riveted to end of tang. Sk. ’15—95; Block F’; sq. 86-74’; stratum III. Cf. p. 183 supra. (Pl. 164, no. 61.)",164-61,Bl,3,1915
62,14,65,1," XVIII. Swords and daggers (nos. 56—62, a)","62. Similar to no. 61, but tang not pierced. Length 11 in. First century A.D. Sk. ’16—541; Block 1; sq. 14-65’; stratum II. Cf. p. 142 supra. (Pl. 164, no. 62.)   Swords Daggers 546 IRON OBJECTS [CH. 27 62, a. Dagger blade, double-edged without midrib. Much corroded. Length 9-4 in. Medium or low carbon material, severely decarburised on the surface. Sk. ’12—96. First century A.D. Stratum II. Cf. Table of Analysis, p. 536, no. 3. Taxila has yielded several types of these weapons, viz.: (a) four-sided pike-head with tang (no. 63), third to second century B.C.; (1)) heavy iron javelin, resembling the {10065 of the cataphracts (nos. 64—6), third to second century B.C.(P) and ﬁrst century A.D.; (c) leaf-blade spear—head with central ridge and tang (no. 68), ﬁrst century A.D. ; (d) socketed spear—head of dagger- or knife—blade pattern (nos. 69—70), ﬁrst and ﬁfth century A.D.; (e) socketed conical spear—butt (no. 71), ﬁfth century A.D. Most interesting of these are the heavy javelins of type (b). The only specimen found in the Bhir Mound has a three-ﬂanged head; two from Sirkap, ﬁrst century A.D., have four—ﬂanged heads. The former may possibly be a stray, but in any case there seems little doubt that these metal javelins were a foreign weapon introduced either by the Bactrian Greeks or, more probably, by the Sakas or Parthians. Whether, like the Roman pilum, they were provided with a wooden butt or handle there is no evidence to show. Type a:",164-62,Sk,2,1916
63,29,56,," XIX. Spears, javelins and butt (nos. 63—71)","63. Spike—shaped spear-head of iron, four-sided with tang for ﬁxing into wooden shaft. Length 7' 5 in. Roughly made, but of great penetrating power against plate or mail armour. Third to second century B.C. Bm. ’19—505; sq. 29'56’; stratum I. Cf. Analysis Table, p. 536, no. 10. (Pl. 164, no. 63.) , Type I):",164-63,Bm,1,1919
64,,,," XIX. Spears, javelins and butt (nos. 63—71)","64. Heavy iron javelin with shaft and head in one piece. Length 3875 in., but the shaft is 7 broken. The head is three—ﬂanged, like the arrow-heads of type c, below. Third to second century B.C., unless, as seems probable, it is a stray of later date. Bm.; stratum II.",,Bm,2,
65,53,85,," XIX. Spears, javelins and butt (nos. 63—71)","65. Similar to preceding, but with four-ﬂanged head. Shaft broken. Length 25 in. Sk. ’22—«828; Fifth Street (west); sq. 53-85’; stratum II. First century A.D. (Pl. 164, no. 65.)",164-65,Sk,2,1922
66,,,," XIX. Spears, javelins and butt (nos. 63—71)","66. Similar to no. 65 and from same ﬁndspot. Shaft broken. Length 22 in.; stratum II. (Pl. 164, no. 66.)",164-66,,2,
67,,,," XIX. Spears, javelins and butt (nos. 63—71)","67. Javelin-head of narrow leaf pattern, with shaft of same metal; broken. Length 6- 5 in. This may belong to the same class of heavy javelin as the three preceding specimens, but we cannot be sure on the point as only 3 in. of the shaft are preserved. It is referable to the ﬁfth century A.D. Mm. ’15—42; mon., north steps; 5 ft. below surface. Cf. p. 363 (I8) supra. (Pl. 164, no. 67.) Type c:",164-67,Mm,,1915
68,145,57,," XIX. Spears, javelins and butt (nos. 63—71)","68. Leaf-shaped spear-head, with central ribbing on both sides; tang broken. Length 8-25 in. Sk. ’26—1,213; Block]; sq. 145-57’; stratum II. First century A.D. Cf. p. 171 supra. (P1. 164, no. 68.) Type d:",164-68,Sk,2,1926
69,114,49,G," XIX. Spears, javelins and butt (nos. 63—71)","69., Dagger-shaped spear-head with hollow socket (broken). Length 7-12 in. Sk. ’15—487; Block G; sq. 114-49'; stratum II. First century A.D. Cf. p. 169 supra. (Pl. 164, no. 69.) 7o. Socketed spear-head of knife-blade pattern. Length 11-87 in. Fifth century A.D. In. ’16—273; cell no. 3; I ft. below surface. Cf. p. 385 supra. (P1. 164, no. 70.) a .__ ,___L.r.._,_ a.._,_.a_,__.—..w__.a.s'wvx “.1,   CH. 27] IRON OBJECTS 547 a Type 6:","164-69, 164-70",Sk,2,1915
71,,,," XIX. Spears, javelins and butt (nos. 63—71)","71. Socketed conical spear—butt, with horizontal rim. Length 6 in. Mm. ’15—E64; ﬁfth century A.D. Cf. p. 363 (19) supra. (Pl. 164, no. 71.) Without exception, all the arrow—heads found at Taxila were intended for shafts made of reeds, not of solid wood, and were provided accordingly with long tangs instead of hollow sockets.I But a peculiarity of nearly all the earlier specimens is that there is a considerable length of solid shank intervening between the head and the tang. The explanation of this unusual feature seems to be that this type of arrow-head is a compromise between the socketed and tanged varieties. Whoever its authors may have been, they had «evidently been accustomed to socketed piles designed for solid wooden shafts, and when, for some reason or other, reeds were substituted for the solid wood, the old form of pile was retained and a thin tang added behind the shank for insertion into the reed, the shank itself being made solid instead of hollow. Since the reed arrow was in general use among Iranian and Central Asian2 as well as Indian peoples, it is reasonable to infer that these ‘double-tanged’ heads, as we may call them, were an adaptation of a Western sdcketed type rather than an Eastern one, and, this being so, it seems not improbable that they were introduced at Taxila by the Bactrian Greeks. In support of this surmise it is to be noted-that the earliest specimens come from the uppermost stratum of the Bhir Mound and are therefore contemporary with the advent of the Bactrian Greeks. No iron arrow—heads of any kind have been found in the earlier settlements on this site,3 although they must, of course, have been in use. Apart from their double tang, the arrow-heads from the Bhir Mound belong to ﬁve different types, Viz.: (a) ﬂat, with lozenge cross-section; (b) with triangular cross—section; (c) with square cross-section; (a0 with rhombic cross-section; (e) barbed. With the exception of (b) all these types recur in the later settlements in Sirkap, but in the Saka—Parthian period (ﬁrst century 3.0. to ﬁrst century A.D.) two new types also make their appearance, viz.: (f) conical, and (g) three—bladed. The older types of arrow—heads also tend to become larger, e.g. nos. 77, 78, 84. In the ﬁfth century A.D. an eighth type (h) with four barbed blades was introduced.4 1 Indian arrows seem to have been Usually made of the s’ara reed, but arrows made of bambu (veﬂu) and s’ala‘ka (a hard wood) are also mentioned in Indian literature, e.g. Kautilya, Arthas’astra, bk. 11, ch. I3; Agni Parana, 245, 12. 2 Cf. Excavations at Dura-Europos, 6th season (1932—3), p. 454, and notes 48 and 49; Stein, Innermost Asia, I, pp. 95—6; III, Pls. VI, XXVI, XLVII; Serindia, Iv, Pls. LI, LIII, etc. The Indian reed—arrow was from two to three cubits in length. Cf. Q. Curtius, VIII, 9; Arrian, Ind. c. 16; Strabo, XV, 66. 3 For a double-tanged arrow-head with three blades from Turfan (Kara-khoja), see Stein, op. cit. II, p. 608, Kao IV, OI and vol. III, Pl. LXXI. The author, however, does not attempt to explain the peculiarity of the type. 4 Ancient Indian literature refers to arrow-heads of many shapes, e.g. ardhacandra (‘ half-moon ’), kshurapra (with a razor-edge), sﬁcimukha (needle—shaped), vatsa-danta (like a calf’s tooth), etc. Cf. j.A.O.S. XIII, pp. 275—81. 548 IRON OBJECTS [011. 27 The three-bladed type (g) seems to have been specially favouredlby the Sakas,I to whom its introduction at Taxila was no doubt due. It is noteworthy, however, that many specimens of this three—bladed, as well as of the four—bladed type, have been found along with specimens of (a) and (d) types at the Dharmarajika and other monasteries destroyed by the White Huns in the ﬁfth century AD. It is a reasonable surmise that the former weapons were used by the attacking Huns; the latter, which were traditional at TaXila, by the defending monks, though the three- bladed type, which had long before been introduced by the Sakas, may also have been used by the defenders. For arrow-heads made of bone and ivory, see below, ‘ Bone and Ivory’, ch. 32, Class XVIII, nos. 105—14. No arrow-heads made of copper or bronze or horn have been found at T axila. Type a:",164-71,Mm,,1915
72,34,47,, XX. Arrow—heads (nos. 72w89),"72. Arrow-head, leaf-shaped, with lozenge cross—section and double tang. Length 2-62 in. Point and tang broken. Bm. ’21—150; sq. 34-47’; stratum II. (Pl. 165, no. 72.)",165-72,Bm,2,1921
73,48,124,, XX. Arrow—heads (nos. 72w89),"73. Similar but triangular in shape. Length 3-25 in. Brn. ’21—1,617; sq. 48-124’; stratum II. (Pls. 165, no. 73; 206, no. 47.)",,,2,1921
74,66,89,, XX. Arrow—heads (nos. 72w89),"74. Similar to no. 73, but with longer shank and slightly barbed; tang partly broken. Length 287 in. Bm. ’21-873; sq. 66'89’; stratum II. (Pls. 165, no. 74; 206, no. 40.)",,Bm,2,1921
75,43,123,, XX. Arrow—heads (nos. 72w89),"75. Similar, but tang broken. Length 187 in. Bm. ’21—1,583; sq. 43-123’; stratum II. (P1. 165, no. 75.) ‘",165-75,Bm,2,1921
76,35,62,, XX. Arrow—heads (nos. 72w89),"76. Similar. Length 1°12 in. Bm. ’20—15; sq. 35-62’; stratum II. (P1. 165, no. 76.)",165-76,Bm,2,1920
77,133,65,I, XX. Arrow—heads (nos. 72w89),"77. Similar, with knife—blade head; tang partly broken. Length 387 in. Sk. ’26—357; Block I; sq. 133-65’; stratum II. Cf. p. 171 supra. (Pls. 165, no. 77; 206, no. 48.)",,Sk,2,1926
78,13,58,1, XX. Arrow—heads (nos. 72w89),"78. Similar, with triangular blade like no. 75. Length 2-87 in. Sk. ’16—788; Block 1; sq. 13-58’; stratum I. Cf. p. 142 supra. (Pls. 165, no. 78; 206, no. 46.) Many more arrow—heads of this type, dating probably from the period of the Hun invasions in the ﬁfth century A.D., were found at the Dharmarajika monastery, particularly in the debris of courts A, H and J. Type b:",,Sk,1,1916
79,,,, XX. Arrow—heads (nos. 72w89),"79. Arrow—head with triangular cross-section and double tang. Length 4' 5 in. Bm. ’21—1 ,491 ; spoil earth from stratum II. (Pl. 165, no. 79.) Type c:",165-79,Bm,2,1921
80,66,89,, XX. Arrow—heads (nos. 72w89),"80. Arrow—head with square cross-section; single tang broken. Length 22 5 in. Bm. ’21- 873, b; sq. 66-89’; stratum II. Third to second century B.C. (P1. 165, no. 80.)",165-80,Bm,2,1921
81,67,76,, XX. Arrow—heads (nos. 72w89),"81. Similar. Length 3-5 in. Bm. ’14—659; sq. 67'76'; stratum II. (Pls. 165, no. 81; 206, no. 49.) Type d:",,Bm,2,1914
82,12,41,, XX. Arrow—heads (nos. 72w89),"82. Arrow—head with rhombic cross-section, double-tanged. Length 162 in., but tang broken. Bm. ’20—569; sq. 12-41’; stratum II. (Pl. 165, no. 82.)",165-82,Bm,2,1920
83,20,44,, XX. Arrow—heads (nos. 72w89),"83. Similar; tang broken. Length 2-25 in. Bm. ’20-1,380; sq. 20-44’; stratum II. (Pls. 165, no. 83; 206, no. 39.) "" 1 Cf. Flinders Petrie, Tools and Weapons, p. 34, § 89. The three-bladed arrow-head did not ﬁnd its way to Egypt until after the Scythian invasion of Syria (624—596 B.C.). Its origin appears to have been Graeco—Scythian. CH. 27] IRON OBJECTS 549",,Bm,2,1920
84,77,68,E, XX. Arrow—heads (nos. 72w89),"84. Similar, double tanged. Length 287 in., but tang broken. Sk. ’13—1,482; Block E; sq. 77-68’; stratum IV. First century 13.0. (Pls. 165, no. 84; 206, no. 45.), Type .9:",,Sk,4,1913
85,10,61,, XX. Arrow—heads (nos. 72w89),"85. Double—tanged arrow-head with barbed and ribbed blade. Length 3 in. Bm. ’21—298; sq. 10'61’; stratum II. (Pls. 165, no. 85; 206, no. 50.)",,Bm,2,1921
86,,,, XX. Arrow—heads (nos. 72w89),"86. Similar, but with single tang. Length 687 in. Sk. ’17-Kun. 1 3 5; north-east veranda; 5ft. below surface. Probably ﬁfth century A.D. Cf. p. 352 supra. (Pls. 165, no. 86; 206, no. 44.) Type f:",,Sk,,1917
87,129,43,I, XX. Arrow—heads (nos. 72w89),"87. Conical arrow-head with circular cross-section. Tang broken. Length 212 in. Sk. ’15~ 303; Block I; sq. 129-43’; stratum II. First century A.D. Cf. p. 171. (P1. 165, no. 87.) Type g: .-",165-87,Sk,2,1915
88,62,75,D, XX. Arrow—heads (nos. 72w89),"88. Three-bladed arrow-head, with plain tang which is broken. Length 2 in. Sk. ’14—1,632; Block D'; sq. 62-7 5’; stratum III. First century B.C. to ﬁrst century A.D. A number of arrow— heads of this type have been found at the Dharmarajika monastery, particularly in the courts A, J, H, where they were probably used in the ﬁfth century A.D. by the White Huns. Cf. pp. 278, 547—8 supra. (Pls. 165, no. 88; 206, no. 42.) 88, a. Three—bladed arrow—head with plain tang. Length 41 in. First century A.D. Sk. ’26— 2,847; stratum I. Of medium or low carbon steel. Cf. Analysis Table, p. 536, no. 9. Type h':",,Sk,3,1914
89,,,, XX. Arrow—heads (nos. 72w89),"89. Four-bladed barbed arrow-head with short shank and long tang. Length 5 in. Sk. ’14— Kun. 2,412; from the Kunala monastery. A number of arrow—heads of this type have also been found at the Mohra Moradu monastery (ﬁfth century), where, like the preceding type (g), they were probably used by the attacking Huns. Cf. p. 352 supra. (Pls. 165, no. 89; 206, no. 51.)",,Sk,,1914
